title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,source,link,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29
Frosted Lemonade Cookies Recipe,Michelle Bottalico,Cookie Recipes,5,28,NA,"Prep Time
1.5
hours","Cook Time
12
minutes",NA,"Total time: 1 hour, 42 minutes","servings
48
Cookies",12,"Preheat the oven to 350 F.
To start the batter, in a mixing bowl, use an electric mixer to cream together the butter and sugar by beating on medium and gradually increasing to medium-high, for 2 to 3 minutes until fluffy. Scrape the sides with a spatula when necessary.
Add the eggs and beat for another minute until combined.
Add the flour, baking soda, salt, and lemonade concentrate and beat briefly until just combined. Chill the dough for 1 hour.
On a cookie sheet lined with parchment paper, place as many scoops of about 1 ½ tablespoons of dough as you can, spaced 2 inches apart. Work in batches if needed.
Bake for 12 to 14 minutes until the cookies turn a very pale golden color.
Remove the baking sheet from the oven and let it cool for 2 to 3 minutes before transferring the cookies to a wire rack to cool completely. Continue to bake remaining cookies if working in batches.
As the cookies cool, start on the frosting. In a medium-sized bowl, use an electric mixer to beat the butter and powdered sugar until evenly combined.
Add the lemonade concentrate and vanilla extract and beat until the frosting is thick and creamy.
Once the cookies are cool, spread the frosting on top with a knife or use a piping bag to pipe the frosting.
Sprinkle the lemon zest over the cookies to decorate.
Serve and enjoy. Store leftover cookies in an airtight container for 3 to 4 days on the countertop or in the refrigerator for up to a week.",14,For the batter,"1 cup (2 sticks) unsalted butter, softened",1 cup granulated sugar,2 large eggs,3 cups all-purpose flour,1 teaspoon baking soda,¼ teaspoon salt,½ cup thawed frozen lemonade concentrate,For the topping,"⅔ cup butter, softened",3 cups powdered sugar,2 tablespoons thawed frozen lemonade concentrate,Tasting Table,https://www.tastingtable.com/1940519/frosted-lemonade-cookies-recipe/,1 teaspoon vanilla extract,2 tablespoons lemon zest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
This Elevated Crumbl Chocolate Chip Cookie Recipe Is A Perfect Match,Jessica Morone,Cookie Recipes,5,37,NA,"Prep Time
20
minutes","Cook Time
12
minutes",NA,Total time: 32 minutes,"servings
12
Large Cookies",10,"Preheat the oven to 350 F.
Line two baking sheets with parchment paper.
In a large mixing bowl, cream together the softened butter, brown sugar, and granulated sugar until light and fluffy, about 2–3 minutes.
Add in the eggs, one at a time, then add the vanilla extract. Beat until combined.
In a separate bowl, whisk together the flour, cornstarch, baking soda, and salt.
Gradually mix the dry ingredients into the wet ingredients until just combined. Be careful not to overmix.
Mix in the chocolate chips just until they are incorporated.
Using a large cookie scoop or ¼ cup measuring cup, scoop out large balls of dough onto the prepared baking sheets, about 6 per baking sheet.
Bake for 12–14 minutes, or until the edges are set and lightly golden but the centers are still soft.
Let the cookies cool on the baking sheet for 10 minutes before removing them from the baking sheets and serving them.",10,"1 cup unsalted butter, softened","¾ cup light brown sugar, packed",½ cup granulated sugar,2 large eggs,1 tablespoon vanilla extract,2 ½ cups all-purpose flour,1 tablespoon cornstarch,1 teaspoon baking soda,½ teaspoon salt,1½ cups milk chocolate chips,NA,NA,Tasting Table,https://www.tastingtable.com/1909653/elevated-crumbl-chocolate-chip-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cheesecake Cookie Recipe,Jessica Morone,Cookie Recipes,5,21,NA,"Prep Time
50
minutes","Cook Time
12
minutes",NA,"Total time: 1 hour, 2 minutes","servings
24
Cookies",14,"Line a small baking sheet with parchment paper, then set aside.
Beat together the cream cheese and powdered sugar until smooth.
Scoop 24 teaspoons of the cream cheese filling onto the baking sheet. Freeze until completely solid (at least 30 minutes).
Once the cream cheese filling is frozen, preheat the oven to 350 F.
Line 2 large baking sheets with parchment paper, then set aside.
In a large bowl, whisk together the flour, baking powder, baking soda, and salt. Set aside.
Beat together the butter and sugar until light and fluffy.
Add in the egg and vanilla extract, mixing until just combined.
Gradually add the flour mixture to the butter and sugar, mixing just until a dough forms.
Add the strawberries to the batter and mix until just incorporated.
Use a medium or large cookie scoop to scoop out ball of cookie dough, slightly flattening the ball. Press one cream cheese filling into the center of the cookie dough.
Pinch the sides of the cookie dough together to seal the cream cheese mixture inside the dough and place on prepared baking sheet. Repeat the process with all cookie dough and cream cheese balls.
Bake the cookies in the preheated oven for 12 to 15 minutes, until the edges of the cookies are golden.
Cool then serve the cookies.",13,For the filling,8 ounces cream cheese,¼ cup powdered sugar,For the cookies,2 cups all-purpose flour,½ teaspoon baking powder,½ teaspoon baking soda,½ teaspoon salt,"1 cup unsalted butter, softened",1 cup granulated sugar,"1 egg, at room temperature",2 teaspoons vanilla extract,Tasting Table,https://www.tastingtable.com/1879807/strawberry-cheesecake-cookies-recipe/,"½ cup freeze dried strawberries, diced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italian Rainbow Cookies Recipe,NA,Dessert Recipes,5,1729,NA,"Prep Time
5.5
hours","Cook Time
10
minutes",NA,"Total time: 5 hours, 40 minutes","servings
35
Cookies",11,"Preheat the oven to 325 F, and grease three 9x13-inch quarter sheet pans with cooking spray, then line each with parchment.
In a stand mixer fitted with the paddle attachment, combine the sugar, almond paste and 1 stick of the butter. Mix until smooth and lump free, being sure to break down the almond paste as best you can. Add the remaining 2 sticks of butter and continue to mix until smooth, scraping down the sides of the bowl as needed.
Gradually add the egg yolks, followed by the milk and almond extract. Mix until combined. Add the flour and slowly mix until combined, scraping down the sides of the bowl as needed. Once the flour is combined, set aside.
In a separate bowl, whip the egg whites until they form stiff, fluffy peaks. Fold the whipped egg whites into the flour mixture to form a smooth batter, then divide equally between 3 bowls.
Stir the red food coloring into the first bowl of batter until evenly pink colored, then stir the green color into the second bowl of batter until evenly green colored, leaving the third bowl untouched. Keeping the batters separate, evenly spread them into the greased and parchment-lined quarter sheet pans, and bake, rotating halfway through, until set, 10 to 12 minutes. Then let cool completely.
Once cooled, spread half of the jam to cover the surface of the green cake and place the undyed layer, making sure the parchment is discarded, directly on top, sandwiching the jam. Repeat this step by spreading the remaining jam on top of the undyed layer and placing the pink layer directly on top of it, discarding the parchment.
Cover the cake with plastic wrap and top with another sheet pan. Weigh down the layers with heavy plates or cans, and refrigerate for at least 4 hours, or overnight.
Remove the weights and plastic wrap. Spread half of the melted chocolate over the top of the cake and refrigerate until set, 30 minutes.
Once solid, flip the cake onto a cutting board, discarding the bottom layer of parchment, and spread the remaining melted chocolate in a even layer over the surface.
Return to the refrigerator and chill until set, 30 minutes.
Once set, trim the cake into a 7 ½x10 ½-inch rectangle, reserving all trim for snacking or rainbow cookie ice cream. Cut the cake into 1 ½-inch squares, then serve.",11,1 cup sugar,1 (8-ounce) can almond paste,"3 sticks unsalted butter, softened and divided","4 eggs, separated",¼ cup milk,2 teaspoons almond extract,2 cups all-purpose flour,¼ teaspoon red food coloring,¼ teaspoon green food coloring,"½ cup raspberry jam, divided","1 ½ cups semisweet chocolate chips, melted",NA,Tasting Table,https://www.tastingtable.com/686065/italian-rainbow-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birthday Cake Mix Sandwich Cookies Recipe,Jessica Morone,Cookie Recipes,5,20,NA,"Prep Time
50
minutes","Cook Time
10
minutes",NA,Total time: 1 hour,"servings
10
Sandwich Cookies",10,"Make the cookies: In a large bowl, mix together the cake mix, melted butter, eggs, and vanilla extract until well combined.
Add the sprinkles to the bowl and mix until just combined. Refrigerate for 30 minutes.
Preheat the oven to 350 F.
Line two baking sheets with parchment paper.
Use a medium cookie scoop to scoop 20 balls of cookie dough onto the baking sheets.
Bake in the preheated oven for 10–12 minutes, until the cookies are puffy and the edges are golden brown. Let the cookies cool completely.
Add the frosting ingredients to a large bowl and use an electric or stand mixer to beat everything together until smooth.
Spread or pipe the icing onto the bottoms of half of the cooled cookies.
Top with the other half of the cookies, gently pressing them together.
Roll the sides of the cookies in additional sprinkles, if desired. Serve immediately or refrigerate for up to 4 days in an airtight container.",12,For the cookies,1 (13 ¼-ounce) box vanilla cake mix,"½ cup unsalted butter, melted and cooled",2 eggs,1 teaspoon vanilla extract,"¼ cup colored sprinkles, plus more for the sides",For the frosting,2 cups powdered sugar,"¼ cup unsalted butter, softened",2 ounces cream cheese,1 teaspoon vanilla extract,1 tablespoon milk,Tasting Table,https://www.tastingtable.com/1852366/birthday-cake-mix-sandwich-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Chocolate Cookies with Dark Chocolate Chips Recipe,Michelle McGlinn,Cookie Recipes,5,21,NA,"Prep Time
10
minutes","Cook Time
20
minutes",NA,Total time: 30 minutes,"servings
24
Cookies",9,"Preheat the oven to 350 F and line a baking sheet with parchment paper.
Sift the flour, cocoa powder, baking soda, and salt into a bowl and set aside.
In another large bowl, beat the butter and sugars together until fluffy.
Incorporate the egg and vanilla, scraping the sides of the bowl to fully distribute.
Slowly add the dry ingredients in ¼ cup increments, beating until just combined. The batter will be thick and dry.
Gently fold in the chocolate chips into the batter.
Scoop heaping 1-inch balls onto the parchment-lined sheet and gently press down to flatten slightly.
Bake for 10 minutes, or until the edges are firm and the centers are set, then gently remove to a rack to cool.
Top with flaky salt to serve.",11,1 cup all-purpose flour,½ cup cocoa powder,½ teaspoon baking soda,½ teaspoon salt,"½ cup unsalted butter, softened",½ cup brown sugar,⅓ cup granulated sugar,1 large egg,2 teaspoons vanilla extract,1 cup dark chocolate chips or chunks,"Flaky salt, for topping",NA,Tasting Table,https://www.tastingtable.com/1846172/dark-chocolate-chip-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweet Alabama Pecan Bread Recipe,Jessica Morone,Cake and Cupcake Recipes,5,47,NA,"Prep Time
15
minutes","Cook Time
30
minutes",NA,Total time: 45 minutes,"servings
12
Pieces",10,"Preheat the oven to 350 F
Line a 9x13-inch baking dish with parchment paper, or spray it well with nonstick cooking spray.
In a medium bowl, whisk together the flour, baking powder, and salt. Set aside.
In a separate large bowl mix together the granulated sugar, brown sugar, and vegetable oil.
Add in the eggs and vanilla extract and mix until well combined.
Stir in the flour mixture until incorporated.
Mix in the pecans until just combined.
Spread the batter evenly into the prepared baking dish.
Bake in the preheated oven for 30-35 minutes, until it's golden brown and the center is set.
Let cool for at least 15 minutes, then slice into squares and serve.",9,1 ½ cup all purpose flour,2 ½ teaspoons baking powder,¼ teaspoon salt,1 cup granulated sugar,1 cup brown sugar,1 cup vegetable oil,4 large eggs,1 teaspoon vanilla extract,"1 ½ cups pecans, finely chopped",NA,NA,NA,Tasting Table,https://www.tastingtable.com/1837800/alabama-pecan-bread-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB and Banana Oatmeal Breakfast Cookies Recipe,Jessica Morone,Cookie Recipes,5,50,NA,"Prep Time
15
minutes","Cook Time
17
minutes",NA,Total time: 32 minutes,"servings
24
cookies",9,"Preheat the oven to 325 F.
Line 2 large baking sheets with parchment paper or silicone baking mats. Set aside.
Add half of the old-fashioned oats to the bowl of a food processor and pulse until the mixture resembles flour. Set aside.
In a large bowl mix together the peanut butter, maple syrup, and mashed bananas until well combined.
Mix in the ground oats, salt, and cinnamon until well mixed. The dough will be thick.
Add the remaining oats, chocolate chips, walnuts, and raisins until just combined.
Use a medium cookie scoop to scoop dough onto the prepared baking sheets. Slightly flatten the dough into a cookie shape.
Bake in the preheated oven for 16-18 minutes, until the cookies are golden.
Cool, then serve.",9,"2 ½ cups old-fashioned whole rolled oats, divided",1 cup peanut butter,¼ cup pure maple syrup,1 cup mashed banana (about 2 large bananas),½ teaspoon salt,1 teaspoon ground cinnamon,½ cup chocolate chips,½ cup chopped walnuts,½ cup raisins,NA,NA,NA,Tasting Table,https://www.tastingtable.com/1832395/pb-banana-oatmeal-breakfast-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shareable Banana Nutella Bars Recipe,Jessica Morone,Cookie Recipes,5,21,NA,"Prep Time
10
minutes","Cook Time
25
minutes",NA,Total time: 35 minutes,"servings
15
Bars",11,"Preheat the oven to 350 F.
Line a 13x9-inch baking pan with parchment paper, set aside.
In a medium bowl, whisk together the flour, baking powder, and salt. Set aside.
Combine the melted butter, brown sugar, and granulated sugar in a large bowl and beat until combined.
Beat in the egg, vanilla extract, and mashed banana until smooth.
Whisk the dry ingredients into the bowl with the wet ingredients until just combined.
Spread the batter evenly into the prepared pan.
Add dollops of Nutella to the top of the batter.
Use a toothpick or a knife to swirl the Nutella into the batter.
Bake in the preheated oven for 25-30 minutes, until the edges are golden and the middle is set.
Let cool, then cut into squares and serve.",10,2 cups all-purpose flour,1 teaspoon baking powder,½ teaspoon salt,"1 cup unsalted butter, melted",¾ cup brown sugar,¾ cup granulated sugar,1 egg,2 teaspoons vanilla extract,1 cup mashed banana (about 2 bananas),⅓ cup Nutella,NA,NA,Tasting Table,https://www.tastingtable.com/1829135/banana-nutella-bars-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uncinetti (Italian Easter Cookies) Recipe,Jennine Rye,Cookie Recipes,4.9,65,NA,"Prep Time
20
minutes","Cook Time
12
minutes",NA,Total time: 32 minutes,"servings
48
cookies",17,"Preheat the oven to 325 F.
Line a baking sheet with baking paper.
Whisk the flour with the baking powder.
In a stand mixer mix the granulated sugar, butter, eggs, milk, vanilla extract, and almond extract.
Mix in the flour to form a dough.
Turn the dough out onto a clean work surface.
Take roughly 1 tablespoon of the dough at a time and roll it out to form a 5-inch sausage shape.
Carefully roll the dough up to make ""knot"" shapes .
Place the dough knots onto the prepared baking sheet.
Bake for 12 - 14 minutes in the oven.
Remove the cookies from the oven and let them sit for 10 minutes before transferring to a wire cooling rack.
Allow the uncinetti to cool completely before glazing.
To mix the glaze, stir milk, lemon juice, and vanilla extract into sifted confectioner's sugar until smooth.
To color the glaze divide it up into small bowls and mix with a drop or two of your chosen gel food coloring.
Dip the tops of the uncinetti into the glaze one at a time.
Immediately sprinkle the glazed tops with your chosen sprinkles.
Allow the uncinetti to dry before serving.",16,For the cookies,3 cups all-purpose flour,2 teaspoons baking powder,⅔ cup granulated sugar,"½ cup salted butter, melted and cooled","2 large eggs, room temperature",¼ cup milk,1 teaspoon vanilla extract,1 teaspoon almond extract,For the glaze,4 tablespoons milk,1 tablespoon lemon juice,Tasting Table,https://www.tastingtable.com/1808265/uncinetti-cookies-recipe/,½ teaspoon vanilla extract,2 cups confectioner's sugar,"A few drops gel food coloring, varying colors",¼ cup sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Traditional Sicilian Almond Cookies Recipe,Jessica Morone,Cookie Recipes,5,61,NA,"Prep Time
15
minutes","Cook Time
15
minutes",NA,Total time: 30 minutes,"servings
18
Cookies",10,"Preheat the oven to 325 F.
Line baking sheets with parchment paper or a silicone baking mat and set aside.
Add the granulated sugar and lemon zest to a large bowl. Use your fingers to thoroughly rub the lemon zest into the sugar until it's well combined.
Whisk the almond flour into the granulated sugar mixture, then set aside.
Use an electric hand mixer or stand mixer with the whisk attachment to beat the egg whites until foamy. Add the almond extract into the egg whites, then continue beating until the egg whites hold soft peaks.
Gently add the egg mixture to the dry ingredients and use a rubber spatula to mix until dough forms.
Use a medium cookie scoop to scoop out balls of dough and roll them in the powdered sugar until just coated.
Place the cookies onto the prepared baking sheets and press sliced almonds, whole almonds, or a candied cherry into the tops of the cookies if desired.
Bake in the preheated oven for 15 to 17 minutes, until the cookies are lightly golden.
Let cool, then serve.",7,1 cup granulated sugar,1 tablespoon lemon zest,2 ¼ cups almond flour,2 large egg whites,1 teaspoon almond extract,¼ cup powdered sugar,"sliced almonds, whole almonds, or cherries for topping",NA,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/1810360/sicilian-almond-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campfire S'mores Brookies Recipe,Jennine Rye,Dessert Recipes,5,33,NA,"Prep Time
1.5
hours","Cook Time
50
minutes",NA,"Total time: 2 hours, 20 minutes","servings
16
brookies",21,"To prepare the chocolate chip cookie dough, add the melted butter to a stand mixer along with the brown and white sugar.
Beat everything well to combine.
Mix in the egg and the vanilla extract.
Add the all-purpose flour, baking powder, and salt to the bowl and fold in.
Fold the chocolate chips into the cookie dough.
Transfer the cookie dough to a sealed container and chill in the fridge for at least one hour.
Preheat the oven to 350 F.
Line a 13 x 9-inch baking tray with baking paper.
To make the brownies, in a stand mixer, beat together the melted butter and the brown sugar.
Beat in the eggs and the vanilla extract.
Sift the cocoa powder, all-purpose flour, and sea salt into the stand mixer.
Fold the ingredients together until the brownie batter is formed.
Fold in the chocolate chips.
Transfer the completed brownie batter to the prepared baking tray.
Dollop tablespoons of the marshmallow fluff into the brownie batter, and swirl around with a knife to spread it throughout the brownies.
Removing the chocolate chip cookie dough from the fridge, carefully scoop out the dough and spread it on top of the brownie batter to form a topping.
Place the brookie into the preheated oven to bake for 50 minutes to an hour. The brookie is done when a skewer comes out coated in sticky crumbs.
Preheat the broiler to a medium temperature.
Top the brookie with the chocolate pieces, graham cracker pieces, and the marshmallows.
Place the brookie under the broiler for 3 to 4 minutes, keeping a close eye on it, to brown the tops of the marshmallows and melt the chocolate.
Remove the brookie from the broiler and let it cool before slicing and serving.",24,For the chocolate chip cookie layer,"¾ cup unsalted butter, melted",¾ cup brown sugar,½ cup white sugar,"1 large egg, room temperature",1 tablespoon vanilla extract,1 ⅔ cups all-purpose flour,1 teaspoon baking powder,½ teaspoon sea salt,1 cup semi-sweet chocolate chips,::For the chocolate chip brownie base:::,1 ¼ cups butter,Tasting Table,https://www.tastingtable.com/1729421/campfire-smores-brookies-recipe/,2 ¼ cups brown sugar,"4 large eggs, room temperature",2 teaspoons vanilla extract,1 ¼ cups cocoa powder,¾ cup all-purpose flour,½ teaspoon sea salt,1 cup chocolate chips,1 cup marshmallow fluff,For the s'mores toppings,"7 ounces semi-sweet cooking chocolate, broken into pieces","1 cup graham crackers (or equivalent), broken into pieces",12 ounces marshmallows,NA,NA,NA,NA,NA
White Chocolate-Dipped Espresso Walnut Biscotti Recipe,Taylor Murray,Cookie Recipes,5,28,NA,"Prep Time
20
minutes","Cook Time
50
minutes",NA,"Total time: 1 hour, 10 minutes","servings
28
Cookies",19,"Heat the oven to 350 F.
Line a rimmed baking sheet with parchment paper.
In a small pan, melt the butter.
Whisk in the espresso powder and remove from the heat. Set aside to cool.
In a large bowl, whisk the eggs and vanilla until smooth.
Add the cooled espresso butter.
Whisk in the sugar.
Fold in the flour, baking powder, and salt.
Fold in the walnuts.
Divide the dough into three pieces and place on the prepared sheet tray.
Shape each piece into a log about 2 inches wide and 7 inches long.
Bake until lightly browned, about 25 minutes.
Let cool until not hot but still warm, about 20 minutes.
Use a serrated knife to cut each log crosswise into ½ inch–thick pieces (you should have roughly 28).
Return the pieces to the baking sheet, cut-side down.
Bake again until lightly browned, about 15 minutes. Let cool completely.
Dip the cooled biscotti in the melted chocolate on a bias, covering roughly half the cookie.
Place the cookies back on the parchment paper to cool.
Serve, or store in a tightly sealed container.",10,½ cup unsalted butter,2 teaspoons instant espresso powder,3 eggs,2 teaspoons vanilla extract,1 cup granulated sugar,2 ¾ cups all-purpose flour,2 teaspoons baking powder,½ teaspoon salt,"1 ½ cups toasted walnuts, chopped","2 cups white chocolate, melted",NA,NA,Tasting Table,https://www.tastingtable.com/1650840/white-chocolate-dipped-espresso-walnut-biscotti-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delicious Sicilian Cuccidati (Italian Fig Cookies) Recipe,Michelle Bottalico,Cookie Recipes,4.9,24,NA,"Prep Time
3.17
hours","Cook Time
50
minutes",NA,Total time: 4 hours,"servings
90
Cookies",36,"Place all the nuts in a large dry skillet on medium and toast, shaking the pan or stirring frequently, for about 5 minutes. Remove from the pan and set aside to cool.
Boil a medium pot of water and immediately pour the water into a heat-safe bowl.
Place the figs in the water and let them soak for 15 minutes.
Add the baker's ammonia to the milk, stir, and let it dissolve. Set aside.
Place the flour and salt in a large mixing bowl and mix quickly with a fork.
Add the butter and pinch it into the flour with your fingers until the butter is broken up into small pieces and coated in flour and the mixture is crumbly.
Add the sugar and orange zest to the bowl and mix with a fork.
Add the egg and egg yolks and mix them into the flour with a fork until the mixture forms large crumbly pieces.
Add the milk and vanilla and mix with your hands until the dough starts to stick together and form large, soft pieces.
Transfer the dough to a lightly floured surface. Press and knead it to form a smooth ball. Be patient as your hands' heat melts the butter and helps it stick together. Add milk a teaspoon at a time if it's still crumbly after a couple minutes.
Cut the dough in half. Reshape one piece into a flattened ball and the other into a flattened rectangle. Wrap and refrigerate for 1 hour.
Drain the figs well, remove the stems, and cut the figs into large pieces.
Place the figs in a food processor and process until they form a paste. Transfer the figs to a large bowl.
Place the nuts in the food processor and pulse until roughly chopped.
Add the dark chocolate and pulse until the nuts and chocolate are broken down into small pieces. Transfer them to the bowl with the figs.
Add the raisins, cocoa powder, cinnamon, nutmeg, cloves, jam, Marsala, and salt to the bowl and mix until the mixture is thick but soft and moist. Cover the bowl and refrigerate for at least 1 hour.
Preheat the oven to 375 F.
Roll out the round piece of dough on a lightly floured surface until it's slightly less than ¼ inch thick.
Cut out discs with a round cookie cutter with a diameter of about 2½ inches.
Place a spoonful of filling (about 1½ teaspoons) in the center of each disc.
Fold the discs in half and pinch the edges firmly to seal them. Roll the scraps into a flattened ball and refrigerate until firm enough to roll out and make additional cookies.
Leave half of the sealed discs as is and score the curved edges of the other half with scissors. Set the cookies aside on two parchment paper-lined baking sheets.
Bake for 16-19 minutes until golden. Remove from the oven and let cool completely.
Meanwhile, cut the rectangular piece of dough in half. Roll one half into a long, thin rectangle.
Spoon filling along the center of the dough lengthwise .
Trim the 2 short edges even with the filling and trim one long edge into a straight line.
Starting with the untrimmed edge, fold up the 2 long sides of the dough to cover the filling, overlapping and pressing the edges to seal them. Turn the piece upside down and lightly roll it under your hands to further seal the seam.
Slice the filled dough into 1-1¼-inch pieces and place the pieces on a parchment paper-lined baking sheet. Prepare the second rectangular piece in the same way.
Bake for 18-20 minutes until golden. Remove from the oven and let cool completely.
Lower the oven to 275 F.
Place the powdered sugar, salt, and egg white in a medium bowl and mix with a fork.
Add the lemon juice and stir with a fork until a dense icing forms. Add a very small amount of water (about a teaspoon) if needed.
Dip one cookie at a time upside down into the icing to coat the top. Let them drip before placing them back on the baking sheet right side up.
Bake for about 5 minutes until the icing dries. Remove from the oven and let cool.
Brush the top of each cookie with a small amount of water and top with colored sprinkles.
Serve and enjoy immediately or store in an airtight container at room temperature for about a week.",29,For the filling,1 cup whole raw almonds,1½ cups raw walnut halves,12 ounces dried figs,"5 ounces dark chocolate, roughly chopped",¼ cup packed raisins,4 teaspoons unsweetened cocoa powder,1 teaspoon cinnamon,⅛ teaspoon nutmeg,⅛ teaspoon ground cloves,"½ cup apricot, peach, or orange jam",2 tablespoons sweet Marsala wine or honey,Tasting Table,https://www.tastingtable.com/1740502/sicilian-cuccidati-cookies-recipe/,1 pinch salt,For the dough,3 teaspoons baker's ammonia,¾ cup 2% milk,2.2 pounds (about 8 cups) 00 flour,2 pinches salt,"20 tablespoons cold unsalted butter, cut into small cubes",1¾ cup sugar,Grated zest from 1 organic orange,1 large egg + 2 large egg yolks,1 teaspoon vanilla extract,For the icing,1¾ cups powdered sugar,1 pinch salt,1 egg white,3 teaspoons lemon juice,Color sprinkles
