title,author,rating,ratingnum,category,INFOCARD,description,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,source,link,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Vegan chocolate cheesecake,Richard Makin,5,6,Vegan,"Serves 8
Easy
Total time : 30 mins
+ chilling","Top a fudgy Oreo biscuit base with silken tofu and dark chocolate for a rich, plant-based cheesecake. this easy vegan chocolate cheesecake makes an indulgent dinner party dessert",5,10,154g pack Oreos,30g vegan butter or margarine melted,340g dark chocolate (most chocolate over 60% cacao contains no milk but be sure to check the label) chopped,60ml deodorised coconut oil,350g extra-firm silken tofu,4 tbsp icing sugar sifted,Olive Magazine UK,https://www.olivemagazine.com/recipes/vegan/vegan-chocolate-cheesecake/,2 tsp lemon juice,200ml plant milk,2 tbsp cocoa powder,a pinch sea salt flakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread pie,NA,3,2,Baking and desserts,"Serves 8 - 10
A little effort
Prep: 30 mins
Cook: 1 hr and 30 mins
plus chilling","A blend of ginger, cinnamon, nutmeg and allspice give this sweet, marshmallow-crowned pie by Asa Naiditch of Blame Butter real festive flavour",5,23,2 tbsp ground ginger,5 tsp ground cinnamon,3 tsp ground allspice,3 tsp ground nutmeg,1 tsp ground cloves,115g unsalted butter softened,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/gingerbread-pie/,50g dark brown sugar,1 egg yolk,1 tsp vanilla extract,200g plain flour,10g gingerbread spice mixture,100g granulated sugar,100g dark brown sugar,60g plain flour,15g gingerbread spice mixture,400ml whole milk,230g double cream,1 tsp vanilla extract,"105g egg whites (about 3 eggs), at room temperature",3g cream of tartar,200g sugar,220g corn syrup or glucose,5g vanilla extract
Chocolate hot cross buns,Nicola Lamb,5,2,Baking and desserts,"Makes 9 buns
A little effort
Total time : 1 hr and 20 mins
+ proving + cooling","Chocolate and hot cross buns (two of the best things about Easter) combine to make these brioche-style buns, studded with chocolate chips and finished with a salted caramel cross",7,15,95g caster sugar,50g unsalted butter,60g double cream,½ tsp sea salt flakes,2tsp fast-action dried yeast,100g whole milk warmed,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/chocolate-hot-cross-buns/,225g strong white bread flour,25g caster sugar,100g eggs (about two),80g unsalted butter,20g cocoa powder,100g milk chocolate chunks,1 egg for egg wash,60g caster sugar,1 cinnamon stick,NA,NA,NA,NA,NA,NA,NA,NA
New York cheesecake,Anna Glover,5,2,Family,"Serves 10-12
A little effort
Total time : 2 hrs
+ cooling",Take some time to master the perfect New York cheesecake. This creamy baked dessert is perfect for making ahead of time if you're entertaining,6,16,900g full-fat soft cheese at room temperature,300g caster sugar,3 tbsp plain flour,1 tbsp vanilla extract or vanilla bean paste ½ tbsp,6 eggs,100g soured cream,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/new-york-cheesecake/,"1 lemon zested, plus 1 tbsp of lemon juice",200g graham crackers or digestive biscuits,1 tbsp icing sugar,"100g salted butter melted, plus extra for the tin",150ml soured cream,1 tbsp caster sugar,1 tsp lemon juice,250g blueberries,50g caster sugar,1 tbsp lemon juice,NA,NA,NA,NA,NA,NA,NA
Christmas cupcakes,NA,5,1,Baking and desserts,"Makes 12
Easy
Total time : 45 mins
+ chilling",Check out these super cute melted snowmen cupcakes. They are great fun to bake with the whole family and make for quick and easy Christmas party food,5,18,200g caster sugar,200ml vegetable oil,2 medium eggs,½ tsp vanilla extract,200g plain flour,20g cocoa powder,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/melted-snowman-cupcakes/,½ heaped tsp bicarbonate of soda,150g natural yogurt,150g white marshmallows,90ml milk,250g full-fat soft cheese,½ tsp vanilla extract,75ml double cream whipped,12 white marshmallows medium,black icing pen,12 candied peel pieces,36 M&M’s of different colours,12 Matchmakers snapped in half,NA,NA,NA,NA,NA
Healthy chocolate cake,Nadine Brown,5,1,Family,"Serves 14
Easy
Total time : 2 hrs
+ soaking","We've given classic chocolate cake a healthy twist by using sweet potatoes, sticky dates and almond milk. Using dark chocolate and cacao powder gives it a wonderful richness",4,11,300g sweet potatoes,250g dates (after stones removed),75ml cold-pressed rapeseed oil,350ml almond milk,1½ tbsp cider vinegar,350g wholemeal self-raising flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/healthy-chocolate-cake/,50g cacao powder,1 tsp bicarbonate of soda,1 tsp vanilla extract,"150g dark chocolate roughly chopped, plus 10g, grated","1 orange zested, juiced to make 1 tbsp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halloween cake,Lulu Grimes,5,1,Recipes,"Serves 8
Easy
Total time : 50 mins
+ cooling",This spooky halloween cake is easy to make but looks really impressive. Perfect for your costume party or for trick-or-treaters,4,13,175g butter softened,175g golden caster sugar,3 eggs,150g self-raising flour,80g ground almonds,½ tsp baking powder,Olive Magazine UK,https://www.olivemagazine.com/recipes/spooky-halloween-cake/,100ml milk,4 tbsp cocoa,½-1 tsp coffee powder,60g chocolate or caramel or mint chips,edible sugar eyes or royal icing sugar or orange or red or yellow or green or black or food colouring,150g butter softened,200g icing sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sourdough brownies,Adam Bush,5,1,Easy,"Makes 16 squares
Easy
Total time : 30 mins","Put your sourdough starter discard to good use with these rich and indulgent chocolate brownies, topped with crunchy salted pretzels and a pinch of sea salt",2,9,"150g unsalted butter cubed, plus extra for the tin",250g dark chocolate chopped,200g soft light brown sugar,3 eggs,100g left-over sourdough starter,sea salt flakes,Olive Magazine UK,https://www.olivemagazine.com/recipes/quick-and-easy/sourdough-brownies/,50g cocoa powder,75g self-raising flour,30g salted pretzels broken into pieces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine Warner's strawberries in Sauternes with lemon biscuits,Valentine Warner,NA,NA,Chef recipes,"Serves 6
A little effort
Total time : 30 mins
+ marinating","This easy recipe from Valentine Warner makes for a great summer pudding. With a great balance of sweetness and zesty acidity, sauternes (a dessert wine from Bordeaux) works fantastically with strawberries",4,9,750g very ripe strawberries hulled and roughly sliced,37.5cl bottle Sauternes chilled,1 unwaxed lemon,60g butter softened,75g caster sugar,2 large free-range egg whites,Olive Magazine UK,https://www.olivemagazine.com/recipes/chef-recipes/valentine-warners-strawberries-in-sauternes-with-lemon-biscuits/,75g plain flour,to decorate icing sugar,crème fraîche to serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon curd,NA,5,1,Baking and desserts,"Makes 1 jar
Easy
Total time : 1 hr","Making your own lemon curd is easier than you think with this recipe. Spoon onto warm crumpets, stir through greek yogurt, or use to sandwich meringues together",2,4,100g unsalted butter softened,200g golden caster sugar,4 large lemons zested and juiced,3 eggs beaten together,NA,NA,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/easy-lemon-curd/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted honey cheesecake,Janine Ratcliffe,5,1,Baking and desserts,"Serves 8-10
Easy
Total time : 1 hr and 15 mins
+ Cooling and Chilling","An absolute treat of a cheesecake, with a gingery biscuit base, dreamy velvet filling and salted honey topping",6,13,250g ginger nut biscuits,75g unsalted butter melted,600g soft cheese,2 tbsp plain flour,150g runny honey,1 tsp vanilla extract,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/salted-honey-cheesecake/,2 large eggs plus 1 yolk,150ml soured cream,150g runny honey,a few drops lemon juice,2 tbsp double cream,a pinch sea salt flakes,150ml soured cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pear and blackberry crumble bars,Nadine Brown,5,1,Family,"Makes 12
Easy
Total time : 1 hr and 30 mins
+ chilling","Use fresh or frozen blackberries to make these delicious oat bars, perfect for breakfast on the go or as an afternoon treat – wholemeal flour gives them a fibre boost and adds to the overall nutty flavour",5,18,"100g unsalted butter chilled and cubed, plus extra for the tin","1 large ripe pear peeled, cored and roughly chopped into 1cm chunks",175g fresh blackberries,1 tbsp runny honey,"½ lemon zested, plus 1 tbsp of juice",1 tsp vanilla extract,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/pear-and-blackberry-crumble-bars/,100g plain wholemeal flour,50g soft light brown sugar,30g ground almonds,¼ tsp ground cinnamon,¼ tsp ground ginger,50g unsalted butter chilled and cubed,40g plain wholemeal flour,30g soft light brown sugar,60g walnuts roughly chopped,20g oats,½ tsp ground cinnamon,½ tsp ground ginger,NA,NA,NA,NA,NA
Coffee and cream fridge cake,Janine Ratcliffe,5,1,Baking and desserts,"Serves 10-12
Easy
Total time : 30 mins
+ chilling","Wow your festive guests with this nostalgic fridge cake, packed with layers and layers of indulgence",4,8,for the tin vegetable or sunflower oil,750ml double cream chilled,100ml kahlua,2 tsp instant espresso powder plus extra to decorate,2 tbsp icing sugar,1 tsp vanilla extract,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/coffee-and-cream-fridge-cake/,3 x 250g packs Lotus Biscoff,to decorate chocolate-covered coffee beans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baileys fudge,NA,4,1,Baking and desserts,"Makes 30
Easy
Total time : 45 mins
+ cooling","This homemade white chocolate fudge makes a great little sweet treat or edible gift. Perfect with coffee to finish off a meal or as a little energy booster, it keeps for up to a month in an airtight container",3,4,500g golden granulated sugar,500ml whipping cream,50ml  Baileys,150g white chocolate,NA,NA,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/video-baileys-and-white-chocolate-fudge-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy banana bread,Nadine Brown,5,1,Vegan,"Serves 12
Easy
Total time : 1 hr and 20 mins","A healthy glug of maple syrup is the key to this wonderfully moist vegan banana bread, flavoured with both coconut oil and desiccated coconut",5,10,2 tbsp chia seeds,220g wholemeal self-raising flour,1 tsp ground cinnamon,1 tsp bicarbonate of soda,100g maple syrup,"80g coconut oil melted, plus extra for the tin",Olive Magazine UK,https://www.olivemagazine.com/recipes/vegan/healthy-banana-bread/,"3 bananas 2 mashed, 1 left whole",3 tbsp dairy-free milk,1 tsp vanilla extract,50g desiccated coconut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten-free brownies,Adam Bush,3,2,Baking and desserts,"Serves 12
Easy
Prep: 15 mins
Cook: 30 mins","These brownies are everything you'd hope – dense, fudgy and rich – and are a great option for anyone avoiding gluten",3,7,250g unsalted butter,350g dark chocolate chopped,250g caster sugar,4 eggs,1 tsp vanilla bean paste,125g gluten-free flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/gluten-free-brownies/,75g cocoa powder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marmalade and ginger fool,Helena Busiakiewicz,NA,NA,Baking and desserts,"Serves 4
Easy
Prep: 15 mins","This is a delicious, speedy dessert that is zesty and zingy. Serve with extra ginger biscuits for scooping, if you like",3,8,200g double cream,1 large orange zested and juiced,10g ginger peeled and finely grated,4 tbsp icing sugar,200g greek yogurt,3-4 tbsp marmalade,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/marmalade-and-ginger-fool/,100g gingernut biscuits crushed to a fine crumb,1 orange peeled and segmented,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frozen chocolate and hazelnut cheesecake,NA,5,4,Baking and desserts,"Serves 8-10
Easy
Total time : 30 mins
+ overnight freezing",Check out this frozen Nutella cheesecake with classic bourbon biscuits and crunchy roasted hazelnuts. This indulgent dessert is easy to make and perfect for a summertime dinner party with friends,4,10,200g full-fat soft cheese,1 tsp vanilla extract,2 large eggs separated,125g Nutella,100g golden caster sugar,300ml pot whipping cream,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/frozen-chocolate-and-hazelnut-cheesecake/,75g hazelnuts roasted and roughly chopped,to serve (optional) single cream,250g bourbon biscuits,75g salted butter melted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter trash tiffin,Janine Ratcliffe,5,1,Family,"Cuts into 16
Easy
Total time : 20 mins
+ chilling",Use left-over chocolate and Easter eggs to create this indulgent fruit and nut chocolate tiffin,3,9,150g salted butter,3 tbsp golden syrup,200g dark chocolate chopped,200g milk chocolate chopped,12 glacé cherries halved,6 gingernut biscuits broken into small pieces,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/easter-trash-tiffin/,4 tbsp flame raisins,50g blanched whole almonds,1-2 handfuls Easter egg pieces broken into small shards,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
