title,author,rating,ratingnum,categories,INFOCARD,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31
Biscuit place tags,Anna Glover,NA,NA,"Freezable (dough only)
Vegetarian","Serves 10 - 12
Easy
Prep: 50 mins
Cook: 12 mins - 15 mins
plus chilling and 2-3 hrs setting",9,100g butter,60g caster sugar,160g plain flour plus extra for dusting,1tsp ground cinnamon,¼-½ tsp ground cardamom,1 egg yolk,1tsp vanilla extract,100g royal icing sugar,few drops of food colouring (optional),BBC Good Food,https://www.bbcgoodfood.com/recipes/biscuit-place-tags,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to cook fillet steak,Good Food team,4.9,5,NA,"Serves 1
Easy
Prep: 5 mins
Cook: 40 mins",6,2 tbsp olive oil,"1 large potato cut into chunky chips, skin left on",1 fillet steak,1 tbsp red wine vinegar,125ml beef stock,2 heaped tbsp extra thick double cream,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/steak-chips-quick-pepper-sauce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PBJ cookie ice cream sandwiches,Good Food team,NA,NA,"Freezable (ice cream only)
Gluten-free","Makes 8 ice cream sandwiches plus 500ml ice cream
Easy
Prep: 20 mins
Cook: 12 mins
plus overnight freezing",11,120g frozen raspberries,1 lemon juiced,2 tbsp icing sugar,1⁄2 tbsp liquid glucose (optional),1⁄2 x 397g can condensed milk,600ml double cream,1 tsp vanilla bean paste,200g peanut butter,50g golden caster sugar,BBC Good Food,https://www.bbcgoodfood.com/recipes/pbj-cookie-ice-cream-sandwiches,125g light brown soft sugar,1 egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triple-cooked roast potatoes,Samuel Goldsmith,3.9,5,"Freezable
Vegetarian","Serves 6
Easy
Prep: 20 mins
Cook: 1 hr and 50 mins",3,250g beef dripping goose fat or vegetable oil,1½ kg Maris Piper or King Edward potatoes,2 tbsp semolina or plain flour,NA,NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/triple-cooked-roast-potatoes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate biscuit wreath cake,NA,NA,NA,Vegetarian,"Makes 1 x 25cm cake (serves 18-20)
A challenge
Prep: 1 hr and 30 mins
Cook: 8 mins
plus making the cake mix, dough and icing; 4 hrs chilling; cooling; overnight setting; 1-2 days drying",11,sunflower oil for brushing,Christmas chocolate biscuit cake mix (see below),gingerbread biscuit dough (see below),plain flour for dusting ,1 quantity  royal icing (see below),green food colouring gel,1 quantity royal icing plus 3 tbsp (see below),red and yellow food colouring gels,1kg chocolate fondant icing,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-biscuit-wreath-cake,icing sugar for dusting,red sugar pearls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to cook quinoa,Adam Bush,4,5,"Dairy-free
Egg-free
Gluten-free
Healthy
Low fat
Nut-free
Vegan
Vegetarian","Serves 4
Easy
Prep: 5 mins
Cook: 20 mins",1,200g quinoa,NA,NA,NA,NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/basic-quinoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spanish-style slow-cooked lamb shoulder & beans,Tom Kerridge,4.2,5,NA,"Serves 8-10
Easy
Prep: 20 mins
Cook: 3 hrs and 45 mins",14,2 ½kg lamb shoulder,1 tbsp olive oil,2 onions roughly chopped,4 carrots roughly chopped,1 garlic bulb outer layers peeled and cut in half,500ml chicken stock,3 x 400g cans butter beans drained and rinsed,460g jar roasted red pepper drained and roughly chopped,300g jar pitted black olives drained,BBC Good Food,https://www.bbcgoodfood.com/recipes/spanish-style-slow-cooked-lamb-shoulder-beans,4 tbsp chopped flat-leaf parsley,4 garlic cloves crushed,1 tbsp hot smoked paprika,4 tbsp olive oil,½ tsp dried rosemary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best of British burgers with triple-cooked chips,James Martin,5,5,Freezable,"Serves 4
More effort
Prep: 25 mins
Cook: 40 mins",17,"4 large potatoes (we used Maris Piper), cut into chunky chips",2l vegetable oil for frying,sea salt to serve,500g beef mince best quality you can afford,4 shallots finely chopped,2 tsp English mustard,1 large egg yolk,25g breadcrumb,1 tbsp vegetable oil,BBC Good Food,https://www.bbcgoodfood.com/recipes/best-british-burgers-triple-cooked-chips,4 rashers smoked streaky bacon,4 large sesame-seed buns halved,4 tbsp tomato ketchup,8 slices  red leicester,1 large handful lamb's lettuce,2 gherkins sliced lengthways,2 vine tomatoes sliced lengthways,coleslaw to serve (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pressure-cooked citrus Christmas pudding,Barney Desmazery,5,5,Vegetarian,"Serves 8 - 10
More effort
Prep: 30 mins
Cook: 2 hrs
plus overnight soaking",19,175g raisins,175g currants,175g sultanas,140g glacé cherries,50g mixed peel,50g whole blanched almonds,1 orange zested,1 lemon zested,1 carrot peeled and finely grated,BBC Good Food,https://www.bbcgoodfood.com/recipes/pressure-cooked-citrus-christmas-pudding,150ml brandy or dark rum,50ml orange liqueur (optional),175g light muscovado sugar,175g fresh white breadcrumbs,125g self-raising flour,1 tsp mixed spice,¼ tsp grated nutmeg,"175g butter frozen, plus extra at room temperature for the tin",2 eggs beaten,"brandy butter double cream, ice cream or custard, to serve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooking with kids: Spaghetti & meatballs with hidden veg sauce,Barney Desmazery,4.9,5,Freezable,"Serves 6 (4 children, 2 adults)
Easy
Prep: 15 mins
Cook: 30 mins",16,300g good quality  pork sausage (about 4 large or 8 chipolatas),500g lean beef mince,1 small onion coarsely grated,1 carrot finely grated,1 tbsp dried oregano,"50g parmesan finely grated, plus extra to serve",1 medium egg,1 tbsp olive oil,1 tbsp olive oil,BBC Good Food,https://www.bbcgoodfood.com/recipes/cooking-kids-spaghetti-meatballs-hidden-veg-sauce,1 courgette coarsely grated,3 garlic cloves finely grated,1 tbsp tomato purée,pinch caster sugar,splash red wine vinegar,2x tins chopped tomato,cooked spaghetti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-cook veggie fajitas,Esther Clark,3.9,5,Vegetarian,"Serves 4
Easy
Prep: 25 mins
No cook",12,2 x 180g tubs marinated chargrilled vegetables drained,2 x 400g cans pinto beans drained and rinsed,200g tub  tomato salsa,2 limes zested and juiced,1 tbsp red wine vinegar,2-3 tbsp hot sauce plus extra to serve,"small bunch coriander chopped, plus extra, shredded, to serve",2 ripe avocados stoned and diced,1 small garlic clove finely grated,BBC Good Food,https://www.bbcgoodfood.com/recipes/no-cook-veggie-fajitas,8 medium soft flour tortillas,100ml soured cream to serve,salad leaves to serve (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roasted tomato, basil & parmesan quiche",Barney Desmazery,4.7,5,"Nut-free
Vegetarian","Serves 8
Easy
Prep: 40 mins
Cook: 40 mins",8,300g cherry tomatoes,drizzle olive oil,"50g parmesan (or vegetarian alternative), grated ",2 eggs,284ml pot double cream,"handful basil leaves, shredded, plus a few small ones left whole for scattering",280g plain flour plus extra for dusting,140g cold butter cut into pieces,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/roasted-tomato-basil-parmesan-quiche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked duck legs in Port with celeriac gratin,James Martin,4.9,5,Freezable (duck only),"Serves 2
More effort
Cook: 2 hrs and 30 mins
Prep 15 mins + infusing",19,2 duck legs,2 carrots roughly chopped,1 small  onion roughly chopped,1 tbsp plain flour,1 bay leaf,1 star anise,2 cloves,2 strips orange skin (with a potato peeler),150ml port,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-duck-legs-port-celeriac-gratin,500ml chicken stock,100ml milk,100ml double cream,1 garlic clove squashed,1 rosemary sprig,25g butter plus extra for greasing,"¼ small celeriac (about 100g), quartered and thinly sliced",1 small  potato thinly sliced,grated  parmesan for sprinkling,seasonal vegetables to serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry cheesecake,Good Food team,4.5,5,"Nut-free
Vegetarian","Serves 12 - 14
Easy
Prep: 30 mins
Plus 1 hr and overnight chilling",8,250g digestive biscuits,100g butter melted,1 vanilla pod,600g full fat soft cheese,100g icing sugar,284ml pot of double cream,400g punnet of strawberries halved ,25g icing sugar,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/strawberry-cheesecake-4-easy-steps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy chocolate biscuits,Barney Desmazery,4.5,5,"Nut-free
Vegetarian","Makes 25 biscuits
Easy
Prep: 25 mins
Cook: 10 mins - 15 mins",6,250g butter softened ,350g light soft brown sugar,2 large eggs,350g self-raising flour,100g cocoa powder,"200g chocolate chips or chopped chocolate chunks, or 400g for optional dipping (choose your favourite type)",NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/easy-chocolate-biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked beetroot & beef curry (Chukandar Gosht),Sumayya Usmani,4.8,5,Gluten-free,"Serves 4
Easy
Prep: 15 mins
Cook: 1 hr and 40 mins",16,3-4 tbsp corn oil or  sunflower oil,1 black  cardamom pod (preferable) or 3 green cardamom pods,2.5cm piece of  cinnamon,1 tsp cumin seeds,1 tsp coriander seeds,2 medium red onions sliced,1 tsp grated garlic,1 tsp grated ginger,2 medium tomatoes chopped,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-beetroot-beef-curry-chukandar-gosht,1 tsp red  chilli powder,450g stewing beef cut into 2.5cm chunks,350g raw beetroot grated,small pack  coriander leaves,1 green chilli chopped,squeeze of ½  lime,naan bread or cooked basmati rice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leek, tomato & barley risotto with pan-cooked cod",Sara Buenfeld,4.5,5,"Egg-free
Healthy","Serves 2
Easy
Prep: 10 mins
Cook: 20 mins",10,2 tsp rapeseed oil,"1 large leek (315g), thinly sliced",2 garlic cloves chopped,400g can barley (don't drain),2 tsp vegetable bouillon,1 tsp finely chopped sage,1 tbsp thyme leaves plus a few extra to serve,160g cherry tomatoes,50g finely grated parmesan,BBC Good Food,https://www.bbcgoodfood.com/recipes/leek-tomato-barley-risotto-pan-cooked-cod,2 skin-on cod fillets or firm white fish fillets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Twice-cooked sticky duck,Barney Desmazery,4.7,5,Freezable,"Serves 6
Easy
Prep: 20 mins
Cook: 2 hrs
plus overnight chilling",15,1 strip pared orange zest,6 duck legs,6 garlic cloves smashed,thumb-sized piece ginger sliced,1 ½ tsp Chinese five-spice powder,100ml dark soy sauce,1 tbsp oyster sauce,1 tbsp golden caster sugar,50ml Shaohsing rice wine,BBC Good Food,https://www.bbcgoodfood.com/recipes/twice-cooked-sticky-duck,1 tbsp honey,½ tsp Chinese five-spice powder,halved and sliced cucumber,coriander leaves,sliced chilli,cooked rice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate cheesecake,Member recipe by lightwood,4.5,5,"Egg-free
Nut-free
Vegetarian","Serves 10-12
Easy
Prep: 25 mins
plus chilling, cooling, 2 hrs freezing and resting; no cook",8,150g digestive biscuits (about 10),1 tbsp caster sugar,"45g butter melted, plus extra for the tin",150g dark chocolate,120ml double cream,2 tsp cocoa powder,200g full-fat cream cheese,115g caster sugar,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-cheesecake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shortbread,Good Food team,4.3,5,"Freezable
Egg-free
Nut-free
Vegetarian","Makes 20 biscuits
Easy
Prep: 20 mins
Cook: 15 mins",3,150g/5oz plain flour plus extra for dusting,100g/4oz butter chilled and cubed,50g/2oz caster sugar plus 1 tbsp for sprinkling,NA,NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/shortbread-biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy oven-cooked Jamaican brown stew chicken,Michelle Miah,4.5,5,NA,"Serves 4
Easy
Prep: 20 mins
Cook: 1 hr and 10 mins
plus 24 hrs marinating",17,1.6kg whole chicken,1½ tbsp demerara sugar,400ml hot chicken stock,1 tbsp browning sauce (I use Grace),1 tsp plain flour mixed with 25ml cold water,"1-2 spring onions sliced, to serve","rice and peas and slaw, to serve (optional)",8 thyme sprigs,1 onion finely sliced,BBC Good Food,https://www.bbcgoodfood.com/recipes/easy-oven-cooked-jamaican-brown-stew-chicken,2 garlic cloves chopped,½ scotch bonnet pepper chopped,2 tomatoes cut into wedges,2 tbsp all-purpose seasoning (I use Dunn’s River),1 tbsp chicken seasoning (I use Dunn’s River),6 whole pimento seeds crushed,1 tsp black pepper,4 tbsp extra virgin olive oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked porridge,Sarah Cook,3.2,5,"Gluten-free
Healthy
Vegetarian","Serves 4
Easy
Prep: 5 mins
plus overnight cooking",4,1 cup jumbo oats,"4 cups milk (or half milk, half water for a less creamy version), plus a dribble more milk to serve",¼ cup dried fruits (optional),"your favourite toppings - brown sugar or honey sliced bananas, grated apple, blueberries, pinch of cinnamon, natural yogurt, etc",NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-porridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to cook trout,Barney Desmazery,4.5,5,"Gluten-free
Healthy","Serves 2
Easy
Prep: 5 mins
Cook: 20 mins",5,2 whole rainbow trout gutted and cleaned,1 tbsp olive oil,1 lemon thinly sliced,"sprigs of various herbs (parsley, thyme and dill would all work well)","fresh horseradish grated, to serve (optional)",NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/simple-herb-baked-trout-horseradish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-cook chicken couscous,Good Food team,4.5,5,Healthy,"Serves 2
Easy
Total time : 25 mins
Takes 15-25 minutes",7,100g plain couscous,100g frozen peas,200ml boiling hot stock chicken or vegetable,200g packet cooked chicken fillets,1 large tomato chopped,1 tbsp olive oil,squeeze of  lemon juice about a teaspoonful,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/no-cook-chicken-couscous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air-fryer or oven-cooked fish & chips,Ailsa Burt,5,5,NA,"Serves 4
Easy
Prep: 25 mins
Cook: 45 mins
plus drying",19,45ml rapeseed oil plus extra for the racks,1 kg floury potatoes (such as Maris Piper),400ml malt vinegar,1 tbsp cornflour,2 tbsp olive oil,150g panko breadcrumbs,"1 lemon zested, then cut into wedges",small handful of parsley finely chopped,100g plain flour,BBC Good Food,https://www.bbcgoodfood.com/recipes/air-fryer-or-oven-cooked-fish-chips,3 eggs beaten,1 tbsp Dijon mustard,"4 x 200-250g boneless, skinless white fish loin fillets (such as haddock or cod)","8 cornichons finely chopped, plus a splash of the pickling liquid",small handful of dill finely chopped,300g mayonnaise,350g fresh or frozen peas (defrosted if frozen),25g butter,1 lemon zested and juiced,small handful of mint leaves finely chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Twice-cooked pork belly with an onion & apple velouté,Gordon Ramsay,4.8,5,Freezable,"Serves 6
A challenge
Prep: 30 mins
Cook: 4 hrs
Plus overnight pressing",15,1 tbsp coriander seeds,2 star anise,1 tbsp sea salt,"½ a whole pork belly about 1.5kg (ask for the thin half), boned, skin left on but not scored",handful thyme,handful rosemary,"2 x 350g jars goose fat (or use lard, sunflower or vegetable oil)",6 curly parsley sprigs,25g butter,BBC Good Food,https://www.bbcgoodfood.com/recipes/twice-cooked-pork-belly-onion-apple-veloute,4 onions finely chopped,2 Granny Smith apples cored and sliced,250ml chicken stock,142ml tub double cream,"24 thin green-topped carrots trimmed, peeled, but left whole",2 tbsp olive oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate tiffin,KTibbetts85,4.7,5,"Egg-free
Nut-free
Vegetarian","Serves 12-15
Easy
Prep: 15 mins
Cook: 2 mins
plus 2 hrs setting",8,"150g butter cubed, plus extra for the tin",3 tbsp caster sugar,3 tbsp golden syrup,6 tsp cocoa powder,225g biscuits crushed ,handful of raisins,110g milk chocolate,110g dark chocolate,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-tiffin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked celeriac with pork & orange,Barney Desmazery,4.3,5,Freezable,"Serves 6
More effort
Total time : 3 hrs
Ready in 2½-3 hrs, including 2 hours in the oven",12,3 leeks trimmed and washed,2 carrots peeled,3 tbsp olive oil,900g boneless  pork cut into large stewing pieces (shoulder is an ideal cut to use),"2 small or 1 large celeriac (about 1kg/2lb 4oz), peeled and diced into large chunks",2 garlic cloves chopped,200ml dry white wine,200ml chicken stock,juice and zest of 1  orange (remove the orange zest with a potato peeler),BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-celeriac-pork-orange,2 tsp soy sauce,large sprig of rosemary,crusty bread to serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White chocolate cheesecake,Member recipe by gingerella,4.5,5,"Egg-free
Vegetarian","Serves 8 - 10
Easy
Prep: 15 mins
Cook: 10 mins
plus chilling",7,300g digestive biscuits (make sure the products are free from any trace of nuts when preparing for someone with a nut allergy),"150g unsalted butter melted, plus extra to grease",400g white chocolate broken into pieces,300g full-fat cream cheese (we used Philadelphia),250g mascarpone,300ml double cream,"200g strawberries or raspberries, to serve",NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/white-chocolate-cheesecake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy banoffee pie,Liberty Mendez,4,5,"Nut-free
Vegetarian","Serves 8-10
Easy
Prep: 25 mins
plus chilling",7,225g/8oz digestive biscuits,150g/5oz butter melted,397g can caramel or 400g dulce de leche,3 small bananas sliced,300ml/½ pint double cream,1 tbsp icing sugar,1 square dark chocolate (optional),NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/easy-banoffee-pie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York cheesecake,Good Food team,4.7,5,"Freezable
Nut-free
Vegetarian","Serves 12
Easy
Prep: 20 mins
Cook: 1 hr and 10 mins
Plus 2 hours cooling + 8 hours chilling",14,85g butter plus extra for tin,140g digestive biscuits made into fine crumbs (add 2 extra biscuits if you like a thicker base),1 tbsp sugar granulated or golden caster,900g Philadelphia cheese or other full-fat soft cheese,250g golden caster sugar,3 tbsp plain flour,1 ½ tsp vanilla extract,finely grated zest of 1 lemon (about 2 tsp),1 ½ tsp lemon juice,BBC Good Food,https://www.bbcgoodfood.com/recipes/new-york-cheesecake,3 large eggs plus 1 yolk,284ml carton soured cream,142ml carton soured cream,1 tbsp golden caster sugar,2 tsp lemon juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Key lime pie,Good Food team,4.7,5,"Nut-free
Vegetarian","Serves 8
Easy
Prep: 30 mins
Cook: 25 mins",8,300g oatmeal biscuits,110g butter melted,1 x 397g can condensed milk (we used Nestlé),3 medium egg yolks,finely grated zest and juice of 4 limes,300ml double cream,1 tbsp icing sugar,extra  lime zest to decorate,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/key-lime-pie-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-cook strawberry & balsamic tartlets,Tom Kerridge,4.5,5,Vegetarian,"Serves 6
Easy
Prep: 10 mins",7,150ml double cream,50g icing sugar plus extra for dusting,2 tbsp aged balsamic vinegar,few pinches of  cracked black pepper,6 small  sweet pastry cases,480g strawberries (the best quality you can find),"meringues and Thai basil leaves, to serve (optional)",NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/no-cook-strawberry-balsamic-tartlets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to cook brussels sprouts,Lulu Grimes,3.3,5,"Freezable
Gluten-free
Low fat
Vegan","Serves 8
Easy
Prep: 5 mins
Cook: 10 mins",2,"750g brussels sprouts trimmed, any large ones halved or quartered",Knob of unsalted butter (optional),NA,NA,NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/how-to-cook-brussels-sprouts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooking with kids: Chunky fish fingers,Barney Desmazery,4.3,5,Freezable (Freeze before cooking),"Serves 2 adults and 2-3 kids
Easy
Prep: 15 mins
Cook: 15 mins",6,"500g skinless, boneless chunky  white fish fillet (we used haddock), cut into neat thumb-sized strips",100g plain flour seasoned,3 large eggs beaten,200g dried breadcrumb,large pinch turmeric (optional),vegetable oil for frying,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/cooking-kids-chunky-fish-fingers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Twice-cooked beef short ribs with dripping carrots & gravy,Barney Desmazery,4.5,5,Freezable,"Serves 6 - 8
Easy
Prep: 20 mins
Cook: 4 hrs and 20 mins
plus cooling and overnight chilling",6,vegetable oil for frying,2 racks of  beef short ribs (4 bones each),750ml bottle red wine,8 carrots peeled but left whole,2 tbsp red onion marmalade,large bunch parsley chopped,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/twice-cooked-beef-short-ribs-dripping-carrots-gravy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Custard & white chocolate biscuits,Mary Cadogan,4.8,5,Freezable,"Makes about 25
Easy
Prep: 15 mins
Cook: 12 mins - 15 mins",7,140g butter softened,175g caster sugar,1 egg,½ tsp vanilla extract,225g self-raising flour,85g custard powder,85g white chocolate chopped into small chunks,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/custard-white-chocolate-biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ultimate easy gingerbread,Liberty Mendez,4,5,"Nut-free
Vegetarian","Easy
Prep: 20 mins
Cook: 15 mins
plus 1 hr chilling",8,100g salted butter,3 tbsp golden syrup,100g dark muscovado sugar,½ tsp bicarbonate of soda,1 tbsp ground ginger,1 tsp ground cinnamon,225g plain flour,50g icing sugar,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/ultimate-easy-gingerbread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked pork & red cabbage,Mary Cadogan,3.9,5,Freezable,"Serves 6
More effort
Prep: 25 mins
Cook: 2 hrs - 2 hrs and 15 mins",10,1.5kg/3lb 5oz pork shoulder,1 rounded tsp  black peppercorns,1 tbsp thyme leaves,3 tbsp olive oil,2  onions chopped , 1.5kg red  cabbage finely shredded,"2  apples peeled, cored and cut into eighths",425ml red wine,200g  pack vacuum-packed  chestnuts,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-pork-red-cabbage,2 tbsp  cranberry or redcurrant jelly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mini Egg cheesecake,Esther Clark,4.7,5,"Egg-free
Nut-free
Vegetarian","Serves 10
Easy
Prep: 20 mins
plus overnight chilling",8,vegetable oil for the tin,200g  digestive biscuits,80g  unsalted butter melted ,250g  Mini Eggs or leftover Easter eggs ,400g  full-fat soft cheese,150g  icing sugar,1 tsp  vanilla bean paste,400g double cream,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/easter-egg-cheesecake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickerdoodles,Good Food team,4.8,5,Vegetarian,"Serves 18
Easy
Prep: 20 mins
Cook: 12 mins
plus cooling",10,200g unsalted butter softened,150g caster sugar,50g light brown soft sugar,2 tsp vanilla bean paste,300g plain flour,1½ tsp cream of tartar,1 tsp bicarbonate of soda,3 tbsp milk,3 tbsp caster sugar,BBC Good Food,https://www.bbcgoodfood.com/recipes/snickerdoodles,1 tbsp ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easiest ever biscuits,Lulu Grimes,4.5,5,"Freezable
Nut-free
Vegetarian","makes 24
Easy
Prep: 10 mins
Cook: 20 mins",5,200g unsalted butter softened,200g golden caster sugar,1 large egg,½ tsp vanilla extract,400g plain flour plus extra for dusting,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/easiest-ever-biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anzac biscuits,Good Food team,4.5,5,"Easily doubled
Easily halved
Egg-free
Nut-free
Vegetarian","Makes 20
Easy
Total time : 35 mins
Takes 35 mins",7,85g porridge oat,85g desiccated coconut,100g plain flour,100g caster sugar,100g butter plus extra butter for greasing  ,1 tbsp golden syrup,1 tsp bicarbonate of soda,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/anzac-biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
