title,author,rating,ratingnum,card1,card2,card3,card4,yield,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42
Chewy Banana Chocolate Chip Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,10," ½ cup (1 stick / 113 g) unsalted butter, melted
"," ½ cup (100 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," ¼ cup (56 g) mashed banana, about 1 small banana
"," 1 teaspoon vanilla extract
"," 1 ½ cups (187.5 g) all-purpose flour
"," 1 teaspoon cornstarch
"," ½ teaspoon baking soda
"," ½ teaspoon kosher salt
",i am baker,https://iambaker.net/chewy-banana-chocolate-chip-cookies/, ¾ cup (126 g) milk chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter M&M Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,Chilling Time 2 hours hrs,Total Time 2 hours hrs 22 minutes mins,NA,9," 3 cups (375 g) all-purpose flour
"," 1 teaspoon baking soda
"," ¾ teaspoon kosher salt
"," 1 cup (2 sticks / 227g) unsalted butter, room temperature
"," 1 ½ cups (300 g) light brown sugar, packed
"," ½ cup (100 g) granulated sugar
"," 2 large eggs, room temperature
"," 1 tablespoon vanilla extract
"," 1 ¾ cups (355 g) Easter M&M milk chocolate candies, pastel blend",i am baker,https://iambaker.net/easter-mm-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Monster Cookies,Amanda Rettke,5,NA,Prep Time 20 minutes mins,Cook Time 10 minutes mins,Chilling Time 30 minutes mins,Total Time 1 hour hr,NA,12," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 cup (258 g) creamy peanut butter
"," 1 ½ cups (300 g) light brown sugar, packed
"," 2 large eggs, room temperature
"," 2 cups (250 g) all-purpose flour
"," 1 cup (90 g) old fashioned oats
"," 1 teaspoon baking soda
"," ½ teaspoon kosher salt
"," 1 cup (203 g) Easter M&M's milk chocolate candies, pastel blend
",i am baker,https://iambaker.net/easter-monster-cookies/," 1 cup Easter peanut butter M&M's eggs, roughly chopped
"," 1 ½ cups (252 g) semi-sweet chocolate chips
"," Easter M&M candies, for topping (optional)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’mores Cookies,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 13 minutes mins,NA,Total Time 33 minutes mins,NA,15," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," ½ cup (103 g) shortening, room temperature
"," ½ cup (100 g) granulated sugar
"," ½ cup (100 g) brown sugar, packed
"," 2 large eggs, room temperature
"," 1 teaspoon vanilla
"," 3 cups (375 g) all-purpose flour
"," 2 tablespoons cornstarch
"," 1 teaspoon kosher salt
",i am baker,https://iambaker.net/smores-cookies/," ½ teaspoon baking powder
"," 1 cup (168 g) semi-sweet chocolate chunks
"," 1 cup (168 g) milk chocolate chips
"," 5 bars (1.55 ounces each) milk chocolate, broken into pieces for topping
"," 1 jar (7 ounces) marshmallow fluff, for topping
"," ¼ cup (21 g) graham cracker crumbs, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pistachio Chocolate Chip Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 10 minutes mins,NA,Total Time 20 minutes mins,NA,10," 2 ¼ cups (281 g) all-purpose flour
"," 1 teaspoon baking soda
"," 1 teaspoon kosher salt
"," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 cup (200 g) light brown sugar, packed
"," ½ cup (100 g) granulated sugar
"," 2 large eggs, room temperature
"," 2 teaspoons vanilla extract
"," 1 ½ cups (184.5 g) unsalted roasted pistachios*, finely chopped, divided
",i am baker,https://iambaker.net/pistachio-chocolate-chip-cookies/," 1 ¼ cups (212 g) semi-sweet chocolate chips, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Stuffed Chocolate Chip Cookies,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 10 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 30 minutes mins,NA,10," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 ½ cups (300 g) light brown sugar, packed
"," 1 teaspoon vanilla extract
"," 2 large eggs, room temperature
"," 2 ¼ cups (282 g) all-purpose flour
"," 1 tablespoon cornstarch
"," 1 teaspoon baking soda
"," 1 teaspoon kosher salt, plus extra for sprinkling over aluminum foil
"," 2 cups (336 g) semi-sweet chocolate chips
",i am baker,https://iambaker.net/caramel-stuffed-chocolate-chip-cookies/," 24 soft caramels, unwrapped, flattened to a circle shape (about 1 ½-inches in diameter)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
German Chocolate Cookies,Amanda Rettke,2.50,2,Prep Time 20 minutes mins,Cook Time 8 minutes mins,NA,Total Time 28 minutes mins,NA,21,"Cookies
"," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 ¼ cups (250 g) granulated sugar, plus more for pressing dough with a kitchen glass
"," ¾ cup (94 g) confectioners' sugar
"," ¾ cup (163.5 g) vegetable oil
"," 2 large eggs, room temperature
"," 2 tablespoons water
"," 1 teaspoon vanilla extract
"," 4 ½ cups (562.5 g) all-purpose flour
",i am baker,https://iambaker.net/german-chocolate-cookies/," 1 cup (118 g) Dutch-process cocoa
"," 1 teaspoon kosher salt
"," ½ teaspoon baking soda
"," ½ teaspoon cream of tartar
", ½ cup (46.5 g) sweetened coconut," Frosting
"," 1 can (14 ounces) sweetened condensed milk
"," ¼ cup (50 g) brown sugar
"," ¼ cup (½ stick / 57 g) unsalted butter
"," 1 teaspoon vanilla extract
"," 1 cup (109 g) pecans, chopped
", 1 cup (93 g) sweetened shredded coconut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Chocolate Chip Cookies,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Chilling Time 1 day d,Total Time 1 day d 25 minutes mins,NA,12," 1 ⅔ cups (208 g) cake flour
"," 1 ⅔ cups (208 g) bread flour
"," 1 ½ teaspoons baking powder
"," 1 ¼ teaspoons baking soda
"," 1 ½ teaspoons kosher salt
"," 1 ¼ cups (2 ½ sticks / 284 g) unsalted butter, room temperature
"," 1 ¼ cups (225 g) light brown sugar, packed
"," 1 cup (200 g) granulated sugar
"," 2 large eggs, room temperature
",i am baker,https://iambaker.net/peppermint-chocolate-chip-cookies/," 2 teaspoons vanilla extract
"," 3 cups (546 g) semi-sweet chocolate chips
"," ¼ cup peppermint candies, crushed in small peices, plus more for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maple Snickerdoodles,Amanda Rettke,5,NA,Prep Time 15 minutes mins,Cook Time 6 minutes mins,NA,Total Time 21 minutes mins,NA,12," 1 cup (2 sticks / 227 g) unsalted butter, softened, but not melted
"," 1 ½ cups (300 g) granulated sugar
"," 2 large eggs, room temperature
"," ¼ cup (79 g) pure maple syrup
"," 1 tablespoon vanilla extract
"," 3 cups (375 g) all-purpose flour
"," 1 teaspoon cream of tartar
"," 1 teaspoon baking soda
", ¼ teaspoon kosher salt,i am baker,https://iambaker.net/maple-snickerdoodles/," Cinnamon Sugar
"," 3 tablespoons granulated sugar
", 3 teaspoons ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornbread Sandwich Cookies,Amanda Rettke,4,NA,Prep Time 20 minutes mins,Cook Time 8 minutes mins,NA,Total Time 28 minutes mins,NA,19,"Cookies
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," ½ cup (102.5 g) shortening
"," ½ cup (100 g) granulated sugar
"," ½ cup (100 g) brown sugar, packed
"," 3 large eggs, room temperature
"," 1 tablespoon honey
"," 1 teaspoon vanilla extract
"," 2 cups (250 g) all-purpose flour
",i am baker,https://iambaker.net/cornbread-sandwich-cookies/," 1 cup (122 g) yellow cornmeal
"," 2 tablespoons cornstarch
"," 1 teaspoon kosher salt
"," ½ teaspoon baking powder
", ½ teaspoon baking soda," Frosting
"," ¾ cup (1 ½ sticks / 170 g) unsalted butter, room temperature
"," ¼ cup (85 g) honey, plus more for drizzling
"," ¼ teaspoon kosher salt
", 3 cups (375 g) confectioners' sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bourbon Browned Butter Chocolate Chip Cookies,Amanda Rettke,5,NA,Prep Time 30 minutes mins,Cook Time 12 minutes mins,Chilling/Resting Time 1 day d 30 minutes mins,Total Time 1 day d 1 hour hr 12 minutes mins,NA,10," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 ½ cups (300 g) light brown sugar, lightly packed
"," 2 ½ cups (312.5 g) all-purpose flour
"," 1 teaspoon baking soda
"," 1 teaspoon kosher salt
"," ½ teaspoon baking powder
"," 3 large eggs, room temperature
"," 2 tablespoons bourbon
"," 2 cups (364 g / 12 ounces) semi-sweet chocolate chips,
",i am baker,https://iambaker.net/bourbon-browned-butter-chocolate-chip-cookies/," kosher salt, for topping (optional)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Cut-Out Sugar Cookies,Amanda Rettke,5,2,Prep Time 10 minutes mins,Cook Time 6 minutes mins,NA,Total Time 16 minutes mins,NA,7," 1 cup (2 sticks / 227 g) unsalted butter
"," 1 cup (200 g) granulated sugar
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," ½ teaspoon almond extract (optional)
"," 2 teaspoons baking powder
", 3 cups (375 g) all-purpose flour,NA,NA,i am baker,https://iambaker.net/brown-butter-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Maple Pecan Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,17,"Cookies
"," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 cup (200 g) light brown sugar, packed
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 2 cups (250 g) all-purpose flour
"," ½ cup (64 g) cake flour
"," 2 ½ teaspoons ground cinnamon
"," ½ teaspoon baking soda
",i am baker,https://iambaker.net/white-chocolate-maple-pecan-cookies/," ½ teaspoon baking powder
"," ½ teaspoon kosher salt
"," 1 cup (170 g) white chocolate chips
", 1 cup (109 g) chopped pecans," Glaze
"," 1 cup (125 g) confectioners' sugar
"," 3 tablespoons maple syrup
"," 2-3 tablespoons heavy cream, or more until it reaches your desired consistency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Raisin Cookie Recipe,Amanda Rettke,5,NA,Prep Time 10 minutes mins,Cook Time 11 minutes mins,Soaking Time 30 minutes mins,Total Time 51 minutes mins,NA,12," 1 cup (155 g) raisins
"," 1 cup warm water, 105°-115°F
"," 1 cup (2 sticks / 227 g) unsalted butter, softened
"," 1 cup (200 g) brown sugar, packed
"," ½ cup (100 g) granulated sugar
"," 2 large eggs, room temperature
"," 1 teaspoon vanilla extract
"," 3 cups (270 g) old-fashioned oats
"," 1 ½ cups (188 g) all-purpose flour
",i am baker,https://iambaker.net/oatmeal-raisin-cookie-recipe/," 2 teaspoons cinnamon
"," 1 teaspoon baking soda
", ½ teaspoon kosher salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Spice Oatmeal Cream Pies,Amanda Rettke,5,2,Prep Time 15 minutes mins,Cook Time 7 minutes mins,NA,Total Time 22 minutes mins,NA,17,"Pumpkin Spice Oatmeal Cookies
"," 1 ½ cups (187.5 g) all-purpose flour
"," 2 cups (180 g) old fashioned oats
"," 1 tablespoon pumpkin pie spice
"," ½ teaspoon baking powder
"," ½ teaspoon baking soda
"," ½ teaspoon kosher salt
"," ¼ teaspoon nutmeg
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
",i am baker,https://iambaker.net/pumpkin-oatmeal-cream-pies-recipe/," 1 cup (200 g) light brown sugar, packed
"," 2 large eggs, room temperature
"," 1 tablespoon molasses
", 1 teaspoon vanilla extract," Filling
"," ¾ cup (1 ½ sticks / 170 g) unsalted butter, softened
"," 1 jar (7 ounces) marshmallow fluff, or marshmallow creme
", 3 cups (375 g) confectioners' sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Spice Oatmeal Cookies,Amanda Rettke,5,4,Prep Time 5 minutes mins,Cook Time 7 minutes mins,NA,Total Time 12 minutes mins,NA,12," 1 ½ cups (187.5 g) all-purpose flour
"," 2 cups (180 g) rolled oats
"," ½ teaspoon baking powder
"," ½ teaspoon baking soda
"," ½ teaspoon kosher salt
"," 1 tablespoon pumpkin pie spice
"," ¼ teaspoon nutmeg
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," 1 cup (200 g) light brown sugar, packed
",i am baker,https://iambaker.net/pumpkin-spice-oatmeal-cookies/," 2 large eggs, room temperature
"," 1 teaspoon vanilla extract
", 1 tablespoon molasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch Haystacks,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,NA,Cooling Time 10 minutes mins,Total Time 25 minutes mins,NA,5," 1 cup (146 g) salted peanuts, roughly chopped
"," 3 cups (168 g) chow mein noodles
"," 2 cups (68 g) ripple potato chips
"," 1 bag (11 ounces) butterscotch chips
", ½ cup (129 g) creamy peanut butter,NA,NA,NA,NA,i am baker,https://iambaker.net/butterscotch-haystacks/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmelita Cookies,Amanda Rettke,4,NA,Prep Time 10 minutes mins,Cook Time 7 minutes mins,NA,Total Time 17 minutes mins,NA,13," 2 cups (180 g) old-fashioned oats
"," 1 ½ cups (187.5 g) all-purpose flour
"," ½ teaspoon baking powder
"," ½ teaspoon baking soda
"," ½ teaspoon kosher salt
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," 1 cup (200 g) light brown sugar, packed
"," 2 large eggs, room temperature
"," 1 tablespoon molasses
",i am baker,https://iambaker.net/carmelita-cookies/," 1 teaspoon vanilla extract
"," 1 cup (170 g) caramel bits
"," 1 cup (182 g) semi-sweet chocolate chips
"," caramel sauce, for garnish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Butter Snickerdoodles,Amanda Rettke,4.20,5,Prep Time 10 minutes mins,Cook Time 6 minutes mins,NA,Total Time 16 minutes mins,NA,14," ¾ cup (1 ½ sticks / 170 g) unsalted butter, softened but not melted
"," 1 ¼ cups (250 g) granulated sugar
"," ½ cup (120 g) apple butter
"," 2 large eggs, room temperature
"," 1 tablespoon vanilla extract
"," 2 ¾ cups (352 g) all-purpose flour
"," 1 teaspoon cream of tartar
"," 1 teaspoon baking soda
"," ½ teaspoon ground cinnamon
",i am baker,https://iambaker.net/apple-butter-snickerdoodles/," ¼ teaspoon kosher salt
", ¼ teaspoon ground nutmeg," Cinnamon Sugar
"," 3 tablespoons granulated sugar
", 3 teaspoons ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
School Day Cookies,Amanda Rettke,4,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,11," 1 cup (2 sticks / 227 g) unsalted butter, room temperature
"," 1 cup (200 g) granulated sugar
"," 2 large eggs, room temperature
"," ¼ cup (62 g) orange juice, freshly squeezed
"," 2 tablespoons orange zest
"," 2 teaspoons vanilla extract
"," 2 cups (250 g) all-purpose flour
"," 2 cups (180 g) old-fashioned oatmeal
"," ½ teaspoon kosher salt
",i am baker,https://iambaker.net/school-day-cookies/," ½ cup (72.5 g) raisins
", ½ cup (58.5 g) chopped walnuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thick and Chewy Sprinkles Cookies,Amanda Rettke,5,NA,Prep Time 10 minutes mins,Cook Time 10 minutes mins,NA,Total Time 20 minutes mins,NA,14," ¾ cup (1 ½ sticks / 170 g) unsalted butter, cold, diced
"," 1 cup (200 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," 1 large egg, room temperature
"," 1 large egg yolk, room temperature
"," 2 teaspoons vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," ⅔ cup (67 g) cake flour
"," 1 teaspoon kosher salt
",i am baker,https://iambaker.net/sprinkles-cookies/," 1 teaspoon baking powder
"," ½ teaspoon baking soda
"," 1 cup (192 g) sprinkles
"," ½ cup (84 g) mini semi-sweet chocolate chips
", ½ cup (84 g) white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Cider Cookies,Amanda Rettke,4,5,Prep Time 30 minutes mins,Cook Time 8 minutes mins,NA,Total Time 38 minutes mins,NA,16,"Cookies
"," 1 cup apple cider
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," ¾ cup (150 g) light brown sugar, packed
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 2 cups (250 g) all-purpose flour
"," 2 teaspoons apple pie spice
"," 1 teaspoon baking soda
",i am baker,https://iambaker.net/apple-cider-cookies/, ½ teaspoon kosher salt," Coating
"," ¼ cup (50 g) granulated sugar
", 1 teaspoon apple pie spice," Glaze
"," 1 cup (125 g) confectioners’ sugar
", 2-3 tablespoons apple cider,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maple Brown Sugar Cookies,Amanda Rettke,5,7,Prep Time 10 minutes mins,Cook Time 8 minutes mins,NA,Total Time 18 minutes mins,NA,15," 2 ⅓ cups (292 g) all-purpose flour
"," 1 teaspoon baking soda
"," ½ teaspoon kosher salt
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," 1 cup (200 g) light brown sugar, packed
"," 1 large egg, room temperature
"," ⅓ cup (105 g) pure maple syrup
"," 1 teaspoon vanilla extract
", 1 teaspoon maple extract,i am baker,https://iambaker.net/maple-brown-sugar-cookies/," Maple Glaze
"," ½ cup (62.5 g) confectioners’ sugar
"," 3 tablespoons pure maple syrup
"," 1 tablespoon unsalted butter, melted
"," ¼ teaspoon maple extract
"," 1 pinch kosher salt, to taste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thick and Chewy Peanut Butter Chocolate Chip Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,13," ¾ cup (1 ½ sticks / 170 g) unsalted butter, cold, cut into cubes
"," 1 cup (200 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," 1 large egg
"," 1 large egg yolk
"," 2 teaspoons vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," ⅔ cup (67 g) cake flour
"," 1 teaspoon kosher salt
",i am baker,https://iambaker.net/thick-chewy-peanut-butter-chocolate-chip-cookies/," 1 teaspoon baking powder
"," ½ teaspoon baking soda
"," 1 cup (168 g) semi-sweet chocolate chips
", 1 cup (168 g) peanut butter chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ultimate Thick and Chewy Chocolate Chip Cookies,Amanda Rettke,4.88,8,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,13," ¾ cup (1 ½ sticks / 170 g) unsalted butter, cold, cut into cubes
"," 1 cup (200 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," 1 large egg
"," 1 large egg yolk
"," 2 teaspoons vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," ⅔ cups (67 g) cake flour
"," 1 teaspoon kosher salt
",i am baker,https://iambaker.net/thick-chewy-chocolate-chip-cookies/," 1 teaspoon baking powder
"," ½ teaspoon baking soda
"," 1 cup (168 g) semi-sweet chocolate chips
", 1 cup (168 g) milk chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Oatmeal Chocolate Chip Cookies,Amanda Rettke,5,NA,Prep Time 10 minutes mins,Cook Time 7 minutes mins,Cooling Time 30 minutes mins,Total Time 47 minutes mins,NA,13," ½ cup (1 stick / 113 g) unsalted butter
"," 1 cup (200 g) light brown sugar, packed
"," 2 large eggs, room temperature
"," 1 teaspoon vanilla extract
"," 1 tablespoon molasses
"," 2 cups (180 g) rolled oats
"," 1 ½ cups (187.5 g) all-purpose flour
"," ½ teaspoon baking powder
"," ½ teaspoon baking soda
",i am baker,https://iambaker.net/butter-oatmeal-chocolate-cookies/," ½ teaspoon kosher salt
"," ½ teaspoon cinnamon
"," ¼ teaspoon nutmeg
", 1 cup (182 g) semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Iced Oatmeal Cookies,Amanda Rettke,5,NA,Prep Time 10 minutes mins,Cook Time 7 minutes mins,NA,Total Time 17 minutes mins,NA,17,"Oatmeal Cookies
"," 2 cups (180 g) rolled oats
"," 1 ½ cups (187.5 g) all-purpose flour
"," ½ teaspoon baking powder
"," ½ teaspoon baking soda
"," ½ teaspoon kosher salt
"," ½ teaspoon cinnamon
"," ¼ teaspoon nutmeg
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
",i am baker,https://iambaker.net/strawberry-iced-oatmeal-cookies/," 1 cup (200 g) light brown sugar, packed
"," 2 large eggs, room temperature
"," 1 tablespoon molasses
", 1 teaspoon vanilla extract," Strawberry Glaze
"," ½ cup strawberries, fresh or frozen
"," 1 cup (125 g) confectioners' sugar
", 1 tablespoon heavy cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copycat Levain Bakery Chocolate Chip Cookies,Amanda Rettke,4.88,16,Prep Time 10 minutes mins,Cook Time 12 minutes mins,Chilling Time 30 minutes mins,Total Time 52 minutes mins,NA,11," 1 cup (2 sticks / 227 g) unsalted butter, cold, cubed
"," 1 cup (200 g) light brown sugar, packed
"," ½ cup (100 g) granulated sugar
"," 2 large eggs, room temperature
"," 1 ½ cups (170 g) cake flour
"," 1 ½ cups (187.5 g) all-purpose flour
"," 1 teaspoon cornstarch
"," 1 teaspoon baking soda
"," ½ teaspoon kosher salt
",i am baker,https://iambaker.net/copycat-levain-chocolate-chip-cookie/," 2 cups (364 g) semi-sweet chocolate chips
"," 2 cups (234 g) walnuts, roughly chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
