title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14
Bear paw cookies,cookingwithmykids,NA,NA,Snack,American,30 minutes,10 minutes,NA,40 minutes,Servings: 21 cookies,10,"Measure the butter and sugars out and add them to a mixing bowl or freestanding mixer. 
Mix them together using the paddle attachment of your mixer if you’re using one, a hand held mixer, or wooden spoon until the sugar and butter are light and fluffy.
Break the eggs, one at a time, into a small bowl. Add them to your bowl, mixing it a little between the additions of each egg.
Turn the mixer down to a slower speed and add the vanilla extract into the bowl. 
Measure the flour, salt and bicarbonate of soda into a small bowl. Add these into your large mixing bowl.
Mix everything together until you have a smooth dough. If you need to, use a spatula to scrape the mixture down from the sides of the bowl.
Add the chocolate chips and give it one last mix so that everything is nicely combined.
Using a spoon add 6 dollops of dough mixture to each of your baking trays. These cookies spread while they're baking so leave as much space between each cookie as possible. 
Pop them in the oven for roughly 10 minutes. They’re ready when the edges have turned golden brown and they’ve flattened down. As soon as you remove them from the oven add one large and three small chocolate buttons for the claw. 
Leave them on the baking trays to cool slightly, then move them to a wire rack to cool completely.",11,225 g unsalted butter softened,200 g Demerara sugar,150 g caster sugar,2 eggs,½ tsp vanilla extract,400 g plain flour,½ tsp salt,Cooking With My Kids,https://www.cookingwithmykids.co.uk/bear-claw-cookies/,2 ½ tsp bicarbonate of soda,100 g chocolate chips,Large chocolate buttons,Small chocolate buttons,NA,NA,NA
Valentine's crinkle cookies,cookingwithmykids,NA,NA,Dessert,American,30 minutes,10 minutes,chilling 4 hours hrs,40 minutes,Servings: 15,9,"Add the butter and sugar to a large mixing bowl or freestanding mixer. Beat them together until they are light and fluffy using a hand held mixer or the paddle attachment of your freestanding mixer, or wooden spoons if you have neither of those.
Add the eggs. and vanilla extract and give everything a good mix.  
Add the flour and mix it in until it has just combined.
Add some oven safe red or pink food colouring and mix it through the dough. 
Cover the bowl and leave in the fridge for at least four hours, but preferably over night. 
Preheat your oven to 180C/170C Fan/350F and line two or three baking trays with baking paper.
Put the icing sugar in a small bowl. Using a teaspoon spoon some cookie dough out and roll it into a ball. Roll it through the icing sugar until it is all coated in icing. Place each cookie ball on your baking tray leaving space in between for them to spread a bit.
Bake the cookies in the oven for 10 minutes. They're ready when they have spread a little and formed the pretty crinkle pattern. They'll still be a little soft when they come out the oven but that's fine.
Leave them on the trays for a few minutes to cool before putting them on a wire rack to cool completely.",8,80 g butter softened,160 g granulated sugar,2 eggs,2 tsp vanilla extract,190 g plain/all-purpose flour,1 tsp baking powder,1 cup icing sugar,Cooking With My Kids,https://www.cookingwithmykids.co.uk/valentines-crinkle-cookies/,Red/pink food colour,NA,NA,NA,NA,NA,NA
Halloween monster biscuits,cookingwithmykids,NA,NA,Snack,"American, British",45 minutes,10 minutes,Decorating time 20 minutes mins,55 minutes,Servings: 21,9,"Measure out the butter, sugar and vanilla extract and pop them in a large mixing bowl or freestanding mixer. Beat them together until the mixture is light and fluffy.
Crack the egg in a small bowl and add to your mixture. Mix everything together. If you need to, use a spatula to scrape unmixed ingredients from the side of the bowl.
Measure the flour, salt, cream of tartar  and add to the butter/sugar mixture. Mix everything together so it comes together into a ball of soft dough.
Dust your work surface with a little flour and roll out your dough until it is about ½ a cm thick.
Use a round cutter to cut shapes out and place them on your baking trays.
Pop the biscuits in the oven for around 10 minutes. They’re ready when the edges are starting to turn a little golden but the inside should still be pale.
Leave them to cool on the baking trays for a minute or two before removing them and placing them on a wire rack to cool completely.
In small bowls, mix some icing sugar (around 4 tbsp) with a few tsp of water.  Add your colours and mix well. We went with purple, orange and green as we thought they were the most 'Halloweeny'. Put some spinkles and eyes in separate bowls . We found some fun Halloween themed ones but you could use anything you have to hand or even some mini M&Ms. Spoon the icing on to each biscuit and decorate with the sprinkles/sweets and eyes.
Enjoy!",11,"200 g (7/8 cup) unsalted butter, softened",280 g (1 ¼ cups) caster sugar,¼ tsp vanilla extract,1 egg,400 g (3 1/5) cups plain/all-purpose flour,A pinch of salt,½ tsp cream of tartar,Cooking With My Kids,https://www.cookingwithmykids.co.uk/halloween-monster-biscuits/,Icing sugar,food colouring,spinkles,googly eyes,NA,NA,NA
Halloween spider web biscuits,cookingwithmykids,NA,NA,Snack,"American, British",45 minutes,10 minutes,Decorating time 15 minutes mins,55 minutes,Servings: 21,11,"Measure out the butter, sugar and vanilla extract and pop them in a large mixing bowl or freestanding mixer. Cream them together until the mixture is light and fluffy.
Crack the egg in a small bowl and add to your mixture. Mix everything together. If you need to, use a spatula to scrape unmixed ingredients from the side of the bowl.
Measure the flour, salt, cream of tartar and add to the butter/sugar mixture. Mix everything together so it comes together into a ball of soft dough.
Dust your work surface with a little flour and roll out your dough until it is about ½ a cm thick.
Use a round cutter to cut shapes out and place them on your baking trays.
Pop the biscuits in the oven for around 10 minutes. They’re ready when the edges are starting to turn a little golden but the inside should still be pale.
Leave them to cool on the baking trays for a minute or two before removing them and placing them on a wire rack to cool completely.
In two small bowls, mix some icing sugar (around 2-3 tbsp) with a few tsp of water.  Leave one bowl white and add some black food colouring to the other. You want the icing to be runny enough to spread on the biscuit but not too runny.
We used our icing piper to pipe our cobwebs on but, if you don't have one, just use a small freezer bag with a tiny hole cut in the corner.
To make the cobwebs spoon on some white icing to a biscuit and spread it to the edges, then using the black icing pipe on a spiral or a series of circles. Use a cocktail stick or skewer to trail a line from the middle of the biscuit to the edge. Repeat that a few times until the biscuit looks like a cobweb.
Enjoy!",9,"200 g (7/8 cup) unsalted butter, softened",280 g (1 ¼ cups) caster sugar,¼ tsp vanilla extract,1 egg,400 g (3 1/5 cups) plain/all-purpose flour,A pinch of salt,½ tsp cream of tartar,Cooking With My Kids,https://www.cookingwithmykids.co.uk/halloween-spider-web-biscuits/,Icing sugar,food colouring,NA,NA,NA,NA,NA
Teddy bear biscuits,cookingwithmykids,NA,NA,Snack,"American, British",20 minutes,15 minutes,NA,35 minutes,Servings: 8,7,"Line a few baking trays with baking paper
Measure the butter and sugar and add it to a large mixing bowl. 
Beat  the butter and sugar together with a wooden spoon until it is well combined.
Get your toddler to weigh the flour and cocoa powder, and then add it to your mixing bowl. Carry on mixing then use your hands to bring it all together into a soft dough. 
Roll pieces of dough into round balls to form the bears' heads, then roll two smaller balls and attach them to your bear heads to form the ears. Place on your baking tray, leaving space between them for spreading. 
Bake in the oven for 12-15 minutes until they are golden brown. Add the googly eyes once you have removed them from the oven
Cool on a wire rack.",5,150 g butter softened,75 g caster sugar,200 g self raising flour,1 tbsp cocoa powder,googly eyes,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/everywhere-bear-biscuits/,NA,NA,NA,NA,NA,NA,NA
Christmas sugar cookies,cookingwithmykids,5,3,Snack,"American, British",30 minutes,10 minutes,Decorating 20 minutes mins,40 minutes,Servings: 24,8,"Measure out the butter, sugar and vanilla extract and pop them in a large mixing bowl or freestanding mixer. Cream them together until the mixture is light and fluffy.
Crack the egg in a small bowl and add to your mixture. Mix everything together. If you need to, use a spatula to scrape unmixed ingredients from the side of the bowl.
Measure the flour, salt, cream of tartar and add to the butter/sugar mixture. Mix everything together so it comes together into a ball of soft dough.
Dust your work surface with a little flour and roll out your dough until it is about ½ a cm thick.
Use festive cutters to cut shapes out and place them on your baking trays.
Pop the cookies in the oven for around 10 minutes. They’re ready when the edges are starting to turn a little golden. They should still be pale in the centre.
Leave them to cool on the baking trays for a minute or two before removing them and placing them on a wire rack to cool completely.
In a few separate bowls, mix some icing sugar with a few tsp of water. Add your chosen colours and mix well. Put the icing in a small freezer/zip lock bag. Cut a tiny hole in one corner and pipe your designs. You could alternatively just spoon the icing on to the cookies, but it can be a bit messier. Leave to set.",10,"200 g (7/8 cup) unsalted butter, softened",280 g (1 ¼ cups) caster sugar,¼ tsp vanilla extract,1 egg,400 g (3 1/5 cups) plain/all-purpose flour,A pinch of salt,½ tsp cream of tartar,Cooking With My Kids,https://www.cookingwithmykids.co.uk/christmas-sugar-cookies/,Icing sugar,Food colouring,Sprinkles,NA,NA,NA,NA
Stained glass window biscuits,cookingwithmykids,5,3,Snack,"American, British",30 minutes,10 minutes,NA,40 minutes,Servings: 24,8,"Measure out the butter, sugar and vanilla extract and pop them in a large mixing bowl or freestanding mixer. Cream them together until the mixture is light and fluffy.
Crack the egg in a small bowl and add to your mixture. Mix everything together. If you need to, use a spatula to scrape unmixed ingredients from the side of the bowl.
Measure the flour, salt, cream of tartar and add to the butter/sugar mixture. Mix everything together so it comes together into a ball of soft dough.
Dust your work surface with a little flour and roll out your dough until it is about ½ a cm thick.
Use festive cutters to cut shapes out and place them on your baking trays. If you have two cutters of the same shape but in different sizes, these work well for making your window. If you don’t, just use a knife to cut a hole in the middle of your biscuit.
Crush the boiled sweets (while still in the wrapper) with the end of a rolling pin. Sprinkle some of the crushed sweets into the middle of your biscuits.
Pop the cookies in the oven for around 10 minutes. They’re ready when the edges are starting to turn a little golden and the window sweets have melted. As soon as you remove them from the oven use a straw or something similar to poke a hole at the top of each biscuit if you want to hang them up.
Leave them to cool until the windows have hardened. Place them on a wire rack to cool completely. If you’re planning to hand them up, thread a ribbon or thread through the hole.",8,"200 g (7/8 cup) unsalted butter, softened",280 g (1 ¼ cups) caster sugar,¼ tsp vanilla extract,1 egg,400 g (3 1/5 cups) plain/all-purpose flour,A pinch of salt,½ tsp cream of tartar,Cooking With My Kids,https://www.cookingwithmykids.co.uk/stained-glass-biscuits/,Boiled sweets,NA,NA,NA,NA,NA,NA
Firework biscuits,cookingwithmykids,NA,NA,Snack,"American, British",20 minutes,10 minutes,NA,30 minutes,Servings: 20,6,"Measure the flour and butter and add them to a large mixing bowl. Using your fingers rub the butter and flour together until you have a fine breadcrumb.  
Add the sugar, egg and vanilla extract to your bowl. Knead it all together until it is all combined and you have a nice soft dough. 
Sprinkle a little flour down on your worksurface. Roll the dough out until it is around 5mm thick. 
Using a star cutter, cut the biscuits out and lay them down on your prepared baking tray. 
Bake the firework biscuits in the oven for around 8 minutes. They're ready when they're starting to turn golden at the edges. 
Prepare a few bowls of different coloured icing. Spread one colour over a biscuit then add a dollop of another colour. Drag a skewer or a tooth pick through the icing to form a star. ",5,250 g (2 cups) plain / all-purpose flour,"150 g (1 stick) butter, softened",100 g (1/2 cup) caster sugar,1 egg,1/2 tsp vanilla extract,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/firework-biscuits/,NA,NA,NA,NA,NA,NA,NA
Catherine wheel biscuits,cookingwithmykids,NA,NA,Snack,"American, British",20 minutes,12 minutes,Chilling time 2 hours hrs,32 minutes,Servings: 20,11,"Measure the flour and butter out add to a large mixing bowl. Using your fingers rub it together until it looks like breadcrumbs. 
Measure the sugar out and add to your flour/butter mixture. Add the egg and vanilla extract. 
Knead or mix everything together until it is well combined into a nice soft dough.
Split the dough into two even amounts. Add the pink colouring to one of them and blue to the other (or any other colours you're using). Wrap both blocks of dough in cling film and chill in the fridge for at least 30 minutes.
Sprinkle a little flour down on your work surface. Roll each of the blocks of dough out in turn so they are around 25cm x 20cm or approximately the same size. Lay one over the top of the other. Lightly roll over the surface a few times with your rolling pin to press them together.
Trim off the edges of the dough so it’s nice and neat then roll them up, starting at one of the short edges to make a tight spiral. Wrap the dough and clingfilm and chill for at least an hour or overnight.
Preheat the oven to 180C / 160C Fan / gas 4 / 350F and line a baking tray with baking/parchment paper.
Unwrap the dough, trim the ends, and cut the rest into about 20 slices. Lay them on your baking tray.
Bake them in the oven for 12-15 minutes. They’re ready when they are just starting to go slightly golden at the very edges (you don’t want them to colour too much).
Leave them to cool on the baking tray before transferring them to a wire rack to cool complelety.
If you want to decorate them, simply melt a little milk chocolate in a small bowl in the microwave, roll the edge of the biscuits around in it and dip it in the sprinkles.  Enjoy!",7,250 g (2 cups) plain flour,"150 g 1 stick) butter, softened",100 g ((1/2 cup) caster sugar,1 egg,½ tsp vanilla extract,food colouring,chocolate sprinkles,Cooking With My Kids,https://www.cookingwithmykids.co.uk/catherine-wheel-biscuits/,NA,NA,NA,NA,NA,NA,NA
Halloween cookies,NA,5,5,Snack,"American, British",30 minutes,10 minutes,NA,40 minutes,Servings: 15,9,"Measure butter and pop it into a large mixing bowl or freestanding mixer. Measure the sugar and add to the mixing bowl.
Mix the butter and sugar together until they are evenly blended.
Measure the vanilla extract and add to your mixing bowl. Crack the egg in a small bowl. Give it a little whisk and then add it gradually to your mixing bowl, beating it well between each addition.
Weigh the flour into a small bowl then add to your mixture. Finally add the chococlate chips and give it one final mix.
Spoon large teaspoons of the cookie mixture on to your prepared baking trays Make sure you leave enough room for them to spread.
Bake in the oven for about 8-10 minutes. They’re ready when they are turning golden. I like them a little gooey in the middle still. If you don’t cook them a minute or two longer. 
Remove the cookies from the oven and carefully place them on to a wire rack. Place a few chocolate chips or Maltesers on them while they are still warm. These will form the spider’s bodies.
Leave them to cool a bit more and then pipe the black icing on to create the legs.
Enjoy! The cookies will keep for a few days in an air tight container.",8,"100 g (1/2 cup) butter, softened",125 g (2/3 cup) golden caster sugar,½ tsp vanilla extract,1 large egg beaten,150 g (1 1/8 cup) self-raising flour,100 g (1/2 cup) plain chocolate chips,Chocolate chips,Cooking With My Kids,https://www.cookingwithmykids.co.uk/halloween-cookies/,Black writing icing,NA,NA,NA,NA,NA,NA
Halloween monster cookies,cookingwithmykids,NA,NA,Snack,"American, British",30 minutes,10 minutes,NA,40 minutes,Servings: 15,9,"Get your little one to measure butter and pop it into a large mixing bowl or freestanding mixer. Measure the sugar and add to the mixing bowl.
Mix the butter and sugar together until they are evenly blended.
Get your little one to help you measure the vanilla extract and add to your mixing bowl. Crack the egg in a small bowl. Give it a little whisk and then add it gradually to your mixing bowl, beating it well between each addition.
Weigh the flour into a small bowl then add to your mixture. Finally add the chocolate chips and give it one final mix.
Separate the cookies into 3 different bowls (or however many bowls as coloured monsters you want).
Add a little food colouring to each bowl and mix so it is well blended. 
Spoon large teaspoons of the cookie mixture on to your prepared baking trays. Make sure you leave enough room for them to spread.
Bake in the oven for about 8-10 minutes. They’re ready when they are turning golden. I like them a little gooey in the middle still. If you don’t cook them a minute or two longer.
Remove the cookies from the oven and, if you’re little ones are helping to decorate them, carefully place them on to a wire rack. You can leave them on the baking trays if you’re doing it yourself, being careful not to burn yourself! Add some candy eyes and some smarties to the top of each cookie.",9,"100 g (1/2 cup) butter, softened",125 g (2/3 cup) golden caster sugar,½ tsp vanilla extract,1 large egg beaten,150 g (1 1/8 cup) self-raising flour,100 g (1/2 cup) plain chocolate chips,Bake safe colouring,Cooking With My Kids,https://www.cookingwithmykids.co.uk/halloween-monster-cookies/,Candy eyes,Smarties,NA,NA,NA,NA,NA
Funfetti shortbread bites,cookingwithmykids,NA,NA,Snack,"British, scottish",20 minutes,15 minutes,NA,35 minutes,Servings: 30,10,"Measure out the butter flour, cornflour, salt and vanilla extract and add to a large mixing bowl or stand mixer.
Mix everything together until you have a crumbly, slightly lumpy mixture.
Add the sprinkles/funfetti along with 1 tbsp of milk. Mix everything together again so it is well combined. Add another 1 tbsp of milk and mix until you have a soft dough.
Pour the dough into your prepared baking tin and press down into a level layer, about 1 cm thick. We used the back of a slightly wet spoon but you could use your hands or anything else flat. If you like, at this point add some more sprinkles  over the top of your shortbread.
Pop your baking tray into the fridge for 10 – 15 minutes.
Preheat your oven to 160C / 150C Fan / 325F and line a large baking tray.
Remove your shortbread dough from the fridge and place on a chopping board. Cut it into bite sized pieces using a pizza cutter or a knife. You can make them as large or small as you like.
Transfer the shortbread bites on to your baking tray, leaving a small gap between each one.
Pop your baking tray in the oven for 12 – 17 minutes (depending on how big they are). They’re ready when they’re just starting to colour and are slightly firm to the touch – don’t let them go golden brown.
Leave them to cool on the baking trays. Store the shortbread bites in an airtight container for up to five days.",8,170 g unsalted butter softened,210 g plain flour,1 tbsp cornflour,4 tbsp icing sugar,Pinch of salt,1 tsp vanilla extract,3 + tbsp multi coloured sprinkles/funfetti,Cooking With My Kids,https://www.cookingwithmykids.co.uk/shortbread-funfetti-bites/,2 tbsp milk,NA,NA,NA,NA,NA,NA
Swirl biscuits,cookingwithmykids,NA,NA,Snack,"American, British",20 minutes,12 minutes,Chilling time 2 hours hrs,32 minutes,Servings: 20,12,"Measure the flour and butter out add to a large mixing bowl. Using your fingers rub it together until it looks like breadcrumbs. 
Measure the sugar out and add to your flour/butter mixture. Add the egg and vanilla extract.
Knead or mix everything together until it is well combined into a nice soft dough.
Split the dough into two even amounts. Add the pink colouring to one of them and keep the other one plain.
Wrap both blocks of dough in cling film and chill in the fridge for at least 30 minutes.
Sprinkle a little flour down on your work surface. Roll each of the blocks of dough out in turn so they are 25cm x 20cm. Lay one over the top of the other. Lightly roll over the surface a few times with your rolling pin to press them together.
I found my dough was a bit soft and sticky which made this step a bit tricky. If the same happens to you, you could chill the dough for a bit longer, add a little more flour or use a piece of baking paper over the top of the dough to stop it sticking to the rolling pin.
Trim off the edges of the dough so it’s nice and neat then roll them up, starting at one of the short edges to make a tight spiral. Wrap the dough and clingfilm and chill for at least an hour or overnight.
Preheat the oven to 180C / 160C Fan / gas 4 / 350F and line a baking tray with baking/parchment paper.
Unwrap the dough, trim the ends, and cut the rest into about 20 slices. Lay them on your baking tray.
Bake them in the oven for 12-15 minutes. They’re ready when they are just starting to go slightly golden at the very edges (you don’t want them to colour too much)
Leave them to cool on the baking tray before transferring them to a wire rack to cool complelety.",6,250 g (2 cups) plain flour,"150 g (1 stick) butter, softened",100 g (1/2 cup) caster sugar,1 egg,½ tsp vanilla extract,pink food colouring,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/spiral-biscuits/,NA,NA,NA,NA,NA,NA,NA
Easter chick biscuits,cookingwithmykids,NA,NA,Snack,"American, British",15 minutes,15 minutes,NA,30 minutes,Servings: 15,6,"Pre-heat your oven to 180C/160C Fan and line a baking tray with baking paper
Measure the butter and sugar and put them in a large mixing bowl. Beat them together until they are well combined.
Add the flour to your bowl and bring it together with your hands until you have a nice dough. Add the food colouring and mix it until your dough is all yellow. 
Roll the dough into small balls (about the size of a walnut). Place them on your baking tray and give them a little press to flatten them down slightly. 
Bake your biscuits for around 12-15 minutes. Cool them on a wire rack. 
Draw a face and some feet on to your biscuits so they look like chicks. ",5,100 g butter softened,50 g caster sugar,150 g self raising flour,yellow food colouring,icing writing pens,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/easter-chick-biscuits/,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,1,NA,NA,NA,NA,NA,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/super-simple-christmas-tree-decorations/,NA,NA,NA,NA,NA,NA,NA
Easy Christmas biscuits,cookingwithmykids,NA,NA,Afternoon tea,British,30 minutes,12 minutes,NA,NA,Servings: 12,12,"Preheat the oven to 170C / 160C fan and prepare a baking sheet
Measure the butter and sugar and pop them in a bowl or stand mixer. Add the vanilla extract. 
Mix together until the mixture is light and pale. It’ll take a few minutes.
Measure the flour into a bowl along with the cornflour, baking powder and salt. Sift it in to your large bowl/mixer and mix together again until it’s smooth and thoroughly mixed.
Pipe your biscuits
Spoon your biscuit mixture into a piping bag with a large star shaped nozzle. Pipe tight s-shaped spirals onto your baking tray. 
If you want your biscuits to maintain their shape, pop them in the fridge for 10 minutes before baking them.
Bake the biscuits for 10-12 minutes or until they’re a pale golden colour. Remove them from the oven and let them cool on the baking tray for 5 minutes or so then carefully move them on to a wire rack and allow them to cool completely.
Break the chocolate into a bowl. We melted ours in the microwave – giving it short blasts until it was all done. Alternatively,  you could do it in a heatproof bowl over a pan of simmering water, stirring it until it’s smooth.
Pour your sprinkles into a bowl. We got some Christmas coloured one from the baking section of our supermarket.
Dip the underside or the end of each biscuit into the chocolate then dip them in the sprinkles.
Let them set on baking paper before serving them.",10,125 g butter softened,40 g icing sugar,1 tsp vanilla extract,125 g plain flour,2 tbsp cornflour,¼ tsp baking powder,A pinch of salt,Cooking With My Kids,https://www.cookingwithmykids.co.uk/christmas-biscuits/,To decorate,50 g each dark and milk chocolate or white chocolate,Sprinkles,NA,NA,NA,NA
Christmas shortbread,cookingwithmykids,NA,NA,Afternoon tea,"British, scottish",25 minutes,20 minutes,NA,NA,Servings: 12,9,"Weigh the flour into a small bowl then add to your mixing bowl. Do the same with the cornflour. Add the salt, then give everything a quick mix.
Weigh the sugar and add it to the bowl.
Weigh the butter and then cut into small pieces. Add to your bowl.
Using your finger tips, rub your mixture together until you have fine breadcrumbs, then bring it together kneading it lightly until you have a smooth dough.
Roll the dough out between two pieces of baking paper until it is about 1cm thick. We’ve never done it using baking paper before but found it definitely helped stop it sticking.
Cut into any shape you want and place them on your baking tray. We used our new Christmassy snowflake cutter. Prick the biscuits with a fork.
Re-roll the scraps and cut more out.
Chill the baking trays for at least 30 minutes (to stop them spreading too much during cooking). The fewer times you re-roll the dough the better. Ours started to turn a bit greasy as we re-rolled them out loads but they still tasted nice!
Bake in the oven for about 20 minutes. They’re ready when they’re just starting to turn golden brown at the edges.  Leave them on the baking tray for a few minutes then pop them on a wire rack to cool.",5,225 g plain flour plus extra for dusting,110 g cornflour,Pinch of salt,"225 g unsalted butter softened, plus extra for greasing",110 g caster sugar plus extra for dusting,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/christmas-shortbread/,NA,NA,NA,NA,NA,NA,NA
Party ring biscuits,NA,NA,NA,Snack,British,30 minutes,10 minutes,NA,40 minutes,Servings: 15,10,"Measure the sugar into a bowl. Weigh the butter, then cut into small pieces. Separate the egg and add the yolk and the vanilla to the bowl.
Using a wooden spoon and get them to mix everything together until you have a soft paste.
Weigh out the flour and cornflour and then add them to your bowl. Bring everything together until you have a nice dough. If it gets too stiff for the spoon, you can use your hands.
Lightly flour your work surface, pop your dough down then sprinkle with a little more flour. Roll out the dough until it’s the thickness of a £1 coin.
Using a large biscuit cutter, cut out circles and pop them on your baking tray. If you have a small cutter you can make them into rings by cutting out the centre – we kept them whole this time though as it’s a little simpler.
Squash any leftover bits back together and roll out again.
Put your baking tray(s) in the oven and bake for 10 minutes. They should be slightly firm to touch but not brown. Once done, leave them to cool on the tray.
Put some icing sugar and a few drops of food colouring in a small bowl. Add a little (really tiny amount) boiled water to the icing sugar and mix together until you have a smooth paste. You can do as many or few colours as you want.
Ice your party rings by drizzling the icing on with a spoon. We also tried making patterns with more than one colour – add a second colour on top and use a cocktail stick or something similar to spread it out into lines. To make the classic iced party ring drizzle the second colour across the biscuit in thin lines then draw the toothpick the other way.
Leave to set then enjoy! Store in an airtight container.",8,50 g caster sugar,100 g softened butter,1 egg yolk,1 tsp vanilla extract,150 g plain flour plus extra for dusting,25 g cornflour,About 200g icing sugar,Cooking With My Kids,https://www.cookingwithmykids.co.uk/iced-party-biscuits/,Food colouring,NA,NA,NA,NA,NA,NA
Hedgehog biscuits,cookingwithmykids,NA,NA,Snack,British,30 minutes,12 minutes,NA,42 minutes,Servings: 16,7,"Weigh out the butter and chop it into small pieces. Weigh the sugar and then add it to the bowl. Mix together with a wooden spoon.
Add the egg yolk and vanilla extract to your mixture, then weigh the flour in a separate bowl and sift it into your mixture. Once it’s all in give it another mix until it’s well combined.
Use your hands to finish mixing and press the dough together into a ball. To make the hedgehogs, break off little bits and roll them in your hands to form balls, then shape the snout/nose. Don’t worry too much about making them perfect, ours spread in the oven a little so I ended up doing it again a little after they had been baked. Put them on their baking tray with a little space between each one.
Put your baking tray in the oven for 10-12 minutes until they are golden brown. Remove from the oven and put them on a wire rack to cool (you might want to reshape the noses a little before they cool).
Break up the chocolate into a microwavable bowl then zap it for 30 seconds+ until it’s melted.
Either pour the chocolate over each biscuit, dip them in your bowl or use a spoon to spread the chocolate on. We did a mixture of all 3. Sprinkle over your chocolate spinkles or nuts to form the hedgehog spines.
Use something pointy like a chopstick or cocktail stick to dip in the chocolate and form the eyes and nose.",8,250 g butter softened,140 g caster sugar,1 egg yolk,2 tsp vanilla extract,300 g plain flour,For the topping,150 g chocolate,Cooking With My Kids,https://www.cookingwithmykids.co.uk/hedgehog-biscuits/,Chocolate sprinkles or crushed nuts walnuts,NA,NA,NA,NA,NA,NA
