title,author,date,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Neapolitan Cookies,Sofi | Broma Bakery,"Jun 17, 2025",5,2,Cookies,30 minutes,15 minutes,NA,1 hour and 30 minutes,NA,8,"Preheat the oven to 350°F and line a baking sheet with parchment paper. Set aside.
In a stand mixer fitted with the paddle attachment, combine the butter, brown sugar and granulated sugar and beat on medium-high speed until light and fluffy, about 2 minutes.
Use a rubber spatula to scrape down the sides of the bowl and add the egg and vanilla extract. Beat until smooth and combined.
Add 1 1/3 cups flour (you’ll use the extra tablespoons later!), baking soda, baking powder and salt and mix until just combined and no streaks of flour remain.
Divide the dough into thirds, placing each portion in its own bowl. It’s okay if it’s not perfect! To the first bowl add the remaining 1 tablespoon flour and stir to combine. To the second bowl add the freeze dried strawberries and stir to combine. To the third bowl add the cocoa powder and stir to combine.
Use a tablespoon measure to scoop out heaping tablespoons of each dough. Smoosh one dough ball of each flavor together and roll between the palms of your hands to get them to stick together.
Place the granulated sugar in a small bowl and roll each cookie dough ball in the sugar to fully coat the outside. Place the balls 2 inches apart on your prepared cookie sheet. Bake at 350° F for 12 to 14 minutes or until the edges are light golden brown and the centers have puffed up, but are still slightly under done.
Allow to cool for a few minutes on the baking sheet before transferring to a wire cooling rack to cool completely before eating! Enjoy!",12,"1/2 cup unsalted butter, at room temperature",1/2 cup granulated sugar,1/4 cup packed light brown sugar,"1 large egg, at room temperature",2 teaspoons vanilla extract,1 1/3 cups + 1 tablespoon all-purpose flour,1/4 tsp baking soda,Broma Bakery,https://bromabakery.com/neapolitan-cookies/,1/4 teaspoon baking powder,1/2 teaspoon salt,"1/3 cup freeze dried strawberries, finely ground",1 tablespoon Dutch-process cocoa powder,1/2 cup granulated sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Oatmeal Raisin Cookies,Sofi | Broma Bakery,"Jan 4, 2024",4.9,26,Cookies,15 minutes,11 minutes,NA,1 hour,NA,7,"Brown the butter over medium heat, stirring constantly until the butter begins to foam and turns a golden brown, emitting a nutty aroma. Make sure you only brown the butter lightly. When butter browns the liquid evaporates off which can dry out your dough. As soon as the butter starts to turn brown and smell nutty, take it off the heat to prevent any more liquid from escaping. Take butter off the heat and allow to cool for about a minute, or until no longer hot to the touch, before using.
In a large mixing bowl combine the brown butter, brown sugar, and white sugar. Beat until mixed together. Add in the egg, egg yolk, and vanilla extract. Mix well.
Add the flour, salt and baking soda and beat until well mixed. Add the oats and beat to combine.
Last add the raisins, folding to distribute them evenly.
Refrigerate the cookie dough for at least a half hour, or overnight.
When you are ready to bake the cookies, preheat the oven to 350°F and line a cookie sheet with parchment paper. Use a 1 ounce cookie scoop to scoop the cookie dough out into balls, placing them 2 inches apart on the prepared sheet. Bake for 11 minutes*, or until the edges are just golden brown and the centers have puffed up but are still gooey.
Allow to cool before eating!",10,"3/4 cup unsalted butter, browned and cooled",3/4 cup brown sugar,1/4 cup white sugar,1 egg + 1 egg yolk,2 teaspoons vanilla extract,1 1/3 cups all purpose flour,1/2 teaspoon salt,Broma Bakery,https://bromabakery.com/brown-butter-oatmeal-raisin-cookies/,1/2 teaspoon baking soda,2/3 cup old fashioned oats,1/2 cup raisins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loaded Oreo Cookies,Sofi | Broma Bakery,"Jan 6, 2022",4.9,18,Cookies,15 minutes,12 minutes,NA,30 minutes,NA,7,"Preheat the oven to 350°F and line a baking sheet with parchment paper. Set aside.
In a stand mixer fit with the paddle attachment, beat the softened butter, brown sugar and granulated sugar on medium-high speed until light and fluffy, about 3 minutes.
Use a rubber spatula to scrape down the sides of the bowl and add the eggs and vanilla extract. Beat until smooth and combined.
Add the flour, baking soda, and salt and mix until just combined and no streaks of flour remain.
Last, fold in the Oreo cookie pieces and white chocolate chips.
Use a 1 ounce cookie scoop or a large spoon to scoop out cookie dough balls, dropping them 2 inches apart on your prepared cookie sheet. Bake at 350° F for 12 minutes or until the edges are golden brown and the centers have puffed up, but are still slightly under done.
Allow to cool for a few minutes on the baking sheet before transferring to a wire cooling rack to cool completely before eating! Enjoy!",10,"1 cup unsalted butter, room temperature","1 cup light brown sugar, packed",1/4 cup granulated sugar,"2 eggs, room temperature",2 teaspoon vanilla extract,2 cups all purpose flour,3/4 teaspoon baking soda,Broma Bakery,https://bromabakery.com/loaded-oreo-cookies/,1/2 teaspoon salt,"18 Oreo cookies, roughly crushed or chopped into medium size pieces",1/2 cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinnamon Roll Cookies,Sofi | Broma Bakery,"Dec 6, 2023",4.9,18,Cookies,20 minutes,10 minutes,NA,1 hour and 30 minutes,NA,12,"In a stand mixer fit with the paddle attachment, beat the softened butter and sugar on medium-high speed until light and fluffy, about 3 minutes.
Use a rubber spatula to scrape down the sides of the bowl and add the egg and vanilla extract. Beat until smooth and combined.Add the flour, baking powder, cinnamon, and salt. Mix until just combined and no streaks of flour remain.
Form the cookie dough into a flat rectangle and wrap in plastic wrap. Refrigerate for 1 hour or until firm enough to work with.
Generously flour a work surface and roll out the cookie dough into a roughly 10 x 8 inch rectangle.
In a small bowl combine the melted butter, brown sugar, and cinnamon for the filling. Mix until the mixture resembles wet sand.
Spread the mixture in an even layer, all the way to the edges of your cookie dough.
Roll from the long side into a tight log, sealing the edge of the cookie dough log. Wrap in plastic wrap and place in the freezer for 10 minutes to firm up a little. (Alternatively, you can also place in the fridge for up to 3 days before slicing off your cookies!)
While the dough firms up, preheat the oven to 350°F and line a baking sheet with parchment paper. Set aside.
Once the dough is firm enough to handle, slice the cinnamon roll cookie. Using a sharp knife, slice off 1/2 inch thick cookies and place 2 inches apart on your cookie sheet.
 Bake for 10 minutes or until the edges are golden brown and the centers have puffed up a little, but the are still slightly underdone. Transfer to a wire rack to cool.
While the cookies cool, make the glaze if using! Place the cream cheese in the microwave for 15 seconds or until melted. Add the rest of the glaze ingredients and whisk to combine.
Drizzle the glaze over the cooled cookies. Let the glaze set and enjoy!",16,"1/2 cup unsalted butter, room temperature","1/2 cup brown sugar, packed",1 teaspoon vanilla extract,"1 egg, room temperature",1 1/4 cups all purpose flour,1 teaspoons baking powder,1/4 teaspoon salt,Broma Bakery,https://bromabakery.com/cinnamon-roll-cookies/,1/2 teaspoon ground cinnamon,"2 Tablespoons unsalted butter, melted butter",1/4 cup brown sugar,2 teaspoons ground cinnamon,1 Tablespoon cream cheese,2 Tablespoons milk,1 cup powdered sugar,1 teaspoon vanilla extract,pinch of salt,NA,NA,NA,NA,NA,NA,NA
Millionaire Toffee Chocolate Chunk Cookies,Sofi | Broma Bakery,"Jan 28, 2026",NA,NA,Cookies,15 minutes,15 minutes,NA,1 hour,NA,6,"In a standing mixer fitted with a paddle attachment, beat the butter and the sugars until it starts to come together into one lump, about 1 minute. It will still be lumpy–this is what you want! Lower the speed to medium-low, and mix in the eggs and vanilla and beat until mixed.
Add the flour, baking powder, baking soda and salt. and mix in low speed until just combined and no streaks of flour remain. The dough will be thick. Add the chocolate and toffee pieces and mix to evenly distribute. Do not over mix1
Divide the dough into 12 even pieces. Shape the dough roughly into a ball, but do not roll it or pack it in tightly. Place on a baking sheet lined with parchment paper, spacing 2 inches apart.
Covevr the baking sheet and place in the freezer for 30 minutes or in the refrigerator for up to 12 hours before baking.
Preheat the oven to 375°F. Bake the cookies for 5 minutes at 375°F. Lower the oven temperature to 350°F and bake for an additional 8 to 10 minutes or until the cookies are golden brown all over, set on the edges, but still very soft int he middle. When in doubt, take your cookies out early. The cookies will continue to cook as they cool. There’s nothing that ruins them more than being overcooked. I can’t stress this enough! Transfer to a wire rack to cool completely.
Once the cookies are cool, carefully make pieces of gold leaf with tweezers or dry fingers and top each cookie with gold leaf. Sprinkle with flaky salt and serve!",13,"1 cup unsalted butter, cold and cut into cubes",3/4 cup packed light brown sugar,1/2 cup granulated sugar,"2 large eggs, cold from the fridge",2 teaspoons vanilla extract,2 3/4 cups all-purpose flour,1 teaspoon baking powder,Broma Bakery,https://bromabakery.com/millionaire-toffee-chocolate-chunk-cookies/,1/4 teaspoon baking soda,1 teaspoon salt,"4 ounces semisweet chocolate, roughly chopped",1/2 cup semisweet chocolate chips,1/2 cup toffee pieces,"food safe edible gold leaf, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft and Chewy Christmas Sprinkle Sugar Cookies,Sofi | Broma Bakery,"Dec 16, 2025",5,1,Cookies,15 minutes,12 minutes,NA,30 minutes,NA,6,"Preheat the oven to 350°F. Line two baking sheets with parchment paper. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, combine the butter and sugars and beat on low speed until combined. Gradually increase the speed to medium-high and beat until light and fluffy, about 2 minutes.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add in the egg, egg yolk, vanilla and almond extract. Beat on medium-high until the mixture is fluffy and lightens in color, about 2 minutes, scraping down the bowl as needed.
Add the flour, baking powder, baking soda, and salt and beat on low speed until just combined and no streaks of flour remain. Last, add the sprinkles and fold to distribute.
Use a 1 ½ ounce cookie scoop to portion out equal amounts of dough (a large spoon also works; the ball should be about 3 tablespoons), then roll the dough into balls in your hands. Place the dough balls on the prepared baking sheets, spacing the dough 2 inches apart.
Bake until the cookies have puffed up and are set and firm around the edges but still somewhat soft in the middle, 11 to 12 minutes. Remove the baking sheet from the oven and allow the cookies to cool slightly on the baking sheet before serving.",11,"14 tablespoons unsalted butter, at room temperature",1 cup granulated sugar,1/4 cup packed light brown sugar,1 large egg + 1 large egg yolk,2 teaspoons vanilla extract,1/4 teaspoon almond extract,2 2/3 cup all-purpose flour,Broma Bakery,https://bromabakery.com/soft-and-chewy-christmas-sprinkle-sugar-cookies/,1/2 teaspoon baking powder,1/2 teaspoon baking soda,3/4 teaspoon salt,1/2 cup holiday sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Crisp Cookies,Sofi | Broma Bakery,"Oct 22, 2025",4.5,4,Cookies,30 minutes,15 minutes,NA,1 hour,NA,9,"Preheat the oven to 350°F. Line a baking sheet with parchment paper. Set aside.
First, make the crisp topping. In a small bowl combine the melted butter, brown sugar, flour, oats and cinnamon and stir until the mixture starts to clump together. Set aside.
In a stand mixer fitted with the paddle attachment, beat together the butter, brown sugar, and granulated sugar on low speed until combined. Gradually increase the speed to medium-high and mix until light and fluffy, about 2 minutes.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add in the egg and vanilla. Beat on medium-high speed until the mixture is smooth and combined, about 1 minute, scraping down the sides and bottom of the bowl as needed.
Add the flour, baking soda, and salt and beat on low until just combined and no streaks of flour remain, about 30 seconds.
In a small bowl combine the apple pieces and the spices and toss to combine. Add the spiced apples to the dough and use a rubber spatula to fold together until the apples are evenly distributed.
Use a 2 ounce cookie scoop to scoop level portions of dough (a large spoon also works; the ball should be about 3 tablespoons). Place on the prepared baking sheets, spacing the dough balls 2 inches apart. Press about 2 teaspoons of the crisp topping over the tops of the dough balls.
Bake until the cookies have puffed up and are set and firm around the edges but still somewhat soft in the middle, 15 to 16 minutes. Remove the baking sheet from the oven and allow the cookies to rest on the baking sheet for 5 minutes, then use a metal spatula to transfer the cookies to a cooling rack to cool.
Once the cookies are cool, make the icing if desired. Combine all the icing ingredients in a small bowl and whisk to combine. Drizzle over the cookies and serve. Enjoy!",21,"3 tablespoons unsalted butter, melted",3 tablespoons light brown sugar,4 tablespoons all-purpose flour,3 tablespoons old fashioned oats,1 teaspoon ground cinnamon,"1/2 cup unsalted butter, at room temperature",1/2 cup packed light brown sugar,Broma Bakery,https://bromabakery.com/apple-crisp-cookies/,1/4 cup granulated sugar,"1 large egg, at room temperature",2 teaspoons vanilla extract,1 2/3 cup all-purpose flour,1/4 teaspoon baking soda,1/2 teaspoon salt,"1 large apple, peeled cored and sliced into small pieces",1 teaspoon ground cinnamon,1/4 teaspoon ground nutmeg,1/4 teaspoon ground ginger,1/2 cup powdered sugar,1 tablespoons milk,1/2 teaspoon vanilla extract,pinch of salt,NA,NA
Walnut Chocolate Chip Cookies,Sofi | Broma Bakery,"Sep 17, 2025",5,1,Cookies,45 minutes,12 minutes,NA,2 hours,NA,7,"First, toast the walnuts. Preheat the oven to 375°F and line a small baking sheet with parchment paper. Spread the walnuts out into an even layer on the sheet and bake for 5 to 7 minutes, stirring the nuts halfway through. You’ll know they’re done when they’re lightly golden brown all over and smell toasty. Set aside to cool.
Next, brown the butter. Place the butter in a small saucepan and set over medium low heat. Low heat is key to an even, golden browning! Use a silicone spatula to stir and scrape the butter from the bottom and sides of the pan every 10 to 15 seconds. At first, the butter will melt and foam, then over time the foam bubbles will get smaller and the butter will begin to emit a warm, nutty aroma. Continue to cook the butter, occasionally stirring and scraping with your spatula, until the butter begins to take on color and you see small floating brown bits, about 5 to 7 minutes (these are the milk solids in your butter separating and toasting). Once the butter is golden brown, remove it from the heat and allow it to cool in the saucepan for a few minutes.
In a large mixing bowl, combine the brown butter, brown sugar, and granulated sugar. Use a silicone spatula to mix together. Add the egg, extra egg yolk, and vanilla and mix well.
Add in the flour, baking soda, salt and fold until no streaks of flour remain, being careful not to overmix your batter. The dough should be soft but not sticky, so when you touch it with your finger your finger doesn’t stick to the dough.
Fold in the chocolate chips and walnuts until evenly distributed. Do not over mix. Cover the bowl and place it in the fridge to chill for 30 minutes. After 30 minutes, remove the bowl from the fridge and use a 1.5 ounce cookie scoop to scoop out your cookies. Place the cookie dough balls in a sealed container or on a cookie sheet wrapped in plastic wrap and place back in the fridge for at least another 30 minutes, but up to 24 hours!
Preheat the oven to 350°F. Line two baking sheets with parchment paper. Place the cookie dough balls on the prepared baking sheets, spacing the dough 2 inches apart. 
Bake until the cookies have puffed up and are light golden brown around the edges but still somewhat soft in the middle, 12 to 13 minutes. Remove the baking sheet from the oven, sprinkle with flaky sea salt (if using), and allow the cookies to cool slightly on the baking sheet before serving.",11,"1 cup walnuts, roughly chopped",3/4 cup (168 g) unsalted butter*,1 cup (200 g) packed light brown sugar,1/4 cup (50 g) granulated sugar,"1 large egg + 1 large egg yolk, at room temperature",1 tablespoon pure vanilla extract,1 3/4 cup (220 g) all-purpose flour,Broma Bakery,https://bromabakery.com/brown-butter-walnut-chocolate-chip-cookies/,3/4 teaspoon baking soda,3/4 teaspoon kosher salt + more flaky seat salt for sprinkling,1 cup semi sweet chocolate chips or roughly chopped chocolate,"Flaky salt, optional for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Single Serve Funfetti Cookie,Sofi | Broma Bakery,"Jul 30, 2025",NA,NA,Cookies,10 minutes,12 minutes,NA,22mins,NA,5,"Preheat the oven to 350°F. Line a baking sheet with parchment paper. Set aside.
In a medium bowl, add the butter, brown sugar, and granulated sugar. Use a silicone spatula to mix until combined (if it’s not fully coming together, microwave the mixture for 3 seconds—and make sure your bowl is microwave safe!).
Add the egg yolk, vanilla extract and almond extract and mix well. Add the flour, baking soda, baking powder and salt. Mix until combined and no streaks of flour remain. Add the white chocolate and rainbow sprinkles and fold to combine.
Divide the dough in half and roll each half into balls between your palms. Place the cookies on the prepared baking sheet at least 3 inches apart.
Bake until the cookies have started to crackle on the top and are set and firm around the edges but still somewhat soft in the middle, 12 to 13 minutes. Remove the baking sheet from the oven and allow the cookies to cool slightly on the baking sheet before serving.",12,"2 tablespoons (28 g) unsalted butter, at room temperature",2 tablespoons (26 g) packed light brown sugar,1 tablespoon (13 g) granulated sugar,1 large egg yolk,splash of vanilla extra,splash almond extract,5 tablespoons (39 g) all-purpose flour,Broma Bakery,https://bromabakery.com/single-serve-funfetti-cookie/,1/8 teaspoon baking soda,1/8 teaspoon baking powder,1/8 teaspoon salt,"2 tablespoons white chocolate, chopped",1 tablespoon rainbow sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Cream Pie Cookies,Sofi | Broma Bakery,"Jul 23, 2025",5,1,Cookies,45 minutes,12 minutes,NA,2 hours,NA,9,"First, make the cookies. Preheat the oven to 350°F and line a baking sheet with parchment paper. Set aside.
In a stand mixer fitted with the paddle attachment, beat together the butter, granulated sugar, and brown sugar on medium-high speed until light and fluffy, about 2 minutes.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add the egg, and vanilla. Beat on medium-high until smooth and fluffy, about 1 minute.
Add the flour, baking powder, baking soda, and salt and beat on low speed until just combined and no streaks of flour remain, about 30 seconds, scraping down the bowl as needed. Last, add the nilla wafer crumbs and mix until combined.
Use a 1 ½ ounce cookie scoop to portion out equal amounts of dough. Roll the dough in your hands to smooth the edges, then place on the prepared baking sheets, spacing the dough balls about 2 inches apart.
Bake the cookies for 12 minutes or until they’ve puffed up and are set and firm around the edges, but still soft in the middle. Set aside to cool until set, about 5 minutes, before transferring to a cooling rack to cool completely.
While the cookies are baking make the vanilla pudding for the topping. Sprinkle the vanilla pudding mix into a medium sized bowl and whisk in the milk and salt. Continue to whisk until the pudding has thickened and is smooth. Cover and place in the fridge.
Once the cookies are completely cool, make the rest of the topping and assemble. In the bowl of a stand mixer fit with the whisk attachment, beat the heavy cream until medium peaks forms. Add the vanilla pudding to whipped cream and fold to combine. Transfer to a piping bag (or plastic bag!) with the tip snipped off.
Top each of the cooled cookie with a few banana slices and then pipe a layer of the vanilla cream mixture on the top. Use the back of a spoon or an offset spatula to spread into a smooth layer. If desired top with another banana slice and some Nilla wafer crumbs! Enjoy!",15,"1/2 cup unsalted butter, at room temperature",1/4 cup granulated sugar,"1/2 cup light brown sugar, packed","1 large egg, at room temperature",2 teaspoons vanilla extract,1 1/4 cups all purpose flour,1/2 teaspoon baking powder,Broma Bakery,https://bromabakery.com/banana-cream-pie-cookies/,1/4 teaspoon baking soda,1/2 teaspoon salt,1 1/2 cups nilla wafer crumbs,1 packet (3.4 ounces) vanilla instant pudding mix,2/3 cup whole milk,pinch of salt,1 cup heavy whipping cream,"1 large banana, sliced into rounds",NA,NA,NA,NA,NA,NA,NA,NA
Lemon Blueberry Cookies,Sofi | Broma Bakery,"May 15, 2025",4,3,Cookies,30 minutes,15 minutes,NA,45 minutes,NA,7,"Preheat the oven to 350°F. Line two baking sheets with parchment paper. Set aside.
In a stand mixer fitted with the paddle attachment, beat together the butter, brown sugar, and granulated sugar on low speed until combined. Gradually increase the speed to medium-high and mix until light and fluffy, about 2 minutes.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add in the egg, vanilla extract, lemon extract and lemon zest. Beat on medium-high speed until the mixture is smooth and combined, about 1 minute, scraping down the sides and bottom of the bowl as needed.
Add the flour, baking powder, baking soda, and salt and beat on low until just combined and no streaks of flour remain, about 30 seconds.
Add the frozen blueberries and white chocolate and fold to combine. Last, drop the blueberry preserves in big spoonfuls into the batter. Fold the batter once or twice to distribute it slightly, but no more–you want big ripples of jam so you don’t want it mixed in too much!
Use a 1 ½ ounce cookie scoop to scoop level portions of dough. Place on the prepared baking sheets, spacing the dough balls 2 inches apart.
Bake until the cookies have puffed up and are set and firm around the edges but still somewhat soft in the middle, 12 to 15 minutes. Remove the baking sheet from the oven and allow the cookies to rest on the baking sheet for 5 minutes, then use a metal spatula to transfer the cookies to a cooling rack to cool completely. If desired, top with more lemon zest!. Enjoy!",14,"1/2 cup unsalted butter, at room temperature",1/2 cup packed light brown sugar,1/4 cup granulated sugar,"1 large egg, at room temperature",1 teaspoon vanilla extract,1/2 teaspoon lemon extract,1 tablespoon lemon zest,Broma Bakery,https://bromabakery.com/lemon-blueberry-cookies/,1 1/2 cups all-purpose flour,1/4 teaspoon baking powder,1/4 teaspoon baking soda,1/2 teaspoon salt,1/2 cup frozen blueberries,1/4 cup blueberry preserves*,"4 ounces white chocolate, roughly chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Pistachio Chocolate Chunk Cookies,Sofi | Broma Bakery,"May 15, 2025",5,11,Cookies,30 minutes,12 minutes,NA,42 minutes,NA,6,"Place the pistachios in a high powered blender or food processor and pulse for 30 seconds or ground into a fine flour. Do not continue to blend or they will turn into pistachio butter! Set aside.
In a large mixing bowl combine the melted butter, brown sugar, and granulated sugar. Use a rubber spatula to mix until combined. Add in the egg, egg yolk, vanilla extract and almond extract. Mix well.
Add the ground pistachios, flour, baking soda, and salt and fold to until just combined and no streaks of flour remain. Fold in the chopped white and dark chocolate chocolate. Do not over mix.
Cover the bowl and refrigerate the cookie dough for at least a half hour, or overnight.
When you are ready to bake the cookies, preheat the oven to 350°F and line a cookie sheet with parchment paper.
Use a 2 ounce cookie scoop to scoop the cookie dough out into balls, placing them 2 inches apart on the prepared sheet (I can usually fit 6 on my cookie sheet!). Bake until the edges are just golden brown and the centers have puffed up but are still gooey in the middle, 12 to 14 minutes. If desired, top with flaky salt. Allow to cool before eating!",13,"3/4 cup (100 g) roasted pistachios, finely ground","3/4 cup (170 g) unsalted butter, melted",3/4 cup (150 g) packed light brown sugar,1/4 cup (50 g) granulated sugar,"1 large egg + 1 large egg yolk, at room temperature",2 teaspoons vanilla extract,1/4 teaspoon almond extract (optional),Broma Bakery,https://bromabakery.com/salted-pistachio-chocolate-chunk-cookies/,1 3/4 cup (220 g) all-purpose flour,1/2 teaspoon baking soda,1/2 teaspoon salt,"2.5 ounces white chocolate, roughly chopped","3 ounces dark chocolate, roughly chopped","Flaky salt, for topping (optional)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Crinkle Cookies,Sofi | Broma Bakery,"Dec 10, 2025",5,2,Cookies,20 minutes,10 minutes,NA,30 minutes,NA,6,"Preheat the oven to 350°F. Line two baking sheets with parchment paper. Pour the granulated sugar for the coating into a small bowl. Pour the powdered sugar into a second small bowl. Set both aside.
In a stand mixer fitted with the paddle attachment, beat together the butter, brown sugar, and granulated sugar on low speed until combined. Gradually increase the speed to medium-high and mix until light and fluffy, about 2 minutes.
Use a silicone spatula to scrape down the sides and bottom of the bowl, then add in the eggs, vanilla and peppermint extract. Beat on medium-high speed until the mixture is smooth and fluffy, about 1 minute, scraping down the bowl as needed.
Add the flour, cocoa powder, baking powder, baking soda, and salt. Beat on low speed until just combined and no streaks of flour remain, about 30 seconds.
Use a 1 ½ ounce cookie scoop to portion out equal amounts of dough. Roll the dough in your hands to smooth the edges. Roll the dough balls in the granulated sugar first, then roll them in the powdered sugar, evenly coating the outside of the cookie. Place the cookies on the prepared baking sheets, spacing them 2 inches apart.
Bake until the cookies have formed cracks all over and are set and firm around the edges but still somewhat soft in the middle, 9 to 10 minutes. Allow the cookies to cool completely on the baking sheet before serving.",13,1/2 cup granulated sugar,1/2 cup powdered sugar,"1/2 cup unsalted butter, at room temperature",2/3 cup packed light brown sugar,1/3 cup granulated sugar,"2 large eggs, at room temperature",1 teaspoon vanilla extract,Broma Bakery,https://bromabakery.com/peppermint-crinkle-cookies-but-like-actually-brookies/,3/4 teaspoon peppermint extract,1 1/3 cups all-purpose flour,1/2 cup Dutch processed cocoa powder,1 1/2 teaspoons baking powder,1/4 teaspoon baking soda,1/2 teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
