title,author,date,rating,ratingnum,cuisine,course,categories1,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25
Strawberries and Cream Cake Mix Cookies Recipe,Jessica & Nellie,"December 24, 2025",NA,NA,American,Cookies,Home_Cake Mix Cookies,Keyword: Strawberries and Cream Cake Mix Cookies,10 minutes,10 minutes,NA,NA,20 cookies,9,"Add the cream cheese to a large mixing bowl and beat until smooth. Add the melted butter and mix until combined. Add the egg and vanilla and mix again.
Add the dry cake mix and dry pudding mix to the bowl and mix until a soft dough forms. It will be thick and slightly sticky.
Fold in the white chocolate chips and crushed freeze dried strawberries.
Drop small spoonfuls of strawberry jam throughout the dough and gently fold a few times to create streaks. Do not fully mix it in.
Cover the bowl and refrigerate the dough for at least 30 minutes. This helps the cookies keep shape while baking.
Preheat the oven to 350°. Line cookie sheets with parchment.
Scoop the dough with a cookie scoop to form balls. Lightly roll in powdered sugar if desired and place on the baking sheet about 2 inches apart.
Bake for 9 to 11 minutes. The cookies should look soft in the center and just set at the edges. Do not over bake.
Allow the cookies to cool on the baking sheet for 5 minutes before moving to a rack to cool completely.",10,15.25 oz box vanilla cake mix,8 oz cream cheese softened,"3.5 oz box instant vanilla pudding mix dry, do not prepare",1 egg,1 teaspoon vanilla extract,Family Cookie Recipes,https://familycookierecipes.com/strawberries-and-cream-cake-mix-cookies/,1 stick butter melted and cooled (1/2 cup),1 cup white chocolate chips,1 cup freeze-dried strawberries lightly crushed,¼ cup strawberry jam thick jam works best,powdered sugar for rolling optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Caramel Pecan Cookies Recipe,Jessica & Nellie,"December 17, 2025",NA,NA,American,Cookies,Home_Chocolate Cookies,Keyword: Chocolate Caramel Cookies,20 minutes,10 minutes,NA,NA,48 cookies,5,"Preheat oven to 375°.
Make the cookie dough: Beat the softened butter with 1 cup of sugar and the brown sugar until creamy and well combined. Add the eggs and vanilla and mix again. In a separate bowl, whisk together the flour, cocoa, and baking soda, then gradually add to the butter mixture until just combined. Stir in ½ cup of the chopped pecans.
Wrap the Rolos: Scoop the dough by tablespoonfuls and wrap each piece around a single Rolo candy, sealing completely.
Roll in pecans: In a small bowl, stir together the remaining ½ cup pecans with 1 tablespoon of sugar. Dip the top half of each dough ball into the mixture.
Bake: Place cookies nut-side up on an ungreased baking sheet. Bake for 7–10 minutes, or until cracked on top. Cool for 3 minutes on the sheet, then transfer to a wire rack.",10,1 cup butter softened,"1 cup sugar plus 1 tablespoon, divided",1 cup packed brown sugar,2 eggs,2 teaspoons vanilla extract,Family Cookie Recipes,https://familycookierecipes.com/chocolate-caramel-pecan-cookies/,2 ½ cups all-purpose flour,¾ cup baking cocoa,1 teaspoon baking soda,1 cup chopped pecans divided,13 oz package of Rolos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry White Chocolate Cookies Recipe,Jessica & Nellie,"December 8, 2025",NA,NA,American,"Cookies, Dessert",Home_Chocolate Chip Cookies,Keyword: White Chocolate Cranberry Cookies,15 minutes,10 minutes,NA,55 minutes,24 cookies,7,"In a large stand mixer bowl, cream the shortening, butter, brown sugar, and white sugar until light and fluffy. Add in the eggs, one at a time, mixing well after each egg. Add vanilla extract.
In a separate bowl, whisk the flour, baking soda, and salt. Gradually add the dry ingredients to the wet ingredients, mixing until just combined.
Fold in the 1 ½ cups white chocolate chips and 1 cup dried cranberries.
Cover and chill the dough in the refrigerator for 30 minutes. (Optional but recommended!)
Preheat the oven to 375°F (190°C). Line a baking sheet with parchment paper.
Roll the dough into 1-tablespoon-sized balls and place on the prepared baking sheet, spacing about 2 inches apart.
Bake for 9-10 minutes, or until the edges are lightly golden. Let cookies cool on the baking sheet for 10 minutes before transferring to a wire rack to cool completely. Enjoy!",11,½ cup shortening,½ cup butter softened,1 ¼ cup brown sugar,¼ cup white sugar,2 large eggs,Family Cookie Recipes,https://familycookierecipes.com/white-chocolate-cranberry-cookies/,1 tsp vanilla extract,2 ¼ cups all-purpose flour,1 tsp baking soda,1 tsp salt,1 ¾ cup white chocolate chips divided,1 ¼ cup dried cranberries divided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Cheesecake Sugar Cookie Bars Recipe,Jessica & Nellie,"December 2, 2025",NA,NA,American,"Cookie Bars, Dessert",Home_Christmas Cookies,Keyword: Christmas Cheesecake Sugar Cookie Bars,10 minutes,30 minutes,NA,40 minutes,9 servings,5,"Preheat the oven to 350°F and coat an 8×8 or 9×9 baking dish with non-stick baking spray.
Cheesecake filling: In a medium bowl, use an electric mixer to beat the cream cheese, egg, vanilla extract, and powdered sugar together until smooth and creamy.
Divide the sugar cookie dough in half, press half into the bottom of your prepared pan to form an even layer. Pour the cheesecake mixture over the cookie dough base and spread it evenly to the edges.
Gently mix 1-2 TBSP holiday sprinkles with remaining cookie dough. Flatten small pieces of the dough into discs and arrange them over the cheesecake filling, covering as much of the surface as possible.
Bake for 30–35 minutes, or until the top begins to turn a light golden brown. Let cool completely before adding additional sprinkles, slicing, and serving. Enjoy!",6,16.5 oz sugar cookie dough refrigerated tube,1 egg,1 TBSP vanilla extract,8 oz cream cheese softened to room temperature,¼ cup powdered sugar,Family Cookie Recipes,https://familycookierecipes.com/christmas-cheesecake-sugar-cookie-bars/,holiday sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Raspberry Shortbread Cookie Bars Recipe,Jessica & Nellie,"November 26, 2025",NA,NA,American,Cookie Bars,Home_Cookie Bars,Keyword: Chocolate Raspberry Shortbread Cookie Bars,15 minutes,40 minutes,NA,NA,15 servings,4,"Make the crust. Preheat the oven to 350°F. Beat the butter until creamy and smooth, then add flour, brown sugar, and salt. Mix until everything comes together in a soft, crumbly dough. Press most of this mixture into a greased 9×13 pan to form a solid crust, saving the rest for the topping. Bake 10–12 minutes, just until the edges turn lightly golden.
Prepare the chocolate layer. Melt part of the chocolate chips with the sweetened condensed milk in a small saucepan over medium heat. Stir continuously until the mixture becomes silky and completely smooth, then pour it evenly over the warm crust.
Add the topping. Stir the nuts into the remaining crumb mixture. Sprinkle this over the chocolate layer, letting some of the crumbs stay chunky for texture. Drop spoonfuls of raspberry jam over the top, letting it spread slightly. Finish by sprinkling the remaining chocolate chips across the surface.
Bake and cool. Bake 25–30 minutes or until the center looks set and the topping is lightly browned. Let cool completely — this helps the bars firm up and gives you cleaner slices.",8,1 cup butter softened,2 cups flour,½ cup light brown sugar,½ tsp salt,2 cups semi-sweet chocolate chips divided,Family Cookie Recipes,https://familycookierecipes.com/chocolate-raspberry-shortbread-cookie-bars/,14 oz can sweetened condensed milk,½ cup chopped nuts,⅓ cup seedless raspberry jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOFT GINGERBREAD COOKIES RECIPE,Jessica & Nellie,"November 19, 2025",4.56,29,American,Cookies,Home_Christmas Cookies,Keyword: gingerbread,10 minutes,10 minutes,NA,NA,24 cookies,7,"In a mixing bowl, mix the flour, salt, baking soda, cinnamon, cloves and ginger together. Set aside.
In a separate bowl, cream together the shortening, 1 cup sugar, egg and molasses. Beat with an electric mixer for about 2 minutes.
Add the dry mixture to the wet mixture and mix together until well combined.
Use a cookie scoop to scoop out tablespoon sized balls and roll them into shape between your hands.
Place the extra 1/4 cup sugar in a small bowl and dip each cookie ball into the sugar, coating on all sides.
Place cookie dough balls on a cookie sheet and lightly flatten with the palm of your hand (or the bottom of a measuring cup or glass).
Bake cookies at 350° for 10 minutes.",10,2 cups flour,½ tsp. salt,2 tsp. baking soda,½ tsp. cinnamon,½ tsp. ground cloves,Family Cookie Recipes,https://familycookierecipes.com/soft-gingerbread-cookies/,½ tsp. ginger,¾ cup shortening,1 cup sugar plus about 1/4 cup to roll the dough in before baking,1 egg,¼ cup molasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Cookies with Maple Icing Recipe,Jessica & Nellie,"November 19, 2025",NA,NA,American,Cookies,Home_Holiday Cookies,Keyword: Gingerbread Cookies with Maple Icing,20 minutes,8 minutes,NA,NA,45 cookies,8,"In a large bowl, whisk together the flour, spices, salt, baking soda, and brown sugar until fully combined.
Add the butter, molasses, and egg, then mix with your hands until a smooth dough forms.
Shape the dough into a thick disk, wrap tightly in plastic wrap, and refrigerate for at least 2 hours or overnight.
Remove the dough from the fridge about 1 hour before rolling. Preheat the oven to 350°F and line baking sheets with parchment paper.
Roll the dough on a lightly floured surface to about ¼ inch thick, then cut into shapes using a 3-inch gingerbread cookie cutter.
Arrange cookies on the prepared sheets and bake for 7–8 minutes, or until the edges are set and slightly crisp.
Transfer cookies to a wire rack to cool completely, then repeat rolling and cutting with remaining dough.
For the icing, whisk powdered sugar with creamer and maple syrup until smooth, then spread or drizzle over cooled cookies.",13,3 cups all-purpose flour,1 teaspoon cinnamon,½ teaspoon salt,½ teaspoon nutmeg,2 teaspoons ground ginger,Family Cookie Recipes,https://familycookierecipes.com/gingerbread-cookies-with-maple-icing/,½ teaspoon baking soda,1 cup unsalted butter softened to room temperature,½ cup unsulphured molasses,1 cup light brown sugar packed,1 egg,2 cups powdered sugar,4 tablespoons sweet cream coffee creamer or half and half,2 tablespoons pure maple syrup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Sprinkle Cookies Recipe,Jessica & Nellie,"November 10, 2025",NA,NA,American,"Cookies, Dessert",Home_Christmas Cookies,Keyword: Christmas Sprinkle Cookies,10 minutes,10 minutes,NA,20 minutes,14 cookies,4,"Preheat oven to 350℉ and line two baking sheets with parchment paper.
Cream together the butter, sugar, and vanilla. Stir in the flour, baking powder, and baking soda, until well combined. Fold in ¼ cup of the sprinkles. Place the rest of the sprinkles in a small bowl.
Scoop out the dough using a 2 tablespoon cookie scoop. Roll each cookie dough ball into the remaining sprinkles and place on your baking sheet. Slightly press the cookie dough balls down to flatten them.
Bake for 10-12 minutes. Let cool about 2 minutes on baking sheet, then transfer to a cooling rack to fully cool. Serve & enjoy!",8,½ cup butter softened,¾ cup light brown sugar,1 tsp vanilla extract,1 ¼ cup flour,1 tsp baking powder,Family Cookie Recipes,https://familycookierecipes.com/christmas-sprinkles-cookies/,½ tsp baking soda,¼ tsp salt,½ cup + 2 TBSP Christmas Sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy Gingerbread Cookie Recipe,Jessica & Nellie,"November 3, 2025",NA,NA,American,"Christmas, Cookies, Cookies, Dessert",Home_Christmas Cookies_Gingerbread Cookies,Keyword: Chewy Gingerbread Cookies,15 minutes,18 minutes,NA,33 minutes,24 cookies,7,"Combine the brown sugar, cinnamon, ginger, salt, and baking soda in a mixing bowl. Stir in the boiling water until the sugar is dissolved.
Stir in butter until melted, then add the molasses.
Gradually add half of the flour and stir to combine. Add the remaining flour and continue stirring until dough comes together.
Cover the dough and chill in the refrigerator for at least one hour.
Preheat oven to 300°F and line two cookie sheets with parchment paper.
Grab the cookie dough from the fridge and roll dough into tablespoon size balls. Roll each ball in a bowl of white sugar to coat it entirely. Place 12 dough balls on the prepared baking sheets, leaving space in between. NOTE: DO NOT FLATTEN THE DOUGH BALLS!
Bake for 18-20 minutes. Remove pan from oven and cool cookies to room temperature. Serve and enjoy! ",10,1 cup brown sugar,1 ½ tsp cinnamon,½ tsp ground ginger,¼ tsp baking soda,¼ cup boiling water,Family Cookie Recipes,https://familycookierecipes.com/chewy-gingerbread-cookies/,"½ cup unsalted butter room temperature, cut into small pieces",¼ tsp salt,¼ cup molasses,2 cups all-purpose flour,¼ cup granulated sugar for coating the dough balls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Orange Pinwheel Cookies Recipe,Jessica & Nellie,"October 29, 2025",NA,NA,American,Cookies,Home_Slice and Bake Cookies,Keyword: Chocolate Orange Pinwheel Cookies,20 minutes,10 minutes,NA,NA,80 cookies,6,"Make the Dough: Cream the butter, cream cheese, and sugar in a large bowl until light and fluffy (2–3 minutes). Beat in the egg, orange zest, and vanilla extract for another 2–3 minutes.
Add the Dry Ingredients: In a separate bowl, whisk together the flour and salt. Add to the wet mixture and stir just until combined. Cover and chill for about 4 hours.
Prepare the Filling: In a small saucepan, combine the chocolate chips, cream cheese, powdered sugar, and orange juice. Cook over low heat, stirring constantly until smooth and melted. Remove from heat and let cool completely.
Roll and Fill: Divide the chilled dough in half. On a lightly floured surface, roll each half into a 12×10-inch rectangle. Spread half the cooled chocolate filling evenly over each portion of dough.
Roll and Chill: Starting from the long edge, roll up each rectangle tightly like a jelly roll. Wrap each roll in wax paper and chill overnight to firm up the dough for clean slicing.
Slice and Bake: Preheat the oven to 375°F. Unwrap the rolls and slice into ¼-inch thick cookies. Place 2 inches apart on parchment-lined baking sheets. Bake for 8–10 minutes — the cookies should be set but not browned. Cool on the pan for a few minutes, then transfer to a wire rack.",12,1 cup butter softened,3 ounces cream cheese softened,1 cup sugar,1 egg,1 Tbsp grated orange peel,Family Cookie Recipes,https://familycookierecipes.com/chocolate-orange-pinwheel-cookies/,1 tsp vanilla extract,3 ½ cups flour,1 tsp salt,6 ounces semi-sweet chocolate chips (1 cup),3 ounces cream cheese softened,½ cup powdered sugar,¼ cup orange juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Pumpkin Cookies Recipe,Jessica & Nellie,"October 27, 2025",NA,NA,American,"Cookies, Dessert",Home_Pumpkin Cookies,Keyword: Frosted Pumpkin Cookies,15 minutes,12 minutes,NA,27 minutes,18 cookies,6,"Preheat the oven to 350°F. Line a baking sheet with parchment and set aside.
Add the softened butter, granulated sugar, and brown sugar to a large mixing bowl. Use an electric hand mixer to cream the ingredients until the sugar is dissolved.
Whisk in the egg followed by the pumpkin puree. Once the wet ingredients are fully combined, add the baking powder, baking soda, cinnamon, nutmeg, cloves, and flour. Gently whisk the ingredients together until no dry clumps remain.
Use a spoon or cookie scoop to drop balls of cookie dough onto a baking sheet. Bake your cookies for 12 minutes. Once your cookies come out of the oven, let them cool for a few minutes and then transfer them to a wire cooling.
To make the frosting: Add the cream cheese to a medium size bowl. Use an electric hand mixer to beat the cream cheese for about a minute, or until it is smooth. Whisk in the softened butter and vanilla extract. Add the pumpkin pie spice, cornstarch, and powdered sugar. Gently whisk the ingredients together until the frosting is smooth and creamy.
Spread or pipe frosting to the top of each cookie. Serve and enjoy!",16,½ cup salted butter softened,½ cup white granulated sugar,½ cup light brown sugar,1 large egg,1 cup pumpkin puree,Family Cookie Recipes,https://familycookierecipes.com/frosted-pumpkin-cookies/,½ tsp baking powder,½ tsp baking soda,2 tsp ground cinnamon,1 tsp nutmeg,1 tsp cloves,2 cups flour,8 ounces cream cheese room temperature,3 TBSP unsalted butter softened,2 ½ tsp pumpkin pie spice,1 ½ tsp cornstarch,2 ½ cups powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Split Cookie Cups,Jessica & Nellie,"October 22, 2025",5,2,American,Cookies,Home_Cookies Kids Love,Keyword: banana split cookie cups,15 minutes,8 minutes,NA,NA,NA,10,"Preheat oven to 350°.
In a large mixing bowl, cream butter and sugars together for 3-4 minutes. Add in the banana pudding mix and continue to beat for another 1-2 minutes.
Add the eggs and vanilla and beat for 2 more minutes.
Add the flour and baking soda and mix until well combined.
Use a cookie scoop to scoop the cookie dough into a well-greased mini muffin pan. Recipe makes 36 cookie cups.
Bake for 8-9 minutes or until the tops barely begin to turn a light golden brown. Remove from oven and immediately use the back of a 1/2 tablespoon to press an indention into each cookie cup. Don’t press all the way to the bottom- you’ll want to press the tops about halfway down. Make sure to do this while the cookie cups are hot, straight out of the oven.
Let the cookie cups continue to cool in the pan for about 15-20 minutes and then remove from the pan and cool completely on a wire rack.
When the cookie cups are completely cooled, make the filling. Use a fork or large spoon to mix the pudding mix and pineapple together. Fold in the Cool Whip. Use a small spoon to generously scoop the filling into each of the cookie cups.
In a small glass bowl, mix the chocolate chips and shortening and then microwave for about 30 seconds. Stir and then microwave in 15 second intervals, stirring in between each interval until chocolate is completely melted and smooth. Drizzle on top of the cookie cups and then place a cherry on top of each one. Keep refrigerated until ready to serve.
The cookie cups last pretty well completely assembled in the refrigerator for up to about 24 hours. If you need to make them farther in advance, just make the cookie cups and the filling separately and then wait to add the filling and topping until right before serving.",13,1 ½ sticks butter softened to room temperature,¾ cup light brown sugar,¼ cup sugar,1 small 3.4 oz box instant banana cream pudding mix,2 large eggs,Family Cookie Recipes,https://familycookierecipes.com/banana-split-cookie-cups/,1 tsp vanilla extract,1 tsp baking soda,2 ¼ cups all-purpose flour,8 oz Cool Whip thawed,8 oz can crushed pineapple with juice,1 small 3.4 oz box instant vanilla pudding mix,Maraschino cherries,½ cup semi-sweet chocolate chips + 1 Tbsp shortening,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Oatmeal Cranberry Sandwich Cookies Recipe,Jessica & Nellie,"October 22, 2025",NA,NA,American,Cookies,Home_Pumpkin Cookies,Keyword: Pumpkin Oatmeal Cranberry Sandwich Cookies,20 minutes,12 minutes,NA,NA,18 servings,8,"Whisk the dry ingredients: Combine oats, flour, baking powder, baking soda, salt, cinnamon, and pumpkin pie spice.
Cream the butter and sugars: Beat until light and fluffy, then mix in pumpkin, egg yolk, and vanilla.
Combine the mixtures: Add the dry ingredients in two batches, mixing until just combined. Fold in the dried cranberries.
Chill the dough: Refrigerate for at least 1 hour (overnight for best flavor).
Scoop and roll: Measure 1½ tablespoons of dough per cookie, roll into balls, and chill again for 15–20 minutes.
Bake: Bake at 350°F for 10–12 minutes, until the edges are lightly golden. Tap the pan on the counter to flatten slightly, then cool completely.
Make the filling: Beat butter and cream cheese until smooth. Gradually add powdered sugar, vanilla, and salt; mix until fluffy.
Assemble the sandwiches: Pipe or spread filling on the bottom of half the cookies. Top with remaining cookies and press gently.",19,¾ cup butter softened to room temperature,1 cup packed light brown sugar,½ cup granulated sugar,½ cup + 2 tbsp canned pumpkin puree blotted*,1 large egg yolk,Family Cookie Recipes,https://familycookierecipes.com/pumpkin-oatmeal-cranberry-sandwich-cookies/,1 tsp vanilla,1 ½ cups quick oats not old fashioned rolled oats!,1 ½ cups all-purpose flour,½ tsp baking powder,1 tsp baking soda,½ tsp salt,1 tsp ground cinnamon,2 tsp pumpkin pie spice,1 cup dried cranberries,½ cup butter softened to room temperature,4 oz cream cheese softened to room temperature,3 1/2 cups powdered sugar,1 tsp vanilla,⅛ tsp salt,NA,NA,NA,NA,NA,NA
Cranberry Pistachio Snowballs,Jessica & Nellie,"October 21, 2025",NA,NA,American,"Cookies, Dessert",Home_Christmas Cookies,Keyword: Cranberry Pistachio Snowball Cookies,15 minutes,15 minutes,NA,30 minutes,24 cookies,7,"In a large bowl, add ½ cup of the confectioner’s sugar, butter and vanilla extract. Using an electric hand whisk, whisk the mixture till smooth and creamy.
Add the flour and salt. Whisk on low speed till combined. Add the chopped cranberries and pistachios, whisk to combine.
Chill the batter in the fridge for at least 2 hours.
Preheat oven to 350°F. Line a large baking tray with parchment paper and spray lightly with cooking spray.
Form dough into 1 inch balls and place on baking tray, at least 1 inch apart.
Bake for 10-15 minutes, until the bottom is lightly golden brown. Cool on a wire rack for 5 minutes, then roll in the remaining 1 cup of confectioner’s sugar.
Leave cookies to cool completely, then roll again in confectioner’s sugar.",7,1 ½ cup confectioners sugar,"¾ cup butter, softened",1 tsp vanilla extract,2 cups flour,½ tsp salt,Family Cookie Recipes,https://familycookierecipes.com/cranberry-pistachio-snowballs/,"¼ cup pistachios, finely chopped","¼ cup dried cranberries, finely chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Pecan Crinkle Cookie Recipe,Jessica & Nellie,"October 20, 2025",NA,NA,American,"Cookies, Cookies, Dessert",Home_Crinkle Cookies,Keyword: Chocolate Pecan Crinkle Cookies,15 minutes,8 minutes,NA,23 minutes,38 cookies,6,"Preheat your oven to 350°F. Line two baking sheets with parchment paper or silicon mats, set them aside. In a small bowl measure out the powder sugar and then set it aside for later use.
In a large bowl, mix the dry cake mix, oil, and eggs together until well combined.
Scoop the dough into 1 TBSP portions using a small cookie scoop and roll the dough into balls. Then roll each dough ball in the bowl of powdered sugar, coating them well.
Place the cookies into the preheated oven and bake for 7-9 minutes. Immediately remove the cookies from the baking sheets and let them cool completely on wire racks.
In a microwave safe bowl, heat the heavy cream and butter for 2 minutes. Add the chocolate chips and microwave for 30 additional seconds. Let the mixture sit, then whisk gently until smooth. Let the chocolate glaze cool for about 5 minutes.
Spoon a dollop of glaze onto each cookie. Top with a pecan half and let them cool to set. Serve and enjoy!",8,15.25 oz chocolate fudge cake mix,½ cup vegetable oil,2 eggs,½ cup powdered sugar,½ cup semi-sweet chocolate chips,Family Cookie Recipes,https://familycookierecipes.com/chocolate-pecan-crinkle-cookies/,⅓ cup heavy cream,½ TBSP butter,38 pecan halves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Thumbprint Cookies Recipe,Jessica & Nellie,"October 15, 2025",NA,NA,American,Cookies,Home_Thumbprint Cookies,Keyword: Gingerbread Thumbprint Cookies,40 minutes,13 minutes,NA,NA,24 cookies,10,"Cream butter and sugar: In a large bowl, beat together the butter and sugar until light and creamy.
Add wet ingredients: Mix in the molasses and egg until fully incorporated.
Add dry ingredients: Beat in the ginger, cinnamon, salt, baking soda, and 1 cup of flour. Continue adding flour gradually until the dough forms.
Chill: Cover the dough and refrigerate for 30 minutes to make rolling easier.
Preheat oven: Set to 350°F and line a baking sheet with parchment paper.
Shape the cookies: Roll dough into 1½-inch balls and place 2 inches apart on the baking sheet.
Make the wells: Press your thumb or knuckle halfway into each ball to form a small, even indentation.
Fill with cranberry sauce: Spoon just enough cranberry sauce to fill the center — don’t overfill.
Bake: Bake for 12–13 minutes until set and slightly golden.
Cool and drizzle: Let cookies cool 10 minutes, melt white chocolate in the microwave, drizzle over the tops, and transfer to a rack to cool completely.",11,½ cup unsalted butter room temp,½ cup sugar,½ cup molasses,1 egg,½ tsp ground ginger,Family Cookie Recipes,https://familycookierecipes.com/gingerbread-thumbprint-cookies/,½ tsp cinnamon,¼ tsp salt,½ tsp baking soda,3 ⅓ cups flour,¾ cup canned cranberry sauce,¾ cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Maple Cookies Recipe,Jessica & Nellie,"October 13, 2025",NA,NA,American,"Cookies, Dessert",Home_Peanut Butter Cookies,Keyword: Peanut Butter Maple Cookies,15 minutes,12 minutes,NA,27 minutes,60 cookies,5,"Preheat oven to 350°F. Line 2 baking sheets with parchment paper and set aside.
In a mixing bowl, cream the butter, peanut butter and both sugars until light & fluffy, for about 3 minutes.
Then add the eggs, one at a time, beating well after each addition. Beat in the syrup and vanilla & maple extracts.
In a separate bowl whisk the flour, oats, baking powder, baking soda and salt; add the dry ingredients to the creamed butter mixture and mix well. Stir in the peanut butter chips.
Drop the dough by heaping tablespoonfuls 2-inches apart onto the prepared baking sheets. Bake for 11-12 minutes or until golden brown. Cool for 1 minute before transferring to wire racks. Enjoy!",14,1 cup butter softened,½ cup peanut butter,1 cup sugar,1 cup brown sugar,2 eggs,Family Cookie Recipes,https://familycookierecipes.com/peanut-butter-maple-cookies/,1 TBSP maple syrup,2 tsp vanilla extract,1 tsp maple extract,2 cups all-purpose flour,¾ cup quick-cooking oats,1 ½ tsp baking powder,1 tsp baking soda,1 tsp salt,10 oz peanut butter chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Meringues Recipe,Jessica & Nellie,"October 8, 2025",NA,NA,American,Cookies,Home_Easy Cookie Recipes,Keyword: Pumpkin Meringues,20 minutes,NA,NA,NA,50 cookies,7,"Preheat the oven: Set to 250°F and line two baking sheets with parchment paper.
Start the meringue: In the bowl of a stand mixer, combine egg whites and cream of tartar. Mix on medium speed for about a minute until frothy and bubbly.
Add sugar slowly: Add sugar one tablespoon at a time, letting the mixer run for 30–60 seconds between each addition. Don’t rush this step—it helps create a smooth, glossy texture.
Whip to stiff peaks: Continue mixing for about 10 minutes until the mixture forms stiff, shiny peaks that hold their shape.
Add color & flavor: Mix in vanilla or pumpkin flavoring and a few drops of orange gel food coloring. Scrape down the sides to fully incorporate.
Pipe the meringues: Transfer the mixture to a piping bag fitted with a large closed star tip. Pipe mound-shaped cookies onto the prepared baking sheets—about the size of a ping pong ball.
Bake & cool: Bake for 1 hour, then turn off the oven. Leave the meringues inside for another hour to cool slowly without opening the door. This helps them dry completely and stay crisp.",6,½ cup egg whites no trace of yolk,1 tsp cream of tartar,¼ tsp salt,1 tsp pumpkin flavoring or vanilla extract,1 ½ cup sugar,Family Cookie Recipes,https://familycookierecipes.com/pumpkin-meringue-cookies/,Orange gel food coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cheesecake Snickerdoodle Bars Recipe,Jessica & Nellie,"October 6, 2025",NA,NA,American,"Cookies, Dessert, Dessert",Home_Cookie Bars,Keyword: Pumpkin Cheesecake Snickerdoodle Bars,20 minutes,40 minutes,NA,NA,12 servings,6,"Preheat the oven to 350°F and line a 9×13 baking dish with parchment paper.
In a small bowl, combine 4 TBSP of sugar with 1 TBSP of cinnamon and stir well to combine.
Slice one roll of the cookie dough and place the slices in the pan and press down to make an even crust. Sprinkle 2 tablespoons of the cinnamon sugar over the crust.
In a large bowl using an electric mixer, mix the cream cheese, powdered sugar, eggs, vanilla extract, and pumpkin puree until smooth. Pour the cheesecake mixture over the cookie crust.
Pinch off pieces of the other roll of cookie dough and sprinkle all over the top of the cheesecake filling. Sprinkle with the remaining cinnamon sugar.
Place the pan in the preheated oven and bake for 35-45 minutes until the top is golden and the middle is still slightly soft. Set aside to cool. Once cool place in the refrigerator for 4 hours or overnight. Slice, serve, and enjoy!",8,4 TBSP granulated sugar,1 TBSP cinnamon,33 oz pre-made rolls of sugar cookie dough two 16.5 ounce rolls,16 oz cream cheese two 8-ounce blocks- softened,1 cup powdered sugar,Family Cookie Recipes,https://familycookierecipes.com/pumpkin-cheesecake-snickerdoodle-bars/,2 eggs,1 tsp vanilla extract,½ cup pumpkin puree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
