title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Strawberry Crinkle Cookies,Alyssa Rivers,02/11/25,NA,NA,Desserts,15 minutes,11 minutes,NA,26 minutes,24 cookies,6,"Preheat the oven to 375 degrees Fahrenheit and line 2 baking sheets with parchment paper. Set aside.
Add 1 (13.25-ounce) box strawberry cake mix, ⅓ cup melted salted butter, and 2 large eggs, to a large bowl. Use a hand mixer or a stand mixer fitted with the paddle attachment and beat until fully combined.
Scoop the dough into 3-tablespoon portions using a medium cookie scoop and roll the dough into uniform balls with your hands.
First, roll the balls in the ½ cup granulated sugar, before rolling them in the ½ cup powdered sugar, until fully coated.
Place the cookies on the prepared baking sheets, leaving 2 inches between them. Bake for 8-10 minutes or until the tops crack and the edges have set. The centers will still look wet, but the cookies will continue to bake as they cool.
Let the cookies cool on the baking sheet for at least 3 minutes before transferring to a cooling rack to finish cooling.",5,▢ 1 (13.25-ounce) box strawberry cake mix,▢ ⅓ cup melted salted butter,"▢ 2 large eggs, room temperature","▢ ½ cup granulated sugar, for rolling","▢ ½ cup powdered sugar, for rolling",NA,NA,NA,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/strawberry-crinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Whip Cookies,Alyssa Rivers,01/14/25,4.50,2,Recipe Skill Levels,10 minutes,12 minutes,NA,22 minutes,24 cookies,5,"Preheat the oven to 350 degrees Fahrenheit and line 2 baking sheets with parchment paper.
Add the 1 (15.25-ounce) box cake mix, 8 ounces Cool Whip,and 1 large egg to a large bowl and beat until fully combined. It will be pretty soft at the beginning but will firm up the longer it sits.
Scoop about 2 tablespoons of dough into a medium bowl with the 1 cup powdered sugar and carefully cover it with the sugar until fully covered. Transfer the cookies to the prepared baking sheets, leaving about 2 inches between each cookie.
Bake for 10-12 minutes, until the cookies have cracked on top and the centers just barely turn matte.
Let the cookies cool on the baking sheet for 3-4 minutes before transferring them to a cooling rack to finish cooling.",4,"▢ 1 (15.25-ounce) box cake mix, any flavor","▢ 8 ounces Cool Whip, thawed",▢ 1 large egg,▢ 1 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/cool-whip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turtle Cookies,Alyssa Rivers,12/09/24,4.50,4,Desserts,25 minutes,12 minutes,NA,37 minutes,24 cookies,11,"Whisk together 1 cup all-purpose flour, ⅓ cup unsweetened cocoa powder, and ¼ teaspoon salt in a medium bowl. Set aside.
Use a hand mixer or a stand mixer fitted with the paddle attachment to beat ½ cup unsalted butter softened and ⅔ cup granulated sugar together on high speed for 3-4 minutes until light and fluffy. Add 1 large egg yolk (set aside egg white for later), 2 tablespoons milk, and 1 teaspoon vanilla extract and mix until incorporated.
Reduce the speed to low and add the flour mixture to the sugar mixture until combined. Wrap the dough in plastic wrap and refrigerate for an hour.
When the dough is nearly finished chilling, preheat the oven to 350 degrees Fahrenheit, line two baking sheets with parchment paper, and set aside.
Scoop and roll the dough into one-inch balls. In a small bowl, whisk 1 egg white with reserved egg white until frothy.
Roll the cookie dough balls in the egg white until fully coated, then roll them in 1 ¼ cup pecans chopped until the outside is coated. I like to press the pecans into the dough gently.
Place the balls on the prepared baking sheets, leaving 2-inch between them. Use a teaspoon to press an indentation into each ball.
Bake for 10-12 minutes or until set.
While the cookies are baking, melt 14 soft caramel candies and 3 tablespoons heavy cream in the microwave in 30-second increments, stirring between each increment until it is fully melted.
Once the cookies are baked, use the teaspoon to press the indentation again since the cookies will puff in the oven. Fill each indentation with the warm caramel, about one scant teaspoon.
Melt 2 ounces semi-sweet chocolate and 1 teaspoon shortening in the microwave in 20-second increments, then pour the melted chocolate into a sandwich bag. Barely snip the corner and drizzle the chocolate over the cookies.",14,▢ 1 cup all-purpose flour,▢ ⅓ cup unsweetened cocoa powder,▢ ¼ teaspoon salt,▢ ½ cup unsalted butter softened,▢ ⅔ cup granulated sugar,▢ 1 large egg separated,▢ 1 egg white in addition to whole egg,▢ 2 tablespoons milk,▢ 1 teaspoon vanilla extract,▢ 1 ¼ cup pecans finely chopped,▢ 14 soft caramel candies,▢ 3 tablespoons heavy cream,▢ 2 ounces semi-sweet chocolate,The Recipe Critic,https://therecipecritic.com/turtle-cookies/,▢ 1 teaspoon shortening,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Crinkle Cookies,Alyssa Rivers,11/30/24,3.67,3,Desserts,15 minutes,13 minutes,NA,28 minutes,18 cookies,8,"Add 1 cup butter, ⅔ cup granulated sugar, and ⅔ cup dark brown sugar to a large mixing bowl and beat with a hand mixer or stand mixer fitted with a paddle attachment until light and fluffy, about 3-4 minutes.
Add ½ cup unsulphered molasses and mix until combined.
In a separate bowl, whisk together 3 ½ cups flour, 1 ½ teaspoons baking soda, ¼ teaspoon baking powder, ¾ teaspoon salt, 2 teaspoons ground ginger, 1 ½ teaspoons ground cinnamon, and ½ teaspoon ground cloves.
Add the flour mixture to the butter mixture and mix on medium speed until fully combined before mixing in 3 tablespoons milk and 1 ½ teaspoon vanilla extract.
Split the dough into two discs and wrap them in plastic wrap. Chill in the refrigerator for at least 2 hours.
After the dough chills, preheat the oven to 375 degrees Fahrenheit and line 2 baking sheets with parchment paper.
Scoop the dough into 1 ½ inch balls and roll them in ½ cup granulated sugar, followed by ½-1 cup powdered sugar, and place them on the prepared baking sheets leaving 2 inches between them.
Bake for 10-13 minutes. The centers of the cookies will still look gooey and underbaked, which is just fine! Let the cookies rest on the baking sheet for 2-3 minutes before transferring to a cooling rack to finish cooling.",15,▢ 1 cup butter,▢ ⅔ cup granulated sugar,▢ ⅔ cup dark brown sugar,▢ ½ cup unsulphered molasses,▢ 3 ½ cups flour,▢ 1 ½ teaspoons baking soda,▢ ¼ teaspoon baking powder,▢ ¾ teaspoon salt,▢ 2 teaspoons ground ginger,▢ 1 ½ teaspoons ground cinnamon,▢ ½ teaspoon ground cloves,▢ 3 tablespoons milk,▢ 1 ½ teaspoon vanilla extract,The Recipe Critic,https://therecipecritic.com/gingerbread-crinkle-cookies/,▢ ½ cup granulated sugar,▢ ½-1 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA
Coffee Cake Cookies,Alyssa Rivers,10/13/24,NA,NA,Holiday,40 minutes,13 minutes,NA,53 minutes,15 cookies,14,"Preheat the oven to 350 degrees Fahrenheit and line 2 baking sheets with parchment paper.
Add 6 tablespoons all-purpose flour, 2 tablespoons granulated sugar, 2 tablespoons packed brown sugar, ½ teaspoon ground cinnamon, and ⅛ teaspoon salt to a small bowl and whisk until combined.
Add 3 tablespoons unsalted butter, and cut it in with a pastry cutter or fork until it is fully absorbed into the flour mixture. Alternatively, you may use clean hands to mash the butter into the flour mixture.
Cover and refrigerate until the cookie dough is ready to be topped.
Add ½ cup unsalted butter, ½ cup brown sugar, and ⅓ cup granulated sugar, to a large bowl and beat on medium-high speed with a hand mixer or a stand mixer fitted with the paddle attachment for 3-4 minutes until light and fluffy.
Add 1 large egg, and ½ teaspoon vanilla extract and mix until combined. Scrape down the sides and bottom of the bowl as needed.
Sift or whisk together 2 cups all-purpose flour, 2 tablespoons cornstarch, 1 teaspoon baking powder, ½ teaspoon baking soda, ½ teaspoon ground cinnamon, and ½ teaspoon salt in a medium bowl. Add the flour mixture to the butter mixture and mix until fully combined. The dough will be quite dry and crumbly.
Use a medium cookie scoop (about 2 ½ tablespoons) to scoop the dough into cookies. You may have to press the dough into the scoop and level it off due to the crumbly texture.
Place the cookie dough scoops onto the prepared baking sheets, leaving 2 inches between them. Use the back of the cookie scoop to gently press an indent into the tops of the cookies.
Fill the indents with a generous amount of streusel.
Bake for 11-13 minutes until the edges are set. The cookies won’t brown very much, if at all, so do not wait for them to start browning.
Let the cookies cool on the baking sheet for 2-3 minutes before transferring to a cooling rack to finish cooling.
Once the cookies are completely cool, prepare the glaze by whisking together ¾ cup powdered sugar, 2 tablespoons milk, and ¼ teaspoon vanilla extract,. Thicken the glaze by adding powdered sugar one teaspoon at a time, or thin it by adding ½ teaspoon of milk at a time until you reach a consistency you like.
Drizzle the glaze across the cookies before serving.",20,▢ 6 tablespoons all-purpose flour,▢ 2 tablespoons granulated sugar,▢ 2 tablespoons packed brown sugar,▢ ½ teaspoon ground cinnamon,▢ ⅛ teaspoon salt,"▢ 3 tablespoons unsalted butter, cold","▢ ½ cup unsalted butter, room temperature","▢ ½ cup brown sugar, packed",▢ ⅓ cup granulated sugar,"▢ 1 large egg, room temperature",▢ ½ teaspoon vanilla extract,▢ 2 cups all-purpose flour,▢ 2 tablespoons cornstarch,The Recipe Critic,https://therecipecritic.com/coffee-cake-cookies/,▢ 1 teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ½ teaspoon ground cinnamon,▢ ½ teaspoon salt,▢ ¾ cup powdered sugar,▢ 2 tablespoons milk,"▢ ¼ teaspoon vanilla extract, optional",NA,NA
Browned Butter Sugar Cookies,Alyssa Rivers,10/07/24,NA,NA,Recipe Skill Levels,20 minutes,21 minutes,NA,41 minutes,24 cookies,8,"Add 1 cup unsalted butter, to a medium saucepan and cook over medium heat for 6-8 minutes, until it has melted and turned foamy and fragrant. Keep a close eye on it, as the browning happens quite rapidly towards the end of 6-8 minutes. Transfer the butter to a small bowl and let it cool to room temperature.
Preheat the oven to 350 degrees Fahrenheit and line 2 baking sheets with parchment paper.
Add the browned butter, ⅔ cup granulated sugar, and ⅔ cup dark brown sugar, to a large bowl and beat on high speed with a hand mixer or a stand mixer fitted with the paddle attachment until well combined, about 2-3 minutes.
Add 1 large egg, 1 egg yolk, and 1 tablespoon vanilla extract, and beat until combined. Scrape down the sides and bottom of the bowl as needed.
In a separate bowl, sift or whisk together 2 ¼ cup all-purpose flour, 1 tablespoon cornstarch, 1 teaspoon baking powder, and ½ teaspoon salt.
Add the flour mixture to the butter mixture and mix until combined.
Use a medium cookie scoop (about 2 ½ tablespoons) to scoop the cookie dough, then roll them into uniform balls with your hands. Roll each ball of dough in a small bowl with ¼ cup of granulated sugar until fully coated.
Place the dough on the prepared baking sheets, leaving 2 inches between them. Bake for 11-13 minutes, until the edges have set but the centers still look quite underbaked. Let the cookies cool on the baking sheet for 3 minutes before transferring to a cooling rack to finish cooling, as this will continue the baking process.",10,"▢ 1 cup unsalted butter, room temperature","▢ ⅔ cup granulated sugar, plus ¼ cup for rolling","▢ ⅔ cup dark brown sugar, packed","▢ 1 large egg, room temperature","▢ 1 egg yolk, room temperature","▢ 1 tablespoon vanilla extract, or vanilla paste",▢ 2 ¼ cup all-purpose flour,▢ 1 tablespoon cornstarch,▢ 1 teaspoon baking powder,▢ ½ teaspoon salt,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/browned-butter-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pistachio Pudding Cookies,Alyssa Rivers,09/03/24,5,1,Desserts,15 minutes,8 minutes,NA,23 minutes,24 cookies,6,"Preheat the oven to 350 degrees Fahrenheit. Line 2 baking sheets with parchment paper and set aside. In a large mixing bowl, beat ¾ cup salted butter,¾ cup packed brown sugar, and ¼ cup granulated sugar until fluffy, about 3-4 minutes.
Add the 1 (3.4 ounce) package instant pistachio pudding and beat until combined.
Add 2 large eggs, 1 teaspoon vanilla extract, and ¼ teaspoon almond extract and beat until combined. Scrape down the sides and bottom of the bowl.
Add the 2 ¼ cup all-purpose flour and 1 teaspoon baking soda and mix until combined. If desired, add a very small amount of green food coloring, to make the cookies a brighter shade.
Stir in 1 cup chopped white chocolate or white chocolate chips and ½ cup chopped pistachios by hand.
Scoop the dough using a smaller scoop (about 1 ½ tablespoons) and place on the prepared cookie sheet. Bake for 8-12 minutes.",12,"▢ ¾ cup salted butter, softened",▢ ¾ cup packed brown sugar,▢ ¼ cup granulated sugar,▢ 1 (3.4 ounce) package instant pistachio pudding,"▢ 2 large eggs, room temperature",▢ 1 teaspoon vanilla extract,▢ ¼ teaspoon almond extract,▢ 1 teaspoon baking soda,▢ 2 ¼ cup all-purpose flour,▢ 1 cup chopped white chocolate or white chocolate chips,▢ ½ cup chopped pistachios,"▢ green food coloring, optional",NA,The Recipe Critic,https://therecipecritic.com/pistachio-pudding-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscoff Cookies,Alyssa Rivers,08/19/24,NA,NA,Holiday,20 minutes,10 minutes,NA,NA,30 cookies,8,"Preheat the oven to 375 degrees Fahrenheit and line 2 baking sheets with parchment paper. Set aside.
Add 1 cup unsalted butter, 1 cup brown sugar, and ½ cup granulated sugar to a large mixing bowl and beat on high speed with the paddle attachment of a stand mixer or a hand mixer for 3-4 minutes, until light and fluffy.
Add 2 large eggs, and 2 teaspoons vanilla extract. Add the ½ cup cookie butter, and mix until combined.
Add 2 ¾ cup all-purpose flour, 1 tablespoon cornstarch, 1 teaspoon baking soda, 1 teaspoon baking powder, and 1 teaspoon salt to a medium bowl and whisk until combined. Add the dry ingredients to the wet and mix until just combined.
Fold in 1 ⅔ cup white chocolate chips, and ½ cup roughly crushed Biscoff cookies by hand until evenly distributed. Cover the bowl and chill for 30 minutes.
Scoop the chilled dough with a medium cookie scoop (about 3 tablespoons of dough) onto the prepared baking sheets, leaving 2 inches between them. Melt some cookie butter in the microwave in 10-second intervals until it’s runny. Drizzle a generous amount over the top of each scoop of cookie dough.
Bake for 8-10 minutes, until the edges begin to set and turn golden brown. The centers of the cookies will look underbaked, but they will continue to bake as they cool.
Let the cookies cool on the baking sheet for 3-4 minutes before transferring them to a cooling rack to finish cooling.",13,▢ 1 cup unsalted butter,"▢ 1 cup brown sugar, packed",▢ ½ cup granulated sugar,"▢ 2 large eggs, room temperature",▢ 2 teaspoons vanilla extract,"▢ ½ cup cookie butter, additional for drizzling over the top",▢ 2 ¾ cup all-purpose flour,▢ 1 tablespoon cornstarch,▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ 1 teaspoon salt,"▢ 1 ⅔ cup white chocolate chips, or chopped white chocolate",▢ ½ cup roughly crushed Biscoff cookies,The Recipe Critic,https://therecipecritic.com/biscoff-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Pudding Cookies,Alyssa Rivers,08/12/24,NA,NA,Desserts,10 minutes,8 minutes,NA,18 minutes,24 Cookies,7,"Preheat the oven to 350 degrees Fahrenheit. Line 2 baking sheets with parchment paper and set aside.
In a large bowl, beat the ¾ cup salted butter, ¾ cup brown sugar, and ¼ cup granulated sugar together until fluffy, about 3-4 minutes.
Add 1 (3.4-ounce package) instant pudding, and beat until combined. Add 2 eggs, and 1 teaspoon vanilla extract and beat until combined. Scrape down the sides and bottom of the bowl.
In a small bowl, whisk together 1 teaspoon baking soda and 2 ¼ cups all-purpose flour. Add the dry ingredients to the wet and mix until combined.
Stir in any mix-ins by hand.
Scoop the dough using a smaller scoop (about 1 ½ tablespoons), roll them in your hands to make them uniform, and place them onto the prepared cookie sheets, leaving 2 inches between them.
Bake for 8-12 minutes, or until the edges are set an the centers of the cookies have turned from shiny to matte. Leave the cookies on the baking sheet for 2-3 minutes before transfering to a cooling rack to finish cooling.",8,"▢ ¾ cup salted butter, softened","▢ ¾ cup brown sugar, packed",▢ ¼ cup granulated sugar,"▢ 1 (3.4-ounce package) instant pudding, any flavor","▢ 2 eggs, room temperature",▢ 1 teaspoon vanilla extract,▢ 1 teaspoon baking soda,▢ 2 ¼ cups all-purpose flour,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/pudding-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie in a Mug,Alyssa Rivers,07/31/24,NA,NA,Desserts,5 minutes,1 minute,NA,6 minutes,Servings: 1,7,"Melt 2 tablespoons butter in an 8-ounce microwave-safe mug for about 30 seconds.
Stir in 4 teaspoons light brown sugar and 4 teaspoons granulated sugar .
Add 1 egg yolk and 1/4 teaspoon vanilla extract, then stir to combine.
Stir in ¼ cup all-purpose flour and a pinch of salt,.
Add in 2 tablespoons chocolate chips, or any mix-ins you want.
Microwave on high for 50 seconds to 1 minute.
Top with a scoop of ice cream and enjoy warm!",8,▢ 2 tablespoons butter,▢ 4 teaspoons light brown sugar,▢ 4 teaspoons granulated sugar,▢ 1/4 teaspoon vanilla extract,"▢ pinch of salt, or to taste",▢ 1 egg yolk,▢ ¼ cup all-purpose flour,"▢ 2 tablespoons chocolate chips, semi-sweet or milk",NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/cookie-in-a-mug/,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-Bake Cookie Dough Cheesecake,Alyssa Rivers,06/27/24,NA,NA,Desserts,30 minutes,NA,NA,30 minutes,12 servings,11,"Before you are ready to make the cookie dough, be sure your flour is heat-treated to make it safe to consume. You can do this by heating it in the microwave in 30-second intervals until it reaches 160 degrees Fahrenheit, or spread the flour out on a parchment-lined baking sheet and bake it at 350 degrees Fahrenheit for 5-7 minutes, until all of the flour has reached 160 degrees Fahrenheit. Let it cool completely before using it in the recipe.
Beat ½ cup salted butter, ½ cup granulated sugar, and ⅓ cup brown sugar, in a large bowl with a hand mixer until light and fluffy. Add 1 tablespoon vanilla extract and mix until combined.
Beat in 1 ¼ cup all-purpose flour and ¼ teaspoon salt until evenly combined. Add 2 tablespoons milk and mix again until fully combined.
Stir in ½ cup mini chocolate chips by hand. If you'd like, you can roll some of the dough into little balls or leave it as is. Cover and chill in the refrigerator while you prepare the rest of the cheesecake.
Add 30 Oreos, to a food processor or a large blender and blend until they are finely ground and no chunks remain.
Add the melted 5 tablespoons salted butter, and mix until it resembles very wet sand.
Spray a 9-inch springform pan with pan spray and pour the crumb mixture into it. Use your fingers or a flat-bottomed measuring cup to press the crust evenly into the pan. Place the pan in the refrigerator to chill while you prepare the cheesecake filling.
Add 24 ounces cream cheese, and 1 ½ cups powdered sugar to a large bowl and beat until smooth. Add 1 tablespoon vanilla extract and ¼ cup heavy whipping cream and beat again until smooth. Scrape down the sides and bottom of the bowl and mix until everything is incorporated.
Add half of the cheesecake mixture to the chilled crust and smooth with a spatula.
Crumble half of the cookie dough evenly over the top of the cheesecake and then top with the remaining half of the cheesecake filling. Use a spatula to smooth it over again. Cover with plastic wrap and chill for at least 6 hours.
When you are ready to serve, top with the remaining cookie dough and, if desired, whipped cream,.",15,"▢ ½ cup salted butter, softened",▢ ½ cup granulated sugar,"▢ ⅓ cup brown sugar, packed",▢ 1 ¼ cup all-purpose flour,▢ ¼ teaspoon salt,▢ 1 tablespoon vanilla extract,▢ 2 tablespoons milk,▢ ½ cup mini chocolate chips,"▢ 30 Oreos, regular","▢ 5 tablespoons salted butter, melted","▢ 24 ounces cream cheese, room temperature",▢ 1 ½ cups powdered sugar,▢ 1 tablespoon vanilla extract,The Recipe Critic,https://therecipecritic.com/no-bake-cookie-dough-cheesecake/,▢ ¼ cup heavy whipping cream,"▢ whipped cream, optional",NA,NA,NA,NA,NA,NA,NA
Monster Cookies,Alyssa Rivers,04/30/24,4.50,2,Desserts,15 minutes,11 minutes,NA,26 minutes,Servings: 18,8,"Preheat the oven to 350 degrees Fahrenheit and line 2 baking sheets with parchment paper.
Use a hand mixer or a stand mixer fitted with a paddle attachment to beat ½ cup unsalted butter, ¼ cup granulated sugar, and ¾ cup light brown sugar together on medium-high speed for 3-4, until light and fluffy.
Add ½ cup creamy peanut butter and mix until combined. Add 2 large eggs, and 2 teaspoons vanilla extract and mix again until combined. Scrape down the sides and bottom of the bowl as needed to make sure everything is fully incorporated.
In a medium bowl, whisk together 1 cup all-purpose flour, 1 ½ cups old-fashioned rolled oats, ½ teaspoon salt, ¼ teaspoon baking powder, and 1 teaspoon baking soda.
Add the dry ingredients to the wet mixture and mix until just combined. Stir in ⅔ cup mini M&M candies and ⅔ cup mini semi-sweet chocolate chips by hand.
Use a medium-sized cookie scoop to scoop the dough onto the prepared baking sheets, leaving at least 2 inches between them.
Bake for 9-11 minutes but do not overbake them! They will look just set on the edges and a little doughy in the center.
Remove them from the oven and allow them to cool on the pan for 5 minutes before transferring to a cooling rack.",13,"▢ ½ cup unsalted butter, room temperature",▢ ¼ cup granulated sugar,▢ ¾ cup light brown sugar,▢ ½ cup creamy peanut butter,"▢ 2 large eggs, room temperature",▢ 2 teaspoons vanilla extract,▢ 1 cup all-purpose flour,▢ 1 ½ cups old-fashioned rolled oats,▢ ½ teaspoon salt,▢ ¼ teaspoon baking powder,▢ 1 teaspoon baking soda,▢ ⅔ cup mini M&M candies,▢ ⅔ cup mini semi-sweet chocolate chips,The Recipe Critic,https://therecipecritic.com/monster-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie Salad,Alyssa Rivers,Updated 06/12/24,NA,NA,Desserts,10 minutes,NA,NA,10 minutes,8 people,6,"In a large bowl, combine 1 ¼ cups buttermilk and 3.4 ounces instant vanilla pudding. Whisk until combined. The mixture will be thick.
Fold in 8 ounces cool whip.
Gently stir in the drained 11 ounces can mandarin oranges, and 20 ounces crushed pineapple,.
Cover and refrigerate until ready to serve.
Before serving, chop or crumble 10-12 fudge stripes cookies, and fold them into the pudding mixture.
Garnish with additional cookie pieces on top if desired.",6,▢ 1 ¼ cups buttermilk,▢ 3.4 ounces instant vanilla pudding,▢ 8 ounces cool whip,"▢ 11 ounces can mandarin oranges, drained","▢ 20 ounces crushed pineapple, drained","▢ 10-12 fudge stripes cookies, chopped or crumbled",NA,NA,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/cookie-salad/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Crinkle Cookies,Alyssa Rivers,04/19/24,NA,NA,Desserts,15 minutes,13 minutes,NA,28 minutes,24 cookies,7,"Add 1 cup granulated sugar and 2 tablespoons fresh lemon zest to a large bowl and use a fork to combine them until the sugar is moist and fragrant. Add ½ cup unsalted butter, and use a hand mixer or a stand mixer fitted with the paddle attachment to beat the sugar and butter together on medium-high speed for 3-4 minutes, until light and fluffy.
Scrape down the sides and bottom of the bowl before adding 1 large egg, 1 egg yolk, 1 teaspoon lemon extract, 2 tablespoons fresh lemon juice, and ½ teaspoon vanilla extract, and mix until just combined.
Add 2 ½ cups all-purpose flour, 1 teaspoon cornstarch, 1 teaspoon baking soda, ½ teaspoon saltand ¼ teaspoon baking powder to a medium bowl and whisk to combine. Add to the butter and sugar mixture and beat until just combined. Cover the bowl and chill for at least 2 hours.
After the dough is done chilling, preheat the oven to 350 degrees Fahrenheit and line 2-3 baking sheets with parchment paper. Combine 2 tablespoons granulated sugar with 1 cup powdered sugar in a shallow dish, like a pie dish or a wide bowl.
Use a medium cookie scoop to scoop about 1 ½ tablespoon of dough for each cookie, rolling each in your hands to form a uniform ball. Roll the dough in the powdered sugar until fully coated.
Place the balls on the prepared cookie sheets leaving 2 inches between each of them. Bake for 11-13 minutes, until the edges of the cookies have set and the centers just begin to lose their shine.
Let the cookies cool on the baking sheet for at least 2 minutes before transferring to a cooling rack to finish cooling.",15,▢ 1 cup granulated sugar,▢ 2 tablespoons fresh lemon zest,"▢ ½ cup unsalted butter, room temperature",▢ 1 large egg,▢ 1 egg yolk,▢ 2 tablespoons fresh lemon juice,▢ 1 teaspoon lemon extract,▢ ½ teaspoon vanilla extract,▢ 2 ½ cups all-purpose flour,▢ 1 teaspoon cornstarch,▢ 1 teaspoon baking soda,▢ ¼ teaspoon baking powder,▢ ½ teaspoon salt,The Recipe Critic,https://therecipecritic.com/lemon-crinkle-cookies/,▢ 2 tablespoons granulated sugar,▢ 1 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA
