title,author,dateinfo,rating,ratingnum,category,cuisine,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Mocha Chocolate Chip Cookies,Julie Clark,Posted: 2/1/2025,4.41,5,Cookies,American,"butter cookies, chocolate cookies",15 minutes,10 minutes,Chill Time 30 minutes minutes,55 minutes,27,8,"Using an electric mixer with a large mixing bowl or bowl of a stand mixer, cream together the room temperature (not melted!) butter, sugar, and brown sugar. Cream for 3-4 minutes on medium speed. The mixture should lighten in color and be light and fluffy. 1 cup salted butter, ¾ cup brown sugar, ¾ cup granulated sugar
Mix in the eggs and vanilla. Mix for 30 seconds. Scrape the side of the bowl as needed with a rubber spatula. 2 large eggs, 2 teaspoons vanilla extract
Add in the flour, espresso powder, baking soda, salt and cinnamon. Mix just until combined. 2 ½ cups all-purpose flour , 2 tablespoons espresso powder , 1 teaspoon baking soda , 1 teaspoon salt , ¼ teaspoon ground cinnamon
Fold in the chocolate chunks. 2 cups dark chocolate chunks
Scoop the dough into balls using a 2″ cookie scoop and place on a parchment paper lined baking sheet. Refrigerate for 30 minutes.
Preheat the oven to 350ºF. Place the cookie dough balls 2″ apart on a parchment-lined baking sheet (or use a silicone baking mat). Press in any scraggly edges on the cookie dough balls which will give the cookies a good shape. Bake for 10-11 minutes.
If you'd like the cookies to be perfectly round, use a large round cookie cutter (or a wide mouth mason jar ring) to place over the hot cookie. Use your hand to hold the ring or cutter and make quick circles on the pan, which will round out the cookie. You have to do this when the cookies are hot, so work quickly immediately after the cookies come out of the oven.
Place a chocolate covered coffee bean on the top of each hot cookie. Allow the cookies to cool on the pan for 3-4 minutes, then move to a cooling rack to cool completely. chocolate covered coffee beans",12,1 cup salted butter room temperature,3/4 cup brown sugar,3/4 cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,2 1/2 cups all-purpose flour,2 tablespoons espresso powder,Tastes of Lizzy T,https://www.tastesoflizzyt.com/mocha-chocolate-chip-cookies/,1 teaspoon baking soda,1 teaspoon salt,¼ teaspoon ground cinnamon,2 cups dark chocolate chunks,chocolate covered coffee beans for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coffee Toffee Cookies,Julie Clark,Posted: 1/31/2025,5,2,Cookies,American,"chocolate cookies, EASY COOKIE RECIPE",15 minutes,11 minutes,NA,26 minutes,26,6,"Preheat the oven to 350ºF. Line cookie sheets with parchment paper.
Using a stand mixer or an electric hand mixer, cream together the butter and sugars for about 4 minutes. The mixture should be light in color and fluffy. 1 cup salted butter, ¾ cup granulated sugar , ¾ cup brown sugar
Add the eggs and vanilla and mix again for 1 minute. 2 large eggs, 2 teaspoons vanilla extract
Add in the dry ingredients: flour, cocoa, espresso powder, baking soda and salt. Mix for 30 seconds, just until the mixture is combined. On low speed, gently mix in the in the chopped toffee and chopped dark chocolate. 2 ¼ cups all-purpose flour , ⅔ cup unsweetened cocoa powder*, 2 tablespoons espresso powder, ¾ teaspoon baking soda, ¼ teaspoon salt, 8 Heath toffee bars, 1 dark chocolate bar
Use a 2"" cookie scoop to drop the batter onto the lined baking sheets. Space the cookie dough balls about 2"" apart. Press a few extra toffee pieces on the top of the cookies. Bake the cookies for 10 minutes or until they are set. If you want the cookies to stay soft and chewy, do not over bake. 2 Heath toffee bars
Allow the cookies to cool for 5 minutes on the pan, then remove to a wire rack to cool completely.",13,1 cup salted butter room temperature,¾ cup granulated sugar,¾ cup brown sugar,2 large eggs,2 teaspoons vanilla extract,2 ¼ cups all-purpose flour,⅔ cup unsweetened cocoa powder*,Tastes of Lizzy T,https://www.tastesoflizzyt.com/coffee-toffee-cookies/,2 tablespoons espresso powder,¾ teaspoon baking soda,¼ teaspoon salt,"8 Heath toffee bars chopped, 1.4 ounces each","1 dark chocolate bar chopped, 5.29 ounces","2 Heath toffee bars chopped, 1.4 ounces each",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birthday Cookies,Julie Clark,Posted: 1/14/2025,NA,NA,Cookies,American,"best sugar cookies, birthday cookies, easy cookie recipes, party food",15 minutes,10 minutes,NA,25 minutes,30,8,"Preheat oven to 375ºF. Line baking sheet with parchment paper.
In a medium size mixing bowl, combine flour, baking powder, salt, and cornstarch. Set aside. 2 ½ cups all-purpose flour, 2 teaspoons baking powder, 1 teaspoon salt, 1 tablespoon cornstarch
Using a hand mixer or stand mixer, cream together butter, brown sugar and granulated sugar until smooth. 1 cup unsalted butter, ¾ cup granulated sugar, ½ cup brown sugar
Add vanilla, the egg and the additional egg yoke and mix until well combined. ½ teaspoon vanilla extract, 1 large egg, 1 large egg yolk
Gradually add in dry ingredients a little at a time, and mix on a low speed until combined, then increase to medium speed until all ingredients are blended.
Using a wooden spoon or a rubber spatula stir in rainbow chips and sprinkles. 1 cup rainbow chips, ½ cup sprinkles
Using a medium size cookie scoop, drop cookie dough balls onto lined cookie sheet, about 2 inches apart. Bake for 8-10 min or until the edges of the cookies are lightly browned.
Remove from oven and allow to cool for 5 min on baking sheet before transferring to a cooling rack to cool completely.",12,2 1/2 cups all-purpose flour 325 grams,2 teaspoons baking powder 10 grams,1 teaspoon salt 6 grams,1 tablespoon cornstarch 8 grams,"1 cup unsalted butter room temperature, 8 ounces",¾ cup granulated sugar 150 grams,½ cup brown sugar 105 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/birthday-cookies/,½ teaspoon vanilla extract 5 grams,1 large egg,1 large egg yolk,1 cup rainbow chips 170 grams,½ cup sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shortbread Cookie Recipe,Julie Clark,Updated: 1/7/2026,5,1,Cookies,American,"butter cookies, EASY COOKIE RECIPE, shortbread cookies",15 minutes,20 minutes,Chill Time 30 minutes minutes,5 minutes,32,7,"Line 2 baking sheets with parchment paper, set aside.
In a large bowl, use an electric mixer to cream the butter and sugar together, about 2-3 minutes. Add in the vanilla or almond extract and mix again. 1 cup salted butter, ½ cup powdered sugar, 2 teaspoons vanilla or almond extract
Add the flour and cornstarch. Mix again on medium speed until all of the flour is mixed in. Don't overmix the dough. This can lead to a tough cookie. 1 ½ cups all-purpose flour, ½ cup cornstarch
Use your hands to form the cookie dough into a ball. On a floured surface, roll the dough to 1/4-inch thick.
Use cookie cutters to cut shapes, or use a knife to cut rectangles or squares. Place the shapes on the prepared pan. Place in the fridge for 30 minutes. Don't skip the refrigeration! This helps the cookies keep their shape.
Preheat the oven to 325ºF. Bake for 18-20 minutes, just until the cookies are set and lightly golden on the very edges. The exact time will depend on how large the cookie shapes are. Don't overbake.
Allow to cool completely on the pan for 5 minutes, then move to a wire rack to cool completely.",5,"1 cup salted butter room temperature, 8 ounces",1/2 cup powdered sugar 65 grams,2 teaspoons vanilla or almond extract 10 grams,1 1/2 cups all-purpose flour 195 grams,1/2 cup cornstarch 65 grams,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/shortbread-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yellow Cake Mix Cookies,Julie Clark,Posted: 6/16/2024,5,2,Cookies,American,"cake mix recipe, easy cookies",5 minutes,9 minutes,NA,14 minutes,21,6,"Preheat the oven to 350ºF. Line a cookie sheet with parchment paper.
In a medium bowl, use an electric mixer to mix together the cake mix, eggs and oil. Scrape the bowl as needed and mix until well combined. 1 box yellow cake mix, 2 large eggs, ½ cup vegetable oil
Fold in the chocolate chips and mini M&Ms. ¾ cup chocolate chips , ¾ cup mini M&Ms
Use a cookie scoop to scoop the cookie dough onto a parchment lined baking sheet. Leave 2” between each cookie. Press in any scraggly edges to the cookie dough, and top the cookie dough balls with a few extra chocolate chips & M&Ms. This will make them look so pretty!
Bake for 8-10 minutes or until the cookie is set.
Allow the cookies to cool for 5 minutes on the pan, then move to a wire rack to cool completely.",5,1 box yellow cake mix 15.25 oz box,2 large eggs room temperature,1/2 cup vegetable oil 4 ounces,3/4 cup chocolate chips,3/4 cup mini M&Ms,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/yellow-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Cashew Cookies,Julie Clark,Updated: 1/17/2026,5,5,Cookies,American,"caramel cookies, cashew cookies, christmas thumbprint cookies, nut cookies, thumbprint cookies",20 minutes,20 minutes,NA,40 minutes,40,9,"Heat oven to 350 F. Line a cookie sheet with a sheet of parchment paper.
In a large bowl, combine the powdered sugar and butter and beat well with an electric mixer on medium speed. Add the milk and egg yolk and beat until completely combined, scraping down the sides of the bowl.
Add flour and cornstarch to the wet ingredients and mix well. (If using a stand mixer, switch to dough hook. Otherwise, you will need to stir by hand with a sturdy spoon; this is a very thick dough.)
Stir or knead in the cashew pieces.
Using 1 tablespoon of cookie dough at a time, roll dough into balls. Place dough balls on prepared baking sheet, 1 ½ inches apart. Firmly press the top of each cookie with your thumb (or a round spoon handle or melon baller). Repair any large cracks around the edge of the cookie.
Bake 9 – 11 minutes, or until the cookie bottoms are lightly golden brown. Transfer cookies to a wire rack to cool completely.
In a medium pan, combine the brown sugar, butter, and milk. On medium heat, bring mixture to a boil, stirring often. Once boiling, cook for 2 minutes.
Remove from heat. Whisk in the vanilla and powdered sugar until mixture is smooth.
Carefully spoon the caramel into the depressions on cookies. The caramel sets quickly, so If you are adding cashews on top, pour 4 cookies at a time and add the cashews. Repeat until all cookies are filled. If the icing gets too thick to pour, place it back on the stove at low heat briefly, stirring constantly.",12,1 cup powdered sugar,1 cup softened butter,2 teaspoons 2% milk,1 large egg yolk (use white for something else),2 cups all-purpose flour,1/4 cup cornstarch,1 cup cashews (finely chopped),Tastes of Lizzy T,https://www.tastesoflizzyt.com/cashew-thumbprint-cookies/,3/4 cups brown sugar,2 tablespoons butter,3 tablespoons 2% milk,1/2 teaspoon vanilla extract,3/4 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Bisquick Cookies,Julie Clark,Posted: 2/5/2024,4.67,3,Cookies,American,"red velvet, red velvet recipes, valentine’s day, valentine’s day cookies",20 minutes,8 minutes,NA,28 minutes,18,6,"Heat oven to 350ºF. Line a baking sheet with parchment paper.
In a large bowl, cream butter and brown sugar with an electric mixer on high speed for 2-3 minutes. Mix in the vanilla and egg on low speed.
Then add the Bisquick and cocoa. Mix until combined, but the. mixture will be dry and crumbly to start. Keep mixing and it will come together like a smooth cookie dough. Once mixed, add in red food coloring until the desired color has been reached.
Fold in ¾ cup of the white chocolate chips.
Using a 1 1/2″ cookie scoop, drop dough balls onto the prepared pan, leaving about 2 inches apart. Bake for 8-10 minutes.
When the cookies come out of the oven, add a few additional white chocolate chips to the top of the cookie if desired. Cool on the baking pan for 5 minutes, then move to a wire rack to cool completely.",8,1/2 cup unsalted butter at room temperature,1 cup light brown sugar,2 teaspoons vanilla extract,1 large egg,1 ¾ cup Bisquick mix,¼ cup unsweetened cocoa powder (not Dutch processed),Red or pink food coloring gels,Tastes of Lizzy T,https://www.tastesoflizzyt.com/red-velvet-cookies/,1 cup white chocolate chips (divided),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Sandwich Cookies,Julie Clark,Updated: 9/17/2024,4.53,38,Cookies,American,"comfort food, peanut butter",15 minutes,6 minutes,NA,21 minutes,60,8,"Preheat the oven to 375º Fahrenheit.
In a large mixing bowl, use an electric mixer to cream the butter, peanut butter and sugars on medium speed. Add vanilla and mix. 1 cup salted butter, 1 cup creamy peanut butter, 1 cup granulated sugar, 1 cup packed brown sugar
Add the eggs, one at a time, beating well after each addition. 1 teaspoon vanilla extract, 3 large eggs
In a separate bowl, whisk together the flour, baking soda and salt. Add the dry ingredients to the wet ingredients in the mixing bowl and mix until well combined. Scrape the sides of the bowl as needed. 4 cups all-purpose flour, 2 teaspoons baking soda, ¼ teaspoon salt
Use a cookie scoop to shape the dough into 1 inch balls and place on an ungreased baking sheet. Flatten each dough ball in a criss-cross pattern with the tines of a fork.
Bake the cookies for 5-6 minutes. Do not overbake! Remove the pan from the oven and leave the cookies on the cookie sheet for 2-3 minutes. The cookies will continue to absorb heat from the cookie sheet. After this, move the cookies to a wire rack to cool.
In a medium bowl, use the hand mixer to cream the ingredients for the filling together until well combined. If the frosting is too stiff, add enough milk to make it a light and spreadable creamy frosting. ½ cup creamy peanut butter, 3 cups powdered sugar, 1 teaspoon vanilla extract, 5-6 tablespoons 2% milk
Spread the filling on half of the cookies and top each one with a second cookie.",13,1 cup salted butter room temperature,1 cup creamy peanut butter,1 cup granulated sugar,1 cup packed brown sugar,1 teaspoon vanilla extract,3 large eggs,4 cups all-purpose flour lightly spooned and leveled,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-sandwich-cookies/,2 teaspoons baking soda,1/4 teaspoon salt,1/2 cup creamy peanut butter,3 cups powdered sugar,1 teaspoon vanilla extract,5-6 tablespoons 2% milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pillsbury Sugar Cookie Recipe,Julie Clark,Updated: 9/28/2024,4.63,231,Cookies,American,"christmas cookies, drop sugar cookies, easy sugar cookie recipe, sprinkle cookies",15 minutes,8 minutes,NA,23 minutes,36,8,"Heat oven to 375ºF. Line baking sheets with parchment paper or nonstick baking mats.
In a large bowl, use an electric hand mixer to cream together butter and sugar for 2-3 minutes. Beat in the egg and vanilla. Scrape the sides of the bowl as needed and set aside. 1 cup salted butter, 1 ½ cups granulated sugar, 1 large egg, 1 teaspoon vanilla extract
In a small bowl, whisk together flour, baking soda, and baking powder. 2 ¾ cups all-purpose flour, 1 teaspoon baking soda, ½ teaspoon baking powder
Gradually blend the dry ingredients into the wet ingredients. The dough will be very crumbly and floury.
Add just enough of the buttermilk to moisten the dough and make it soft, but not wet. Start with 1 tablespoon and mix well on low speed. It will most likely come together into a nice dough. If it isn't, add another ½ to 1 tablespoon buttermilk until it forms a dough. 3-4 tablespoons buttermilk
Roll dough into 1 inch balls and place on a parchment lined baking sheet. Dip a glass with a flat bottom in sugar, then press down gently on the dough balls to slightly flatten them. Repeat with the remaining cookie dough balls.
With a pastry brush, brush the top of each cookie lightly with the remaining buttermilk. Sprinkle with colored sugar or colorful sprinkles.
Bake cookies for 8 minutes. Take them out of the oven before they get golden brown. Let stand for 2 minutes on the baking sheets before removing cooling on a wire rack.",8,"1 cup salted butter room temperature, 8 ounces",1 1/2 cups granulated sugar 300 grams,1 large egg,1 teaspoon vanilla extract 4 grams,2 3/4 cups all-purpose flour 358 grams,1 teaspoon baking soda 6 grams,1/2 teaspoon baking powder 2 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chewy-sugar-cookies/,3-4 tablespoons buttermilk divided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Blossoms,Julie Clark,Updated: 9/9/2024,4.73,79,Cookies,American,"chocolate peanut butter cookies, christmas cookies, hershey kiss cookies",20 minutes,8 minutes,Chill Time 15 minutes minutes,28 minutes,60,8,"In the bowl of a stand mixer with the paddle attachment (or with an electric hand mixer), cream the butter, peanut butter and sugars for 2-3 minutes on medium speed. Add vanilla and mix again. 1 cup salted butter, 1 cup creamy peanut butter, 1 cup granulated sugar, 1 cup light brown sugar, 1 teaspoon vanilla extract
Then add the eggs, one at a time, beating well after each addition. Scrape the sides of the bowl as needed. 4 cups all-purpose flour
In a separate medium bowl, whisk the flour, baking soda and salt. 4 cups all-purpose flour, 2 teaspoons baking soda, ¼ teaspoon salt
Add the dry ingredients to the wet ingredients in stand mixer bowl and mix until well combined until a soft dough forms.
Shape dough into 1-inch balls and then roll the cookie dough balls in sugar. Place the balls of dough onto a parchment paper lined baking sheet. Leave about 2"" between each cookie dough ball. The dough will not spread that much, but will puff slightly. ½ cup granulated sugar for rolling
Refrigerate the cookie dough balls for 15 minutes. While dough is chilling, heat oven to 375ºF.
Bake for about 8 minutes. If you like cookies to be soft, be sure not to overbake them. As soon as the cookies come out of the oven, press the milk chocolate kisses into the center of the cookie. 60 Hershey Kiss candies
Allow the cookies to cool for about 3 minutes on the pan, then move to a wire rack to cool completely.",11,"1 cup salted butter room temperature, 8 ounces",1 cup creamy peanut butter 250 grams,1 cup granulated sugar 200 grams,1 cup light brown sugar 210 grams,1 teaspoon vanilla extract 5 grams,3 large eggs,4 cups all-purpose flour 520 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-blossoms/,2 teaspoons baking soda 12 grams,1/4 teaspoon salt,1/2 cup granulated sugar for rolling,60 Hershey Kiss candies (unwrapped),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Sandwich Cookies,Julie Clark,Updated: 9/4/2024,5,4,Cookies,American,"chocolate cookies, homemade oreos, sandwich cookies",30 minutes,11 minutes,NA,41 minutes,20,6,"Preheat oven to 350ºF. Line a cookie sheet with parchment paper.
Cream together the butter and sugars in the bowl of a stand mixer fitted with the paddle attachment. Scrape down the sides of the bowl. Add in the vanilla and eggs, one at a time, mixing well after each addition. Scrape down the sides of the bowl. 1 cup unsalted butter, 1 cup brown sugar, ½ cup plus 1 tablespoon white sugar, 2 large eggs, 1 teaspoon vanilla extract
In a small bowl whisk together the flour, cocoa powder, baking powder and salt. Add the dry ingredients to the mixer bowl, stirring on low just until combined. Gently fold in the chocolate chips. 2 ¼ cups all-purpose flour, ¾ cup cocoa powder, ¾ teaspoon salt, 2 teaspoons baking powder, 2 cups chocolate chips
Scoop out balls of dough of about 1 & ½ to 2 tablespoons. Place on the prepared pan, leaving space between. Cook for 10-11 minutes, the tops will look pale and no longer wet. Allow to cool on the pan for 5 minutes, as the cookies will be very soft. Transfer to a cooling rack to finish cooling.
While the cookies are cooling prepare the frosting. Beat the butter, sugar, vanilla and milk together in a large bowl until creamy. Spoon 1 tablespoon frosting in between two completely cooled cookies. 6 tablespoons unsalted butter, 3 cups powdered sugar, 2 tablespoons milk, ½ teaspoon vanilla extract
Store in an airtight container at room temperature until ready to serve.",14,1 cup unsalted butter room temperature,1 cup brown sugar,1/2 cup plus 1 tablespoon white sugar,2 large eggs,1 teaspoon vanilla extract,2 1/4 cups all-purpose flour,3/4 cup cocoa powder,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chocolate-sandwich-cookies-recipe/,3/4 teaspoon salt,2 teaspoons baking powder,2 cups chocolate chips,6 tablespoons unsalted butter room temperature,3 cups powdered sugar,2 tablespoons milk,1/2 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cut Out Cookies,Julie Clark,Updated: 2/4/2024,4.65,54,Cookies,American,"chocolate peanut butter cookies, christmas cookies, cut out cookies, rolled cookies",20 minutes,9 minutes,Chill Time 45 minutes minutes,14 minutes,27,13,"In the bowl of a stand mixer with the paddle attachment, beat the peanut butter and butter together until light and creamy, about 2-3 minutes. (You can also use a large bowl with an electric hand mixer. The dough is easy to work with!)
Add the brown sugar, corn syrup and egg and mix again until it is smooth. Scrape the sides and bottom of the bowl as needed.
Beat the dry ingredients into the wet ingredients: 1 cup of flour, baking powder and salt. Using a rubber spatula, stir in the last cup of flour and mix just until combined.
Divide the peanut butter cookie dough in half. Between two sheets of parchment paper, use a rolling pin to roll dough to 1/4″ thick. For the best results, do not roll to thin. Place the rolled dough sections (still in the parchment paper) on a baking sheet and refrigerate for 45 minutes, until the dough is firm and chilled.
Preheat the oven to 350ºF.
Remove the top piece of parchment paper from the first dough sheet. Dip your favorite cookie cutters in flour and cut out desired shapes. Carefully place the cookies on an ungreased cookie sheet. Reroll scraps and cut out more shapes, then repeat with the second dough sheet.
Bake 9 minutes. For a soft peanut butter cookie, do not over bake. If you’d like your cookies a little crispier, bake for an additional 1-2 minutes.
Let the cookies cool on the cookie sheet for 2 minutes, then remove them to a wire rack to cool completely.
While the cookies are cooling, prepare the chocolate ganache (or whatever frosting you choose to use).
In a microwave save bowl, heat the heavy cream for 45 seconds or until the cream is hot. Stir in the chocolate chips. Continue stirring until the chocolate is melted and the cream is completely mixed in with the chocolate. This will take 1-2 minutes of stirring. If the chocolate is not completely melted, microwave for an additional 10 seconds and stir. The ganache should be completely smooth and shiny.
Allow the ganache to sit for 5 minutes to thicken.
Spoon the ganache onto the cookies and sprinkle with sprinkles, if desired.
Allow the ganache to set completely and store the cookies in an airtight container at room temperature.",11,1/2 cup creamy peanut butter 125 grams,6 tablespoons salted butter room temperature,1/2 cup brown sugar 110 grams,1/3 cup light corn syrup 113 grams,1 large egg,"2 cups all-purpose flour divided, 260 grams",1 1/2 teaspoons baking powder 6 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-cut-out-cookies-recipe/,1/8 teaspoon salt,1/2 cup heavy whipping cream 4 ounces,1 1/4 cups semi-sweet chocolate chips,sprinkles if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cream Cheese Sugar Cookies,Julie Clark,Updated: 9/5/2024,4.64,531,Cookies,American,"best sugar cookies, cream cheese cookies, cut out cookies, easy sugar cookies, rolled cookies",25 minutes,8 minutes,Chill Time 1 hour hour,33 minutes,24,9,"In the bowl of a stand mixer, blend butter and cream cheese with the paddle attachment on low speed for 2-3 minutes until smooth and creamy. 1 cup salted butter, 8 ounces full fat cream cheese
Add sugar, egg and extracts. Mix again for 1-2 minutes. Scrape sides of the bowl as needed. 1 ½ cup granulated sugar, 1 large egg, 1 teaspoon vanilla extract, ½ teaspoon almond extract
Mix in remaining dry ingredients and blend into the creamed mixture, scraping the sides of the bowl as needed. 3 ½ cups all-purpose flour, 1 teaspoon baking powder
Remove the soft dough and flatten the dough into a disk. Wrap in plastic wrap and chill the dough in the fridge for one hour.
Preheat the oven to 375ºF.
Roll out sugar cookie dough on floured surface until ¼ inches thick (a must!) . Cut with desired cookie cutter shape, place on a parchment paper or silicone mat lined baking sheet and bake for 8-10 minutes.
Let cookies cool on the cookie sheets for 5 minutes, then move to a wire rack to cool completely.
Mix all the frosting ingredients in a small bowl and add some food coloring if desired. 2 cups powdered sugar, 2 tablespoons soft butter, ¼ teaspoon almond extract
Frost sugar cookies when they are fully cooled. Allow the frosting to set before storing in an airtight container.",12,"1 cup salted butter room temperature, 8 ounces",8 ounces full fat cream cheese room temperature,1 1/2 cup granulated sugar 300 grams,1 large egg,1 teaspoon vanilla extract 5 grams,1/2 teaspoon almond extract 2 grams,3 1/2 cups all-purpose flour 455 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cream-cheese-sugar-cookies/,1 teaspoon baking powder 4 grams,2 cups powdered sugar 260 grams,2 tablespoons soft butter 28 grams,1/4 teaspoon almond extract,Milk to desired consistency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
