title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,source,link,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34
Cornish Fairings (Ginger Biscuits),Kimberly Killebrew,5,18,Dessert,"British, Cornish",10 minutes,14 minutes,NA,24 minutes,NA,1,"Preheat the oven to 350 F/175 C.
Place all the dry ingredients in a large mixing bowl and stir to combine.
Place the golden syrup and butter in a small saucepan and heat over medium heat until the butter is melted.
Pour the golden syrup/butter mixture into the dry mixture. Add the candied ginger if using. Stir to combine and then knead with your hands to form a stiff dough.
Roll the dough into 1-inch balls, place each ball on the palm of your hand and press down to flatten them.
Place the flattened dough balls onto a lined baking sheet. Bake on the middle rack for 11-14 minutes or until they're a deep golden brown. Note, the longer they bake the crunchier they'll be, so base the length of baking time on your texture preference.
Let the ginger fairings sit on the baking sheet for about 5 minutes before transferring them to a wire rack to cool completely. Store the biscuits in an airtight container at room temperature where they will keep for a several days.
Makes about two dozen Cornish Fairings.",13,1 2/3 cups all-purpose flour,"1/2 cup caster sugar , or regular granulated sugar",1 1/2 teaspoons baking powder,1 1/2 teaspoons baking soda,"1 tablespoon ground ginger (yes, that's tablespoon, don't shy away!)",1 1/2 teaspoons cinnamon,1 teaspoon mixed spice,homemade mixed spice (recommended for the best flavor),1/4 teaspoon kosher salt,1 tablespoon finely chopped candied ginger (optional),homemade candied ginger,1/2 cup butter or combination butter and lard (dairy-free: use all lard),6 tablespoons golden syrup,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/cornish-fairings/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Pie Spice,Kimberly Killebrew,5,9,"condiment, Seasoning Blend",NA,5 minutes,NA,NA,5 minutes,NA,1,"Place all the spices in a jar and shake until combined. Store in an airtight jar, preferably in a dark, cool place. Will keep for several months.",6,2 tablespoons ground cinnamon,2 teaspoons ground ginger,3/4 teaspoon ground nutmeg,3/4 teaspoon ground mace,1/2 teaspoon ground allspice,1/2 teaspoon ground cloves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/pumpkin-pie-spice/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexican Wheat Berry Salad with Chipotles and Toasted Walnuts,Kimberly Killebrew,5,9,Salad,Mexican,20 minutes,NA,NA,20 minutes,NA,4,"To toast the walnuts, preheat oven to 350°F. Arrange walnuts on a cookie sheet in a single layer and bake 8 to 10 minutes, checking frequently to prevent burning. Let cool completely.
To cooke the wheat berries: Rinse the wheat berries. Bring the vegetable stock with salt to a boil and add the wheat berries. Reduce the heat to medium-low and simmer for 30-40 minutes until soft but still chewy. Drain and allow to cool.
To toast the walnuts, preheat oven to 350°F. Arrange walnuts on a cookie sheet in a single layer and bake 8 to 10 minutes, checking frequently to prevent burning. Let cool completely.
To make the vinaigrette: Combine all ingredients in a small bowl and whisk until emulsified.
All three of these steps preparations can be done well in advance.
Heat the olive oil in a small skillet over medium-high heat and saute the onions and until golden brown, 7-8 minutes. Add the cumin and cook for another minute. Add the carrots and salt and cook for 3-4 minutes until softened. Add the thyme, oregano, and chopped chipotles and cook for another 2 minutes. Let cool.
In a large mixing bowl, combine the onion/carrot mixture with the wheat berries and all remaining ingredients. Pour over the vinaigrette and stir to thoroughly combine. Let the salad sit for at least 30 minutes before serving. Best served at room temperature. Store leftovers in the refrigerator.",24,"2 cups soft wheat berries , do not use hard wheat berries (See NOTE) (can substitute grain of choice, e.g. quinoa, spelt, millet, sorghum, etc)",5 cups vegetable broth,1 teaspoon salt,2 tablespoons extra virgin olive oil,3/4 cup finely chopped yellow onion,1/2 teaspoon ground cumin,1 cup finely diced carrot,"2-3 chipotles en adobo , chopped (depending on desired heat level)","1 teaspoon fresh thyme , chopped","1 teaspoon fresh oregano , chopped","1 cup walnuts , coarsley chopped","3/4 cup cherry tomatoes , halved",3/4 cup corn,3/4 cup cubed queso para freir (can substitute Monterey jack cheese,1/2 cup raisins,"3 green onions , sliced",Daring Gourmet,https://www.daringgourmet.com/mexican-wheat-berry-salad-with-chipotles-toasted-walnuts/,"1/4 cup fresh cilantro or parsley , chopped",For the vinaigrette:,3 tablespoons extra virgin olive oil,1 tablespoon red wine vinegar,2 teaspoons honey,3 teaspoons adobo sauce from can,1 teaspoon salt,1/4 teaspoon freshly ground black pepper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Broccoli Pasta Salad with Toasted Walnuts and Olives,Kimberly Killebrew,5,10,NA,NA,10 minutes,10 minutes,NA,20 minutes,NA,3,"To toast the walnuts, preheat oven to 350°F. Arrange walnuts on a cookie sheet in a single layer and bake 8 to 10 minutes, checking frequently to prevent burning. Let cool completely.
Combine the vinaigrette ingredients in a small bowl, whisking until emulsified, and set aside until ready to use (can be made in advance and refrigerated).
Place the salad ingredients in a bowl, pour the vinaigrette over, and gently stir to combine. Refrigerate for at least an hour before serving.",16,3/4 cup coarsely chopped raw walnuts,3 cups uncooked broccoli florets,"3 cups cooked whole wheat penne pasta (or pasta of choice, including GF)",3/4 cup sliced black olives,1/2 cup shredded Parmesan cheese,For the Vinaigrette:,4 tablespoons extra virgin olive oil,2 tablespoons red wine vinegar,2 tablespoon balsamic vinegar,1 1/2 teaspoons Dijon mustard,2 teaspoons chopped fresh rosemary,1 teaspoon sugar,3/4 teaspoon salt (see note),¼ teaspoon freshly ground black pepper,1/4 teaspoon onion powder,1/4 teaspoon garlic powder,Daring Gourmet,https://www.daringgourmet.com/broccoli-pasta-salad-with-olives-parmesan-toasted-walnuts/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blueberry Jam Recipe,Kimberly Killebrew,5,3,condiment,NA,10 minutes,30 minutes,NA,40 minutes,NA,3,"Place the blueberries, sugar and lemon juice in a heavy-bottomed pan or Dutch oven. Heat over medium heat, stirring frequently, until the sugar is dissolved. Mash the berries with a potato masher until most are broken down, leaving some whole if desired (mashing is optional but will give the jam a smoother consistency). Bring the mixture to a boil, reduce the heat to medium-low and keep the jam at a low simmer without the lid on for 20-30 minutes (can take longer) or until a thermometer reads 220 F (alternatively use the wrinkle test, see notes below). Skim off and discard the foam that has collected on the surface.
Place the blueberries, sugar and lemon juice in a heavy-bottomed pan or Dutch oven. Heat over medium heat, stirring frequently, until the sugar is dissolved. Mash the berries with a potato masher until most are broken down, leaving some whole if desired (mashing is optional but will give the jam a smoother consistency). Bring the mixture to a boil, reduce the heat to medium-low and keep the jam at a low simmer without the lid on for 20-30 minutes (can take longer) or until a thermometer reads 220 F (alternatively use the wrinkle test, see notes below). Skim off and discard the foam that has collected on the surface.
Ladle the hot jam into sterilized jars leaving 1/4 inch headspace from the top. You can either let the jam fully cool and store it in the fridge (it will keep for at least a couple of months), freeze it (will keep for up to a year) or can it in a water bath canner (will keep for at least a year).
For canning the jam: Wipe the rims of the jars to remove any traces of jam, place the canning lids on top and screw on the rings. Process the jars in a boiling water bath for 10 minutes. Carefully remove and let sit for at least 24 hours undisturbed. 
Note: It can take 24-48 hours for the blueberry jam to fully set so don't be concerned if it's still on the watery side at first. It will also continue to firm up as it chills in the fridge.
This makes roughly 4 half pint (8 oz) jars.",3,"6 cups (about 2 pounds) fresh or frozen blueberries , discard any bad ones (bruised or discolored)",2 1/2 cups sugar,2 tablespoons lemon juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/blueberry-jam/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Lime Marmalade,Kimberly Killebrew,4.93,39,condiment,NA,15 minutes,20 minutes,NA,35 minutes,NA,3,"Cut off the very ends of the lemons and limes. Very thinly slice the lemons and limes. The easiest way to do this – and to do it quickly – is to use a mandoline slicer. Quarter the slices. Remove any seeds.
Add the citrus to a medium-sized pot with the water and bring to a boil. Reduce the heat to a steady simmer and simmer for one our until the citrus is very soft. Give it an occasional stir.
Add the sugar and return to a full boil. Reduce to a steady simmer and simmer for another 20-30 minutes or until a candy thermometer reaches 220-225 degrees F.
If you'd rather not get a candy thermometer you can use the ""plate test."" Simply place a plate in the freezer for a few minutes and then place a dab of marmalade on the cold plate. Tilt the plate to see if the marmalade is set. If it's too runny, it's not ready – continue simmering. If it congeals into a soft gel and only moves just a little, it's ready.
Let the marmalade sit for 2-3 minutes, then skim the foam off the top of the marmalade and discard. Letting it sit will evenly distribute the citrus pieces so they don't float to the top when you place the mixture in your jars.
Pour the marmalade into hot, sterilized jars leaving 1/4 inch headspace from the top. You can either store your jars in the fridge for up to a few months or you can store them even longer by canning them. To can them, process them for 5 minutes in a water bath canner. Carefully remove and let sit undisturbed until fully cooled. Keep the marmalade stored in a cool, dark place. It will keep for at least one year.
This makes 4-5 half pints.",4,"1 pound lemons , thoroughly washed","1 pound limes , thoroughly washed",6 cups water,7 cups white granulated sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/homemade-lemon-lime-marmalade/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackberry Jam,Kimberly Killebrew,4.95,18,condiment,NA,25 minutes,NA,NA,25 minutes,96 servings,1,"Wash and drain the blackberries. Run them through a food mill to remove the seeds. Reserve the blackberry puree (you should have about 5 cups) and discard the seeds.
Place the blackberry puree in a large pot and add the sugar and lemon juice.
Bring the mixture to a boil, stirring regularly, until the jam reaches 220 degrees F. I use an instant read thermometer.
Ladle the jam into sterilized jars leaving 1/4 inch headspace and wipe the rims clean before sealing.
If you're not sealing the jars the jam will keep in the fridge for several months.
If you're using the water bath canning method process the jars for 5 minutes. Carefully remove the jars, let them sit undisturbed for 24 hours, then store in a dark cool place. Jam will keep for up to a year. 
Makes about 6 half pint jars.",3,9 cups blackberries (fresh or frozen),5 cups granulated sugar,3 tablespoons lemon juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/blackberry-jam/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten Free Aebleskiver,Kimberly Killebrew,5,14,"Breakfast, Dessert",danish,15 minutes,15 minutes,NA,30 minutes,NA,2,"Start heating your aebleskiver pan over medium-low to medium heat.
In a large mixing bowl, combine the flour, sugar, baking soda, baking powder, xanthan gum, ground cardamom and salt. Add the egg yolks, lemon zest, vanilla, and buttermilk and mix until smooth. Add the melted butter and mix until combined.
In a separate bowl, beat the egg whites until stiff. Gently fold the egg whites into the batter. It's fine if a few small lumps remain.
Place a little butter or oil into each of the wells of the pan. (For the best flavor use butter.) Once hot (medium-low to medium heat) pour the batter into each well, filling them nearly full. I always recommend doing a test run with one aebleskiver first to ensure the correct temperature of the pan. 
Let the batter cook until it begins to bubble around the edges, then use a skewer to push against the side of each well and gently turn the aebleskiver 90degrees. As you do this the batter will spill into the bottom of the well. Wait for the batter to start bubbling around the edges again and then give them another 90 degree turn. Repeat this process, giving the aebleskiver a third turn. Now give the aebleskiver the fourth and final turn to complete the full sphere. You can continue to rotate the aebleskiver until they are browned to your liking.
Serve immediately while hot with jam and powdered sugar for dipping.",12,2 cups gluten free all-purpose flour,1 tablespoon granulated sugar,1 teaspoon baking soda,1/2 teaspoon baking powder,1/2 teaspoon xanthan gum,1 teaspoon ground cardamom,zest of one lemon,"1 teaspoon pure vanilla extract or vanilla bean paste , or one vanilla pod scraped",1 3/4 cups buttermilk (recommended for the best flavor; alternatively use milk with 1 1/2 tablespoons white vinegar stirred in and left to sit for 5-10 minutes),"4 tablespoons butter , melted and let cool a few minutes","3 large eggs , yolks and whites separated",butter or oil for frying,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/gluten-free-aebleskiver/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Currant Jelly,Kimberly Killebrew,5,26,condiment,All,10 minutes,15 minutes,NA,25 minutes,NA,3,"Place the red currants in a heavy stock pot. Add just a little bit of water to the bottom of the pot - just enough to cover the bottom to prevent scorching. Cook the currants, stirring frequently, until they are soft and wilted.
Run the berries and liquid through a food mill (this is optional if you wish to remove the seeds).
Weigh how much of berry pulp you have and then weigh an equal amount of sugar. Place the berry pulp and the sugar back in the pot. Bring it to boil, stirring constantly to prevent scorching, until the sugar is dissolved. Continue to boil for another 5-10 minutes and then do a wrinkle test to check if the jelly has set. You do this by placing a plate in the freezer for several minutes, then spoon a tiny bit of jelly onto the chilled plate and wait a couple of minutes. Push against the jelly mixture with your finger. If it wrinkles when you push it the jelly is set and ready. If it doesn't let the jelly mixture boil for a few more minutes before testing it again.
Ladle the hot jam into sterilized jars and wipe the rims clean before screwing on the lids. For long-term storage process in a water bath canner for 5 minutes. Carefully remove the jars and let them sit undisturbed for 24 hours before removing the lid rings. Store in a dark, cool place where they will keep for at least 12 months.
Alternatively you can skip the water bath process and let the jars cool completely after filling them and then store them in the fridge for up to several months. ",2,"fresh or frozen red currants , rinsed and drained (leaves removed; if you're using a food mill to remove the seeds you do not need to remove the stems)",sugar (an equal amount in weight to the weighed berry pulp; see directions below),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/red-currant-jelly/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matzo Ball Soup,Kimberly Killebrew,5,28,Soup,Jewish,20 minutes,40 minutes,NA,30 minutes,NA,2,"To Make the Matzo Balls:
In a small bowl, combine the matzo meal, salt and pepper.
In a separate mixing bowl, add the whisked eggs, seltzer, and schmaltz or olive oil and whisk together. Add the dry mixture to the wet mixture and stir to form a thick, sticky paste. Chill, uncovered, for at least 30 minutes.
Lightly oil the palms of your hands and gently roll the mixture into balls avoiding compressing them too much. They can be anywhere from 1 to 2 inches in diameter depending on your preference. Keep in mind they will expand as they cook.
To Make the Soup:
Pour the chicken broth into a large pot. Add the carrots, celery, salt and pepper. Bring to a boil. Reduce it to a simmer and carefully lower the matzo balls into the broth. Adjust the heat to keep the broth going at a steady simmer but do not let it boil. After the matzo balls are all in the broth, gently move them around a bit to prevent them from sticking to each other. Then cover the pot with the lid and simmer gently for 30-40 minutes. Periodically turn the balls over to ensure they're cooking evenly. Add salt and pepper to taste.
Divide the matzo balls between soup bowls and ladle the broth over them.
Sprinkle with chopped fresh dill (my favorite) or parsley. Serve immediately.",14,For the Matzo Balls:,"4 large eggs , lightly beaten with a fork","1/2 cup seltzer (carbonated) water , highly recommended for matzo balls that are fluffier and lighter but still substantive",1/4 cup schmaltz (for best flavor) or olive oil (if making homemade chicken broth you can chill and scrape off the chicken fat layer/schmaltz on top to use),1 cup matzo meal,1/2 teaspoon salt,1/4 teaspoon freshly ground black pepper,For the Soup:,"6 cups Homemade Chicken Broth (click link for recipe), or quality store-bought","1 large carrot , diced","1 large rib celery , diced",1/2 teaspoon salt,1/4 teaspoon freshly ground black pepper,chopped fresh dill or parsley for serving,NA,NA,Daring Gourmet,https://www.daringgourmet.com/matzo-ball-soup/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
