title,author,rating,ratingnum,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,category,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30
Chocolate Peanut Butter Cookies,Jamie,5,1,20 minutes,10 minutes,NA,30 minutes,56 cookies,5,"Preheat oven to 350°F. Line two cookie sheets with parchment paper.
In a large mixing bowl, cream together the butter, peanut butter and sugar until light and fluffy. Beat in the eggs and vanilla.
In a medium bowl, whisk together flour, cocoa, baking soda and salt. Mix dry ingredients into the creamed mixture. Fold in the peanut butter chips.
Use a medium cookie scoop (about 1.5 tablespoons) to drop cookie dough onto the prepared cookie sheets.
Bake for 8 to 10 minutes in the preheated oven, until set. Let cool 1-2 minutes on the cookie sheets, then transfer to wire racks.",10,▢ 1 cup unsalted butter softened to room temperature,▢ ½ cup peanut butter creamy or crunchy will work just fine,▢ 1 ½ cups granulated sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,▢ 2 cups all-purpose flour,▢ ⅔ cup unsweetened cocoa powder,▢ ¾ teaspoon baking soda,▢ ½ teaspoon fine sea salt,▢ 1 ¾ cups peanut butter chips 10 ounces/1 bag,My Baking Addiction,https://www.mybakingaddiction.com/chocolate-cookies-with-peanut-butter/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Raspberry Cookies,Jamie,NA,NA,25 minutes,16 minutes,NA,41 minutes,18 large cookies,8,"Preheat oven to 325°F. Line baking sheets with parchment paper. Set aside.
In a medium bowl, whisk together the flour, baking soda, and salt. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric hand mixer, beat the butter and both sugars on medium-high speed until light and fluffy, 3-5 minutes. Scrape down the sides and bottom of the bowl with a spatula as needed.
Add the eggs one at a time, beating well and scraping the sides of the bowl after each addition. Mix in the vanilla.
With the mixer on low, slowly add the dry ingredients until just combined.
Stir in the white chocolate and the raspberries until just combined.
Using a large (3 tablespoon) cookie scoop, scoop the dough onto the lined baking sheets, leaving at least 3 inches of space between each cookie. Bake for 15-17 minutes or until the edges are golden.
Let the cookies cool on the baking sheet for 5 minutes before moving to a cooling rack to finish cooling.",10,▢ 2 ½ cups all purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon fine sea salt,▢ 10 tablespoons unsalted butter softened,▢ 1 cup lightly packed light brown sugar,▢ ¾ cup powdered sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons pure vanilla extract,▢ 1 cup white chocolate chips,▢ ¾ cup roughly chopped frozen raspberries see notes,My Baking Addiction,https://www.mybakingaddiction.com/white-chocolate-raspberry-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie Dough Cheesecake Bars,Jamie,4.46,61,20 minutes,30 minutes,Cooling Time: 1 hour hr 30 minutes mins,20 minutes,12 bars,7,"Preheat the oven to 325 F. Line (1) 9-inch square baking pan with parchment paper or foil, allowing a little overhang, and spray with nonstick cooking spray. Set aside.
Mix the melted butter and graham cracker crumbs until thoroughly combined. Press the mixture into the bottom of the prepared pan. Bake in preheated oven for 6 minutes. Remove pan to a cooling rack. Do not turn your oven off.
While the crust is cooling, prepare the chocolate chip cookie dough. In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer, beat butter, brown sugar, granulated sugar, salt and vanilla until smooth and thoroughly combined, about 1 minute. Mix in the flour on low speed, and mix until just incorporated. Mix in the chocolate chips. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer cream together the cream cheese and sugar until smooth. Mix in the egg and vanilla on low speed just until incorporated. Pour the cheesecake batter into the prepared crust.
Use your hand to form the cookie dough into clumps, then flatten slightly with your palms. Distribute the cookie dough onto the top of the cheesecake batter. Be sure to use all of the dough. You will cover most of the cheesecake batter.
Bake for about 30 minutes, until the top feels dry and the cookie dough feels firm and the entire pan looks set if given a gentle shake. Move bars to a cooling rack and allow to cool completely.
Lift the bars out by the overhang; slice into desired size serve cold or at room temperature.",13,▢ 1 ¼ cups graham cracker crumbs,▢ 5 tablespoons unsalted butter melted,▢ 8 tablespoons unsalted butter softened,▢ ⅓ cup packed light brown sugar,▢ 3 tablespoons granulated sugar,▢ ¼ teaspoon salt,▢ 1 teaspoon pure vanilla extract,▢ ¾ cup all-purpose flour,▢ 1 cup chocolate chips,▢ 8 ounces cream cheese room temperature,My Baking Addiction,https://www.mybakingaddiction.com/cookie-dough-cheesecake-bars-recipe/,Cheesecake,▢ ¼ cup granulated sugar,▢ 1 large egg room temperature,▢ 1 teaspoon pure vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cherry Cheesecake Cookies,Jamie,4.42,247,20 minutes,12 minutes,NA,32 minutes,16 cookies,10,"Preheat the oven to 350°F. Line baking sheets with parchment paper or silicone baking mats.
In a large bowl, whisk together the graham cracker crumbs, flour and baking powder.
In a medium bowl, with an electric mixer, beat together the butter and brown sugar until light and fluffy; about 2 minutes. Add the egg white and beat until well combined.
Stir graham cracker mixture into butter mixture until just combined.
In another medium bowl, beat together the cream cheese and granulated sugar until combined. Add in egg yolk and vanilla and mix until smooth.
Using a medium cookie scoop (about 1.5 to 2 tablespoons), scoop out the cookie dough and place on prepared baking sheets. Press your thumb or a round measuring teaspoon into the center of the ball to flatten slightly and create a small bowl shape. Repeat with the remaining dough.
Spoon or pipe the cream cheese mixture into the indents of the cookies.
Bake in preheated oven for 12 minutes or until the filling is barely set and the cookies are lightly golden.
Allow to cool 5 minutes on the baking sheets before removing them and cooling completely on a wire rack.
Spoon cherry pie filling onto cooled cookies just before serving.",10,▢ 1 ¼ cups finely crushed graham crackers about 1 sleeve,▢ 1 cup all-purpose flour,▢ 1 ½ teaspoons baking powder,▢ 12 tablespoons unsalted butter softened,▢ ½ cup packed light brown sugar,▢ 1 egg separated,▢ 4 ounces cream cheese softened,▢ ¼ cup granulated sugar,▢ ½ teaspoon pure vanilla extract,▢ homemade cherry pie filling,My Baking Addiction,https://www.mybakingaddiction.com/cherry-cheesecake-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Poppy Seed Cookies,Jamie,NA,NA,20 minutes,10 minutes,Cooling Time: 30 minutes mins,NA,45 cookies,8,"Preheat the oven to 350°F. Line baking sheets with parchment paper or silicone baking mats. Set aside.
In a medium bowl, whisk together the flour, baking soda, baking powder, and salt. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric hand mixer, cream the butter and sugar together on medium speed until light and fluffy, about 3-5 minutes, scraping down the sides of the bowl as needed.
Add the egg and mix until well combined. Scrape down the sides of the bowl. Add the lemon zest and lemon juice and mix until combined, again scraping the sides of the bowl.
Slowly add the dry ingredients until just combined. Add the poppy seeds and mix on low speed until distributed through the dough.
Using a small (1 tablespoon) cookie scoop, scoop the dough onto the prepared baking sheets, leaving 2 inches between the cookies. Bake for 9-11 minutes, or until the bottom edges of the cookies just barely start to turn golden.
Allow the cookies to cool on the baking sheets for 5 minutes before transferring them to a wire rack to finish cooling.
Once cooled, whisk the glaze ingredients together until smooth. Dip the tops of the cookies in the glaze, allowing the excess to drip off or using the side of the bowl to remove excess glaze. Allow the glaze to set before serving.",13,▢ 2 ¾ cups all purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ½ teaspoon fine sea salt,▢ 1 cup unsalted butter softened,▢ 1 ½ cups granulated sugar,▢ 1 large egg,▢ 2 teaspoons lemon zest,▢ 4 tablespoons fresh lemon juice,▢ 1 tablespoon poppy seeds,My Baking Addiction,https://www.mybakingaddiction.com/lemon-poppy-seed-cookies/,Cookies,▢ 2 tablespoons unsalted butter melted,▢ 2 cups powdered sugar,▢ 4 tablespoons fresh lemon juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Lemon Crinkle Cookies,Jamie,5,1,10 minutes,9 minutes,NA,19 minutes,18 cookies,5,"Preheat oven to 375°F. Line a baking sheet with parchment paper, set aside.
In the bowl of your stand mixer fitted with the paddle attachment, or in a large bowl with a hand mixer, combine cake mix, pudding mix, eggs, oil, lemon juice, lemon zest, and vanilla extract until well blended. Place confectioners’ sugar into a medium bowl.
Using a medium cookie scoop (1 ½ tablespoons), drop balls of dough (dough will be sticky) into the confectioners’ sugar, roll to coat. Gently form dough into a ball by lightly rolling between your palms.
Place dough balls on prepared baking pan about two inches apart.
Bake in preheated oven for 8 to 10 minutes. The bottoms will be set but middles will look slightly undercooked. Allow cookies to cool for 5 minutes on pan before removing to a wire rack.",8,▢ 1 box lemon cake mix 15.25 ounces,▢ 1 box instant lemon pudding mix 3.4 ounces,▢ 2 large eggs,▢ ¼ cup vegetable oil,▢ ¼ cup lemon juice,▢ 2 teaspoons lemon zest,▢ 1 teaspoon pure vanilla extract,▢ ⅓ cup confectioners’ sugar,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/easy-lemon-crinkle-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Snickerdoodles,Jamie,5,2,30 minutes,13 minutes,Resting time: 45 minutes mins,28 minutes,36 cookies,10,"Brown the butter: Melt the butter in a heavy-bottomed saucepan or skillet over medium heat, stirring frequently. Once melted, allow the butter to continue cooking over medium heat, stirring frequently. As it cooks, the butter will begin to foam and then subside. Brown specks will begin to form at the bottom of the pan and the butter will take on a nutty aroma. As soon as the butter reaches your desired color, immediately remove it from the heat and pour it into a bowl.
Place the bowl in the refrigerator for 30-45 minutes until solid but still soft enough to cream with the sugar.
Preheat the oven to 350°F. Line baking sheets with parchment paper. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, cream together the browned butter and sugar until well blended and mix in the eggs.
Whisk together the flour, baking soda, cream of tartar and salt.
Gradually add dry mixture to the creamed mixture and mix until thoroughly combined.
In a separate bowl, mix together the 1/2 cup of sugar and 2 teaspoons of cinnamon.
Form into 1.5-tablespoon balls (I used my medium cookie scoop) and roll in the cinnamon-sugar mixture.
Place the dough balls on the prepared baking sheets about 2 inches apart.
Bake for 12-14 minutes, or until lightly golden but still soft.",9,▢ 1 cup unsalted butter,▢ 1 ½ cups granulated sugar,▢ 2 large eggs,▢ 2 ¾ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 2 teaspoons cream of tartar,▢ ½ teaspoon fine sea salt,▢ ½ cup granulated sugar,▢ 2 teaspoons ground cinnamon,NA,My Baking Addiction,https://www.mybakingaddiction.com/brown-butter-snickerdoodles/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snowball Cookies,Jamie,4.39,13,20 minutes,15 minutes,NA,35 minutes,30 cookies,6,"Preheat oven to 350°F. Line a baking sheet with parchment paper.
In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer, beat the butter and 1/2 cup of the powdered sugar until smooth and creamy. Add in vanilla extract and mix until combined.
Mix in the flour, pecans and salt. Mixing until just combined.
Roll about 1 to 1 1/2 tablespoons of the dough into balls and place on prepared baking sheet. I like to use my medium (1.5-tablespoon) cookie scoop to portion the dough, but you will get more cookies if you make them smaller. The cookies can be placed quite close together on the baking sheet since they do not spread during the baking process.
Bake in preheated oven for about 15 minutes, taking care not to over bake – the color of the cookies should barely have changed. Allow cookies to cool on baking pan until you are able to comfortably hold them in your hands.
Sift 1/3 cup powdered sugar into a medium bowl. While cookies are still warm, roll them in powdered sugar. Place cookies on cooling rack; once they have cooled completely, roll them in powdered sugar again.",7,▢ 1 cup unsalted butter softened,▢ ½ cup powdered sugar,▢ 1 teaspoon pure vanilla extract,▢ 2 ¼ cups all-purpose flour,▢ 1 cup chopped pecans,▢ ¼ teaspoon kosher salt,▢ ⅓ cup powdered sugar sifted – for rolling cookies,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/snowball-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Peppermint Cookies,Jamie,NA,NA,20 minutes,15 minutes,NA,35 minutes,24 cookies,11,"Sift flours, baking soda, baking powder and salt into a bowl. Set aside.
Using a mixer fitted with paddle attachment, cream butter and sugars together until very light and fluffy, about 5 minutes. Scrape down the sides of the bowl.
Add eggs, one at a time, mixing well after each addition. Stir in the vanilla.
Reduce speed to low, add dry ingredients and mix until just combined, 5 to 10 seconds.
Add in white chocolate chips, Andes Peppermint Crunch baking chips and crushed candy canes and mix on low speed until just combined.
Press plastic wrap against dough and refrigerate for 24 to 36 hours. Dough may be used in batches, and can be refrigerated for up to 72 hours.
When ready to bake, remove the dough from the refrigerator and allow it to sit at room temperature for about 30 minutes.
Preheat the oven to 350°F. Line a baking sheet with parchment paper or a nonstick baking mat. Set aside.
Scoop (6) 2-ounce mounds of dough (about the size of golf balls) onto a baking sheet. Bake until golden brown but still soft, 14-16 minutes. The cookies will spread a bit, but you can allow them to cool for a minute or two and then use this trick to make perfectly round cookies. It works like a charm!
Transfer sheet to a wire rack for 10 minutes, then slip cookies onto another rack to cool a bit more.
Repeat with remaining dough, or reserve dough, refrigerated, for baking remaining batches the next day.",14,▢ 2 cups minus 2 tablespoons cake flour,▢ 1 ⅔ cups bread flour,▢ 1 ¼ teaspoons baking soda,▢ 1 ½ teaspoons baking powder,▢ 1 ½ teaspoons kosher salt,▢ 1 ¼ cups unsalted butter softened,▢ 1 ¼ cups light brown sugar,▢ 1 cup plus 2 tablespoons granulated sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,My Baking Addiction,https://www.mybakingaddiction.com/white-chocolate-peppermint-cookies/,Cookies,▢ ½ teaspoon peppermint extract optional,▢ 11 ounces white chocolate chips 1 bag,▢ ¾ cup Andes Peppermint Crunch Baking Chips see notes,▢ ½ cup crushed candy canes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingersnap Cookies,Jamie,4.46,68,20 minutes,13 minutes,NA,33 minutes,24 cookies,7,"Preheat oven to 350°F. Line baking sheets with parchment paper; set aside.
In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric hand mixer, cream the butter and sugar together on medium speed until light and fluffy, 3-5 minutes, scraping down the sides of the bowl as needed. Add in the egg, molasses and vanilla, and mix on medium speed until smooth and well combined. Scrape down the sides and bottom of the bowl.
In a separate bowl, whisk together the flour, baking soda, salt, cinnamon, and ginger. With the mixer on low, slowly add the dry ingredients to the butter mixture until just combined.
Using a medium (1.5 tablespoon) cookie scoop, scoop out the dough and roll into balls. Roll the dough balls in granulated sugar before placing on the prepared baking sheets at least 2 inches apart.
For cookies with crisp edges and chewier centers, bake for 11-13 minutes, until the edges are browned and the tops are crackly.
For crispier cookies, bake for 12-14 minutes, until the tops of the cookies are also browned.
Let the cookies cool on the baking sheet for 5 minutes before transferring to a wire rack to finish cooling.",10,▢ ¾ cup unsalted butter softened,▢ 1 cup granulated sugar plus more for rolling,▢ 1 large egg,▢ ¼ cup molasses,▢ 1 ½ teaspoons pure vanilla extract,▢ 2 cups all purpose flour,▢ 2 teaspoons baking soda,▢ ½ teaspoon fine sea salt,▢ 1 tablespoon ground ginger,▢ 2 teaspoons cinnamon,My Baking Addiction,https://www.mybakingaddiction.com/crispy-ginger-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Truffles,Jamie,NA,NA,30 minutes,0 minutes,Chilling Time: 1 hour hr,30 minutes,20 truffles,7,"Line a baking sheet with parchment paper.
Use a food processor or blender to crush the Oreos into fine crumbs.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, beat the cream cheese on medium speed for 1-2 minutes. Add in the Oreo crumbs and mix on low speed to fully incorporate the crumbs into the cream cheese.
Use a medium cookie scoop (1.5 tablespoons) to portion about 20–22 Oreo balls. Use your hands to roll each scooped portion into a ball. Place each Oreo ball onto the prepared baking sheet. Freeze the Oreo balls for 1 hour.
Melt the Ghirardelli wafers according to package directions. Use a toothpick to pick up each ball and dip it into the melted wafers. Gently shake each ball over the bowl of melted wafers to remove any extra chocolate. Place each ball back onto the parchment lined baking sheet to set up.
If desired, drizzle melted white chocolate wafers on top of each Oreo ball and immediately top with sprinkles or Oreo crumbs if desired.
Refrigerate until ready to serve.",6,▢ 40 original Oreos,▢ 8 ounces cream cheese room temperature,▢ 1 package Ghirardelli dark chocolate flavored melting wafers 10 ounces,▢ white chocolate/vanilla wafers for drizzling,▢ Oreo cookie crumbs,▢ sprinkles,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/oreo-truffles/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molasses Cookies,Jamie,5,2,20 minutes,12 minutes,Chilling Time: 2 hours hrs,32 minutes,24 cookies,6,"In a large bowl, whisk together the melted butter, brown sugar, and egg until smooth and well combined. Whisk in the molasses and vanilla until combined.
In a separate bowl, whisk together the flour, baking soda, salt, and pumpkin pie spice. Add the dry ingredients to the wet ingredients, stirring with a rubber spatula until just combined.
Cover the dough and chill for at least 2 hours.
Preheat the oven to 375°F. Line baking sheets with parchment paper or silicone baking mats.
Use a medium cookie scoop (1.5 tablespoons) to scoop the cookies. Roll the dough into balls, then roll in the granulated sugar. Place on the prepared baking sheets at least 2 inches apart.
Bake for 10-12 minutes. Let the cookies cool on the baking sheet for 5 minutes before moving the cookies to a wire rack to finish cooling.",10,▢ ¾ cup unsalted butter melted and cooled,▢ 1 cup lightly packed light brown sugar,▢ 1 large egg,▢ ¼ cup unsulfured molasses,▢ 1 teaspoon pure vanilla extract,▢ 2 cups all-purpose flour,▢ 2 teaspoons baking soda,▢ ½ teaspoon fine sea salt,▢ 1 tablespoon pumpkin pie spice,▢ ⅓ cup granulated sugar for rolling,My Baking Addiction,https://www.mybakingaddiction.com/molasses-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Pecan Bars,Jamie,5,4,25 minutes,22 minutes,NA,47 minutes,24 bars,5,"Preheat oven to 350°F. Line (1) 9×13 inch baking pan with foil, leaving about 1 inch of the foil extending over the edges of the pan. The extra foil will create handles that you can use to lift the caramel bars from the pan. Spray foil with nonstick cooking spray. Set pan aside.
In a medium saucepan over low heat, melt together the caramels and heavy cream, stirring occasionally until smooth.
In a large bowl, whisk together the flour, oats, brown sugar, baking soda and salt. Stir together the melted butter and vanilla extract. Add butter and vanilla mixture to the dry ingredients and stir until combined. Press half the mixture into the bottom of the prepared pan to form a crust layer.
Bake crust in preheated oven for 8 minutes. Remove and sprinkle crust with with chocolate chips and pecans. Pour the caramel mixture over the top and then crumble the remaining crust mixture on top of the caramel.
Place caramel bars back into preheated oven and bake for an additional 13-15 minutes. Place pan on cooling rack and cool completely. Once bars are cooled to room temperature, I recommend placing the pan into the refrigerator for a couple of hours. This will enable you to cut the bars with ease. Allow bars to come to room temperature before serving.",11,"▢ 1 bag individually wrapped caramels 11 ounces (about 35 caramels), unwrapped",▢ 5 tablespoons heavy cream,▢ 2 cups all-purpose flour,▢ 2 cups rolled oats,▢ 1 ½ cups packed light brown sugar,▢ 1 teaspoon baking soda,▢ ½ teaspoon kosher salt,▢ 1 ¼ cups unsalted butter melted,▢ 1 teaspoon pure vanilla extract,▢ ½ cup semisweet chocolate chips,My Baking Addiction,https://www.mybakingaddiction.com/caramel-pecan-bars/,Bar Desserts,▢ ¾ cup chopped pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Sugar Cinnamon Cookies,Jamie,NA,NA,30 minutes,17 minutes,Chilling Time: 1 day d,47 minutes,24 cookies,7,"Sift flours, baking soda, baking powder, cinnamon and salt into a bowl. Set aside.
In the bowl of a stand mixer fitted with paddle attachment, cream butter and brown sugar together until very light, about 5 minutes. Add eggs, one at a time, mixing well after each addition. Stir in the vanilla. Reduce speed to low, add dry ingredients and mix until just combined, 5 to 10 seconds.
Press plastic wrap against dough and refrigerate for 24 to 36 hours. Dough may be used in batches, and can be refrigerated for up to 72 hours.
When ready to bake, preheat oven to 350°F . Line a baking sheet with parchment paper or a nonstick baking mat. Set aside.
Scoop 5 2-ounce balls of dough (the size of generous golf balls, about 2.5 tablespoons). Roll each dough ball into the turbinado sugar and place on prepared baking sheet.
Bake until golden brown on the edges but still soft, 15-18 minutes. Transfer baking sheet to a wire rack for 10 minutes, then slip cookies onto another rack to cool completely.
Repeat with remaining dough, or reserve dough, refrigerated, for baking remaining batches the next day.",11,▢ 2 cups minus 2 tablespoons cake flour,▢ 1 ⅔ cups bread flour,▢ 1 ¼ teaspoons baking soda,▢ 1 ½ teaspoons baking powder,▢ 1 ½ tablespoons ground cinnamon,▢ 1 ½ teaspoons coarse salt,▢ 1 ¼ cups unsalted butter softened,▢ 2 ¼ cups packed light brown sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,My Baking Addiction,https://www.mybakingaddiction.com/brown-sugar-cinnamon-cookies/,Cookies,▢ heaping 1/3 cup turbinado sugar plus 3/4 teaspoon ground cinnamon for rolling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese’s Pieces Cookies,Jamie,5,3,15 minutes,17 minutes,Chilling Time: 3 hours hrs,32 minutes,30 cookies,3,"In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer, cream butter, sugar, brown sugar and peanut butter until light and fluffy – about 3 minutes. Beat in eggs one at a time and add vanilla extract, mixing until incorporated.
In a large bowl, sift together flour, baking soda and salt. Gradually add the dry ingredients to the butter and sugar mixture and mix until thoroughly combined. Mix in oats and fold in the Reese’s Pieces. Cover and chill dough for at least 3 hours or up to 2 days.
When ready to bake, preheat the oven to 350°F and line baking sheets with parchment paper. Using a large cookie scoop (3 tablespoons), scoop cookie dough onto prepared baking sheets, leaving a few inches between each cookie. Bake in preheated oven for 16-18 minutes, or until edges are golden brown. If desired, immediately sprinkle each cookie with a little flaky sea salt. Allow cookies to cool on cookie sheets for 5 minutes before transferring to wire racks to cool completely.",12,▢ 1 cup unsalted butter room temperature,▢ 1 cup granulated sugar,▢ 1 cup lightly packed light brown sugar,▢ 1 ½ cups creamy peanut butter we used JIF,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,▢ 1 ¾ cups all-purpose flour,▢ 2 teaspoons baking soda,▢ 1 teaspoon fine sea salt,▢ 1 ½ cups quick-cooking oats,My Baking Addiction,https://www.mybakingaddiction.com/reeses-pieces-peanut-butter-cookies/,Cookies,▢ 1 bag Reese’s Pieces 9.9 ounces,▢ flaky sea salt optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heath Bar Cookies,Jamie,5,2,30 minutes,18 minutes,Chilling Time: 1 day d,48 minutes,18 cookies,6,"Whisk flours, baking soda, baking powder and salt into a bowl. Set aside.
Using a mixer fitted with paddle attachment, cream butter and sugars together until very light, about 5 minutes.
Add eggs, one at a time, mixing well after each addition. Stir in the vanilla. Reduce speed to low, add dry ingredients and mix until just combined. Add in Heath Toffee Bits and chocolate chips and mix until thoroughly dispersed into the dough.
Press plastic wrap against dough and refrigerate for 24 to 36 hours. Dough may be used in batches, and can be refrigerated for up to 72 hours.
When ready to bake, preheat oven to 350°F. Line a baking sheet with parchment paper or a nonstick baking mat. Set aside.
Scoop 6 3.5-ounce mounds of dough (the size of generous golf balls) onto prepared baking sheet. If desired, sprinkle lightly with sea salt and bake until golden brown but still soft, 18 to 20 minutes. Transfer baking sheet to a wire rack for 10 minutes, then place cookies directly onto another wire rack to cool completely. Repeat with remaining dough, or reserve dough, refrigerated, for baking remaining batches the next day.",13,▢ 2 cups minus 2 tablespoons cake flour 8.5 ounces,▢ 1 ⅔ cups bread flour 8.5 ounces,▢ 1 ¼ teaspoons baking soda,▢ 1 ½ teaspoons baking powder,▢ 1 ½ teaspoons coarse salt,▢ 1 ¼ cups unsalted butter softened to room temperature,▢ 1 ¼ cups light brown sugar 10 ounces,▢ 1 cup plus 2 tablespoons granulated sugar 8 ounces,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,My Baking Addiction,https://www.mybakingaddiction.com/heath-bar-cookies/,Cookies,▢ 1 bag Heath Bits ‘o Brickle Toffee Bits 8 ounces,▢ 1 bag dark or semi-sweet chocolate chips 10 ounces,▢ flaky sea salt optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
