title,author,rating,ratingnum,categories,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Best Chocolate Chip Cookies,Jamielyn Nye,4.99,134," Categorized as: American, Chocolate, Chocolate Chip Cookies, Cookies, Desserts, Freezer-Friendly, Kid-Friendly, Nut-Free, Vegetarian ",Prep Time: 15 minutes mins,Cook Time: 10 minutes mins,Refrigerate: 30 minutes mins,Total Time: 55 minutes mins,Servings: 24,6,"Preheat the oven to 375°F. Line two baking sheets with parchment paper. 
In a large bowl, using a mixer, cream together the butter and sugars for 1 minute. Add the eggs and vanilla and beat just until combined once the eggs are added, you don't want to over mix. 
Add the flour, baking soda, salt and cornstarch and mix on low. I like to slowly mix in the chocolate chips with the last cup of flour. Be careful not over mix. If the dough is too sticky add an extra Tablespoon or two of flour. Refrigerate dough for 30-60 minutes if time allows.
Using a large cookie scoop (about 3 Tablespoons), scoop the cookie dough onto the baking sheet about 2-3 inches apart. Place extra chocolate chips on the top of the cookies if desired.
Bake for 8-10 minutes, or until the tops are barely golden brown. Allow cookies to set on pan for 2-3 minutes.
Remove cookies to a cooling rack. Serve while warm if desired. ",10,"1 cup unsalted butter , barely softened","1 cup light brown sugar , packed",1 cup granulated sugar,"2 large eggs , cold",1 Tablespoon vanilla extract,"3 cups all-purpose flour , spooned and leveled",1 teaspoon baking soda,1 teaspoon cornstarch,"¾ teaspoon fine sea salt , or 1 teaspoon kosher","1 -2 cups chocolate chips , I prefer to mix semi-sweet and milk",I Heart Naptime,https://www.iheartnaptime.net/best-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Pudding Cookie Recipe,Jamielyn Nye,4.99,283," Categorized as: American, Chocolate, Chocolate Chip Cookies, Cookies, Desserts, White Chocolate Cookies ",Prep Time: 15 minutes mins,Cook Time: 8 minutes mins,Cooling Time: 30 minutes mins,Total Time: 53 minutes mins,Servings: 24,5,"Prep. Preheat the oven to 350ºF. Line baking sheet with parchment paper. 
Cream wet ingredients. In the bowl of a stand mixer fitted with the paddle attachment, cream the 1 cup butter, 3/4 cup brown sugar, and 1/4 cup granulated sugar 1 to 2 minutes, or until smooth and fluffy. Add 1 1/2 teaspoons vanilla and 2 eggs one at a time until combined. 
Combine wet and dry ingredients. In a medium bowl, whisk together 2 1/3 cups flour, 3.4 ounce dry pudding mix, 1 teaspoon baking soda, 1 teaspoon baking powder, and 1/4 teaspoon salt. Slowly stir into the wet ingredients until well combined. Fold in the 1 1/2 cups chocolate chips.
Scoop. Using a medium cookie dough scoop, portion the dough onto the baking sheet. 
Bake. Bake 8 to 10 minutes, or until the edges are lightly golden brown; you want the center to look a little underdone. Let sit 2 to 5 minutes before transferring to a cooling rack. Enjoy with a cold glass of milk! ",11,"1 cup salted butter , softened",¾ cup light brown sugar,¼ cup granulated sugar,1 ½ teaspoons vanilla extract,2 large eggs,2 ⅓ cups all-purpose flour,1 (3.4-ounce) package instant vanilla pudding mix (just the dry mix),1 teaspoon baking powder,1 teaspoon baking soda,¼ teaspoon Kosher salt,I Heart Naptime,https://www.iheartnaptime.net/pudding-cookies/,"1 ½ cups semi-sweet chocolate chips , plus more to taste (can do a mix of milk or white)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Oatmeal Chocolate Chip Cookies,Jamielyn Nye,5,27," Categorized as: Chocolate, Chocolate Chip Cookies, Cookies, Desserts, Freezer-Friendly, Oatmeal Cookies ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 20 minutes mins,Servings: 36 cookies,5,"Preheat the oven to 350°F. Line baking sheets with parchment paper or a silicone mat.  
In the bowl of a stand mixer fitted with the paddle attachment, cream 1 cup softened butter, 1 1/4 cup brown sugar and 3/4 cup granulated sugars on medium high until light and airy. Mix in 2 eggs and 2 teaspoons vanilla until combined. 
Add 2 1/4 cups flour, 1 teaspoon salt, 2 teaspoons baking soda, and 1/2 teaspoon baking powder on low just until combined. Stir in 2 cups old fashioned oats and 1 1/2 cupschocolate chips. 
Using a medium cookie scoop, scoop onto the prepared baking sheets. Press extra chocolate chips on top, if desired. Chill baking sheets 15 to 20 minutes if your prefer a little thicker cookie. 
Bake 7 to 10 minutes, or until the edges are just light golden brown (the centers should look a little underdone). Take them out a little early for softer cookies and bake a little longer for crispier cookies. Let rest on pan 2 minutes before transferring to a cooling rack to cool completely. ",11,1 cup unsalted butter,"1 cup light brown sugar , packed",¾ cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,2 ¼ cups all-purpose flour,1 teaspoon salt,2 teaspoons baking soda,½ teaspoon baking powder,2 cups old-fashioned oats,I Heart Naptime,https://www.iheartnaptime.net/oatmeal-chocolate-chip-cookies/,1 ½ cups chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Cake Mix Cookies,Jamielyn Nye,5,172," Categorized as: American, Cake Mix Cookies, Cookies, Desserts, Freezer-Friendly, Fruit Desserts, Kid-Friendly, Nut-Free, Reader Favorites ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 20 minutes mins,Servings: 24,4,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside. Combine the cake mix, oil and eggs in a large bowl. Add in 1 Tablespoon of fresh lemon juice and 1 Tablespoon of lemon zest. 
Stir together just until combined. If you have the time, refrigerate the dough for 15-20 minutes (it will make it a little easier to work with, since it is sticky).
Then use a medium scoop or spoon to scoop the dough onto the prepared baking mat. Then roll dough balls into the powdered sugar.
Bake for 9-11 minutes, or until the cookies are set. You don’t want them to brown. Allow to cool on the pan for a couple minutes and then transfer to a cooling rack.",5,15.25 ounce box lemon cake mix,"½ cup vegetable oil , I like to measure just under the 1/2 cup line",2 large eggs,1 lemon,¼ cup powdered sugar,NA,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/lemon-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funfetti Cake Mix Cookies,Jamielyn Nye,5,48," Categorized as: American, Birthdays, Cake Mix Cookies, Cookies, Desserts, Freezer-Friendly ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 20 minutes mins,Servings: 20,3,"Prep. Preheat oven to 350°F. Line a baking sheet with a silicone mat or parchment paper and set aside.
Combine cookie dough. Mix the 15.25 box of funfetti cake mix, 1/2 cup oil and 2 eggs in a large bowl with electric beaters. Then stir in the extra sprinkles if desired and mix until combined. Refrigerate the dough for 15-20 minutes.
Scoop and bake. Using a medium scoop or spoon, scoop the dough onto the prepared baking mat. Roll in extra sprinkles if desired. Bake for 8-10 minutes, or until the cookies are set. You don’t want them to brown. Allow to cool on the pan for a couple minutes and then transfer to a cooling rack.",3,15.25 ounce box funfetti cake mix,"½ scant cup vegetable oil , or 7 TB melted butter",2 large eggs,NA,NA,NA,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/funfetti-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rolo Cookies,Jamielyn Nye,4.98,47," Categorized as: 5 Ingredients Or Less, American, Cake Mix Cookies, Chocolate, Chocolate Cookies, Cookies, Desserts, Freezer-Friendly ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,Chill Dough: 30 minutes mins,Total Time: 50 minutes mins,Servings: 24,4,"Preheat oven to 350°F. Line a baking sheet with a silicone mat or parchment paper and set aside.
Combine the cake mix, oil and eggs in a large bowl. Stir together until combined. Then chill the dough in the refrigerator for 30 minutes (this will make the dough easier to work with since it's a bit sticky). 
Using a medium cookie scoop or spoon, scoop out the dough into your hands. Roll it into a loose ball shape, then add a Rolo candy in the middle. Wrap the dough around the candy, making sure the Rolo is covered completely. Then roll into a ball again and coat with powdered sugar. Place dough balls on baking sheet. 
Bake for 9-11 minutes, or until the cookies are set. You don’t want them to brown. Allow to cool on the pan for a couple minutes and then transfer to a cooling rack.",5,15.25 ounce box Devil's Food cake mix,⅓ cup vegetable oil,2 large eggs,1 bag Rolo candies,powdered sugar (for rolling the dough balls),NA,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/rolo-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate M&M Cookies,Jamielyn Nye,5,10," Categorized as: 4th of July, American, Chocolate, Chocolate Cookies, Christmas, Cookies, Desserts, Freezer-Friendly, Kid-Friendly, Nut-Free, Vegetarian ",Prep Time: 20 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 30 minutes mins,Servings: 24,6,"Cream wet ingredients. In a large bowl, cream together 2 softened sticks butter and 1 1/2 cup sugar and 1/2 cup brown sugar. Add 2 eggs and 2 1/2 teaspoons vanilla and mix until smooth.
Combine cookie dough. In a separate bowl, whisk together 2 cups flour, 3/4 cup cocoa, 1 1/2 teaspoons baking soda, 1 1/2 teaspoons baking powder and 1/2 teaspoon salt. Gradually add the flour mixture to the sugar mixture and mix just until combined. Add 1 cup m&m's and 1/2 cup chocolate chips.
Chill dough. Refrigerate the dough for 15 to 60 minutes (or up to 2 days).
Prep. Preheat oven to 350°F. Line two baking sheets with parchment paper. 
Scoop dough then bake. Scoop the dough onto the pan using a large cookie scoop (or about 3 Tablespoons). Bake for 8-10 minutes, or until the edges are slightly crisp, yet soft in the middle. Remove from oven. Use a spatula to shape cookies (while warm) if needed and add more M&M's on top if desired.
Cool and enjoy. Allow cookies to cool on pan for 2-3 minutes and then move to a cooling rack. ",12,"2 sticks unsalted butter , softened",1 ½ cups granulated sugar,"½ cup light brown sugar , packed",2 large eggs,2 ½ teaspoons vanilla extract,2 cups all-purpose flour,"¾ cup unsweetened cocoa powder , I like to sub 1/4 cup dutch powder",1 ½ teaspoons baking soda,1 ½ teaspoons baking powder,"1 teaspoon fine sea salt , or table salt",I Heart Naptime,https://www.iheartnaptime.net/chocolate-mm-cookies/,"1 cup M&M's , more for tops if desired",½ cup semi sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Crinkle Cookies,Jamielyn Nye,4.94,91," Categorized as: American, Chocolate, Chocolate Cookies, Christmas, Cookies, Desserts, Freezer-Friendly, Holiday Cookies, Kid-Friendly, Nut-Free, Vegetarian ",Prep Time: 15 minutes mins,Cook Time: 8 minutes mins,Chill time: 30 minutes mins,Total Time: 53 minutes mins,Servings: 30 cookies,4,"Wet ingredients. Whisk together 1/2 cup oil, 2 cups sugar in a large bowl (or use a stand mixer). Add in 4 eggs and 2 teaspoons vanilla and whisk until well combined. 
Dry ingredients. Whisk together 2 cups flour, 1 cup cocoa powder, 2 teaspoons baking powder and 1/2 teaspoon salt in a separate bowl. Slowly pour the flour mixture into the sugar mixture and stir until well combined.  Chill the dough in the refrigerator for 30 minutes (up to 24 hours). 
Roll cookie balls in powdered sugar. Preheat the oven to 350°F. Shape dough into 1 1/2 inch balls (I liked to use a medium cookie scoop). Place confectioners’ sugar in a small bowl and roll each cookie in the sugar. 
Bake. Place cookies onto a baking sheet lined with parchment paper. Bake 8 to 10 minutes, or until the cookies look set and have started to crack. Allow to cool on the pan for 2 minutes, and then transfer to a cooling rack.  ",9,½ cup vegetable oil,2 cups granulated sugar,4 large eggs,2 teaspoons vanilla extract,2 cups all-purpose flour,1 cup unsweetened cocoa,2 teaspoons baking powder,½ teaspoon Kosher salt,¼ cup confectioners sugar (more if needed),NA,I Heart Naptime,https://www.iheartnaptime.net/chocolate-crinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Christmas Cookies,Jamielyn Nye,4.98,141," Categorized as: American, Chocolate, Chocolate Chip Cookies, Christmas, Cookies, Desserts, Freezer-Friendly, Holiday Cookies, Kid-Friendly ",Prep Time: 15 minutes mins,Cook Time: 10 minutes mins,Refrigerate: 15 minutes mins,Total Time: 40 minutes mins,Servings: 24,4,"Preheat the oven to 375°F. Line two baking sheets with silicone baking mats or parchment paper and set aside. In a large bowl, cream together the butter and sugars with beaters. Mix for 1-2 minutes, or until creamy and fluffy. Add the eggs and vanilla and mix just until combined.
Add the flour, baking soda and salt and mix just until combined. Fold in the chocolate chips and M&M’s. Refrigerate dough for 15 to 30 minutes if time allows.
Using a large cookie scoop (about 3 Tablespoons), scoop the cookie dough onto the baking sheet about 2 inches apart. Place any extra chocolate chips or M&M’s on the top of the cookies if desired.
Bake for 7-10 minutes, or until the edges are barely golden brown. Allow cookies to set on pan for 2-3 minutes, and then remove to a cooling rack.",10,1 cup unsalted butter,1 cup light brown sugar (packed),¾ cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,3 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon fine sea salt,¾ cup semi-sweet chocolate chips (more if desired),1 cup Christmas M&M’s (more for tops if desired),I Heart Naptime,https://www.iheartnaptime.net/mm-christmas-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Sugar Cookies,Jamielyn Nye,5,38," Categorized as: American, Christmas, Cookies, Desserts, Freezer-Friendly, Frosted Cookies, Holiday Cookies, Kid-Friendly, Nut-Free, Vegetarian ",Prep Time: 20 minutes mins,Cook Time: 8 minutes mins,Refrigerate: 1 hour hr,Total Time: 1 hour hr 28 minutes mins,Servings: 30,6,"Cream butter and sugar. In a large bowl, mix together 1 1/2 cups butter and 2 cups sugar. Beat until creamy. Add in 4 eggs, 1 teaspoon vanilla and 1/2 teaspoon almond extract and mix together until combined.
Combine dough. In a separate bowl, mix 5 cups flour, 2 teaspoons baking powder and 1/2 teaspoon salt. Slowly add dry ingredients to the wet ingredients. Mix just until combined.
Chill. Split dough in two and place in saran wrap. Refrigerate for 1-2 hours. Do not skip this step. 
Roll out dough. Once dough has chilled, preheat oven to 375°F. Roll out the dough about 1/2 inch thick on a baker's mat or a clean counter top. I like to sprinkle some powdered sugar on the rolling pin so the dough doesn't stick. 
Cut with cookie cutters and then place onto baking sheet lined with parchment paper about 1-2 inches apart. Bake for 6-8 minutes, or until the center is barely set. Do not let the edges or bottoms brown. Watch carefully the last minute of baking. Allow to cool on the pan for a few minutes and then remove to a cooling rack. 
Cool and frost. Allow to cool and then frost as desired.",8,"1 ½ cups (345 g) butter , 3 sticks at room temperature",2 cups (390 g) granulated sugar,4 large eggs,1 teaspoon vanilla extract,½ teaspoon almond extract,"5 cups (650 g) all-purpose flour , spooned and leveled",2 teaspoons baking powder,½ teaspoon fine sea salt,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/christmas-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Blossoms,Jamielyn Nye,4.99,55," Categorized as: American, Chocolate, Christmas, Cookies, Desserts, Freezer-Friendly, Holiday Cookies ",Prep Time: 10 minutes mins,Cook Time: 8 minutes mins,NA,Total Time: 18 minutes mins,Servings: 36,6,"Prep. Preheat oven to 350°F. Line two baking sheets with parchment paper or a baking mat and set aside. 
Cream butter and sugar. Cream 1/2 cup butter with 1/2 cup brown sugar and 1/2 cup granulated sugar. Add 3/4 cup peanut butter and blend until smooth. Add 1 egg, 2 Tablespoons milk and 1 1/2 teaspoons vanilla.
Add flour and chill. Next add 1 1/2 cups flour, 1 teaspoon baking soda and 1/4 teaspoon salt. Mix just until combined. Refrigerate 10-20 minutes if the dough is too sticky to handle. 
Roll dough balls in sugar. Roll dough into 1″ balls (I use a full small cookie scoop). Roll in sugar and then place onto prepared baking sheet. 
Bake. Bake for 7-9 minutes or until the top no longer looks dough (do not let the bottoms brown or the cookies will be dry instead of soft. Remove from oven and let sit on the pan for a couple minutes.  
Press Hershey's kiss into cookie about a minute after the cookies come out of the oven. If the cookies have cooled slightly, put the cookies back in the oven for 1 minute once the kisses are on top to ensure they stay on top of the cookie.",11,½ cup butter (or shortening),½ cup granulated sugar (more for rolling),"½ cup light brown sugar , packed",¾ cup creamy peanut butter,1 egg,2 Tablespoons milk,1 ½ teaspoons vanilla extract,"1 ½ cup all-purpose flour , spooned and leveled",1 teaspoon baking soda,¼ teaspoon salt,I Heart Naptime,https://www.iheartnaptime.net/peanut-butter-blossoms/,36 Hershey’s Kisses (unwrapped),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger Molasses Cookies,Jamielyn Nye,4.99,253," Categorized as: American, Christmas, Cookies, Desserts, Freezer-Friendly, Holiday Cookies, Kid-Friendly, Nut-Free, Vegetarian, White Chocolate Cookies ",Prep Time: 15 minutes mins,Cook Time: 8 minutes mins,Chill: 10 minutes mins,Total Time: 33 minutes mins,Servings: 24 cookies,7,"Prep. Preheat the oven to 375°F. Line a baking sheet with parchment paper and set aside. 
Cream butter and sugar. Combine 3/4 cup butter and 1 cup light brown sugar in a large bowl. Cream for one minute, or until fluffy. Add in one large egg and beat until smooth. Next add in 1/4 cup molasses and a dash of vanilla if desired. Mix until combined.
Add dry ingredients. Place 2 1/4 cups flour, 2 teaspoons baking soda, 1 teaspoon cinnamon, 1 teaspoon ginger, 1/2 teaspoon cloves and 1/4 teaspoon salt into a sifter (if you don’t have a sifter, whisk in a bowl), and then add to the butter mixture. Mix with a spoon, just until combined. Be careful not to over mix. 
Chill dough. Refrigerate dough 10-15 minutes. 
Roll into balls. Using a medium cookie scoop (or about 1.5 Tablespoons), roll the cookie dough into a ball. Place 1/4 cup granulated sugar into a shallow bowl and then roll the dough into the sugar. Place on the baking sheet, about 2 inches apart. Lightly flatten the tops with the palm of your hand.
Bake. Bake 8-10 minutes and let cool on the pan 5 minutes before moving to a cooling rack. Tip: If your cookies aren't cracking as much as you'd like, bang the pan on the stove right after they come out of the oven to crack the cookies. They will settle as they cool.
Once the cookies have cooled, if desired dip half the cookies in melted white chocolate then place on wax paper or parchment paper. Allow to harden. ",11,"¾ cup butter , softened (I use unsalted)","1 cup light brown sugar , packed",1 large egg,¼ cup molasses,2.25 cups all-purpose flour,2 teaspoons baking soda,1 teaspoon ground cinnamon,1 teaspoon ground ginger,½ teaspoon ground cloves,¼ teaspoon fine sea salt,I Heart Naptime,https://www.iheartnaptime.net/soft-molasses-cookies/,¼ cup granulated sugar (for rolling the cookies),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mini Chocolate Chip Cookies,Jamielyn Nye,5,6," Categorized as: American, Chocolate Chip Cookies, Christmas, Cookies, Desserts, Kid-Friendly ",Prep Time: 10 minutes mins,Cook Time: 7 minutes mins,NA,Total Time: 17 minutes mins,Servings: 24,5,"Preheat the oven to 350°F. Line two baking sheets with parchment. 
In a large bowl or the bowl of a stand mixer, beat together the butter, brown sugar, and white sugar until smooth. Add the egg and vanilla and mix to combine. 
Mix in the flour, cornstarch, baking soda, and salt until combined. Fold in the mini chocolate chips.
Use a teaspoon to scoop the dough into 1-inch balls and place on prepared baking sheets. Bake 7-8 minutes, or until set (they should look slightly under baked and finish cooking on pan). 
Remove from oven and let cool on baking sheet for a few minutes before removing to a cooling rack. Store in a covered container up to 3 days.",10,"¾ cup (163 grams) unsalted butter , softened","¾ cup (145 grams) light brown sugar , packed",¼ cup (50 grams) granulated sugar,1 large egg,1 teaspoon vanilla extract,2 cups (280 grams) all-purpose flour,1 teaspoon cornstarch,1 teaspoon baking soda,½ teaspoon fine sea salt,"¾ cup mini chocolate chips , more for tops if desired",I Heart Naptime,https://www.iheartnaptime.net/mini-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Cranberry Cookies,Jamielyn Nye,5,5," Categorized as: American, Christmas, Cookies, Dairy-Free, Desserts, Freezer-Friendly, Holiday Cookies, Nut-Free, Vegetarian, White Chocolate Cookies ",Prep Time: 15 minutes mins,Cook Time: 10 minutes mins,Refrigerate: 15 minutes mins,Total Time: 40 minutes mins,Servings: 36,4,"Cream. Cream 1 cup butter, 1 cup brown sugar, and 1/2 granulated sugar in a large bowl with an electric mixer. Mix for 1 minute or until light and fluffy. Add in 2 eggs and 2 teaspoons vanilla and mix until combined.
Combine cookie dough. Whisk together 3 cups flour, 1 Tablespoon cornstarch, 1 teaspoon salt, and 1 teaspoon baking powder in a separate bowl. Slowly add the flour mixture to the sugar mixture and mix until combined. Fold in 1 cup white chocolate chips and 3/4 cup dried cranberries. Add macadamia nuts if desired. Refrigerate dough for 15 to 60 minutes. 
Bake. Preheat the oven to 375°F. Line a baking sheet with a baking mat or parchment paper and set aside. Using a medium cookie scoop or 2 tablespoons, place the cookie dough on the baking sheet and bake for 8-9 minutes, or until the edges are golden brown. The cookies should still be soft in the middle. 
Cool and store. Remove from the oven and let cookies cool for 3 minutes and then move to cooling rack. Store in a covered container up to 3 days or freeze up to 3 months. ",11,1 cup unsalted butter (softened),"1 cup light brown sugar , packed",½ cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,3 cups all-purpose flour,1 Tablespoon cornstarch,1 teaspoon fine sea salt,1 teaspoon baking powder,1 cup white chocolate chips (more if desired),I Heart Naptime,https://www.iheartnaptime.net/white-chocolate-cranberry-cookies/,¾ cup dried cranberries (more if desired),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coffee Cake Cookies,Jamielyn Nye,5,1," Categorized as: American, Christmas, Cookies, Desserts ",Prep Time: 10 minutes mins,Cook Time: 8 minutes mins,Refrigerate: 15 minutes mins,Total Time: 33 minutes mins,Servings: 20,8,"Prep: Preheat the oven to 365°F. Line two baking sheets with parchment. 
Beat: In a large bowl or the bowl of a stand mixer, beat together 3/4 cup butter, 3/4 cup brown sugar, and 1/4 cup white sugar. Add 1 egg, egg yolk and 1 Tablespoon vanilla and mix to combine. 
Mix in 2 1/4 cups flour, 1 teaspoon cornstarch, 1 teaspoon baking soda, and 3/4 teaspoon salt until combined. 
Scoop: Use a medium cookie scoop (or Tablespoon) to scoop the dough into 2-inch balls and place on prepared baking sheets. Use a Tablespoon to make an indentation in each cookie dough balls. Refrigerate pan while making crumb. 
Mix together 1/2 cup flour, 1/3 cup brown sugar and 1 1/2 teaspoons cinnamon in a small bowl. Then mix in 5 Tablespoons softened butter with a fork. Fill the crumb topping in the center of the cookies.
Bake 8 minutes, or until lightly golden around the edges. 
Cool: Remove from oven and let cool a few minutes on the baking sheet before removing to a cooling rack to cool. 
Whisk together 1 cup powdered sugar, 2 Tablespoons melted butter and 2-3 Tablespoons whole milk. Then drizzle over the top of the cooled cookie. ",18,"¾ cup (165 grams) salted butter , softened","¾ cup (145 grams) light brown sugar , packed",¼ cup (50 grams) granulated sugar,1 large egg,1 egg yolk,1 Tablespoon vanilla extract,2 ¼ cups (312 grams) all-purpose flour,1 teaspoon cornstarch,1 teaspoon baking soda,½ teaspoon fine sea salt,I Heart Naptime,https://www.iheartnaptime.net/coffee-cake-cookies/,½ teaspoon ground cinnamon,½ cup (65 g) all-purpose flour,⅓ cup (75 g) brown sugar,1 ½ teaspoon ground cinnamon,"5 Tablespoons (70 g) butter , softened",1 cup (120 g) powdered sugar,"2 Tablespoons (30 g) butter , melted","2-3 Tablespoons whole milk , more as needed",NA,NA,NA,NA,NA
Gingerbread Oatmeal Cookies,Jamielyn Nye,5,2," Categorized as: American, Christmas, Cookies, Desserts, Holiday Cookies, Oatmeal Cookies, Vegetarian ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 20 minutes mins,Servings: 36,7,"Preheat the oven to 350°F. Line a baking sheet with parchment paper.
In a blender or food processor, pulse 1 cup oats 5 times, or just until the oats are broken. 
In the bowl of a stand mixer fitted with the paddle attachment, cream 3/4 cup butter, 1 cup brown sugar, and 1/2 cup granulated sugar until pale and smooth. Mix in 2 eggs, 2 teaspoons vanilla, and 1/4 cup molasses until combined. 
Add 1 cup flour, 3/4 teaspoon salt, 1 teaspoon baking soda, 1 teaspoon baking powder 1 teaspoon cinnamon, 2 teaspoons ginger, and 1/2 teaspoon cloves. Mix just until combined. Then mix in the remaining 1 1/4 cup flour, pulsed oats, and remaining 1 cup oats. 
Use a medium cookie scoop to scoop dough onto the prepared baking sheets. Bake for 10 – 12 minutes, or until the edges are just light golden brown. Take them out a little early for softer cookies and bake a little longer for crispier cookies. 
Let cookies rest on pan for 2 minutes and then transfer to a cooling rack. Allow cookies to cool completely.
Whisk together the 2 cups powdered sugar, 1/2 teaspoon vanilla and 2 Tablespoons milk in a bowl. If it's thick, add the last Tablespoon milk. Then drizzle glaze on each cookie. Allow to set until harden. ",17,"2 cups (200 grams) old-fashioned oats , divided",¾ cup (170 grams) unsalted butter,"1 cup (175 grams) light brown sugar , packed",½ cup (100 grams) granulated sugar,2 large eggs,2 teaspoons vanilla extract,¼ cup molasses,"2 ¼ cups (295 grams) all-purpose flour , divided",¾ teaspoon salt,1 teaspoon baking soda,I Heart Naptime,https://www.iheartnaptime.net/gingerbread-oatmeal-cookies/,1 teaspoon baking powder,1 teaspoon ground cinnamon,2 teaspoons ground ginger,½ teaspoon ground cloves,2 cups powdered sugar,2-3 Tablespoons milk,½ teaspoon vanilla,NA,NA,NA,NA,NA,NA
Dipped Chocolate Peppermint Cookies,Jamielyn Nye,5,19," Categorized as: American, Chocolate, Chocolate Cookies, Christmas, Cookies, Desserts, Holiday Cookies, White Chocolate Cookies ",Prep Time: 20 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 30 minutes mins,Servings: 36,5,"Preheat oven to 350°F. Line two baking sheets with parchment paper.
In a large bowl, cream together 1 cup butter and 1 1/2 cups granulated sugar and 1/2 cup brown sugar. Add 2 eggs, 2 1/2 teaspoons vanilla and 1 teaspoon peppermint extract and mix until smooth.
In a separate bowl, whisk together 2 cups flour, 3/4 cup cocoa, 1 1/2 teaspoons baking soda, 1 1/2 teaspoons baking powder and 1 teaspoon salt. Gradually add the flour mixture to the sugar mixture and mix just until combined. Add 1 cup chocolate chips and then refrigerate the dough for 15-20 minutes.
Scoop the dough onto the pan using a large cookie scoop (or about 2 Tablespoons). Bake for 8-10 minutes, or until the edges are slightly crisp, yet soft in the middle. Let cookies cool on pan for a few minutes, then move to cooling rack to cool completely. 
Dip cookies halfway in melted white chocolate and place on wax paper or parchment paper if desired. Then immediately sprinkle crushed peppermint on top of white chocolate. ",12,"1 cup unsalted butter (2 sticks) , at room temperature",1 ½ cups (300 grams) granulated sugar,"½ cup (100 grams) light brown sugar , packed",2 large eggs,2 ½ teaspoons vanilla extract,1 teaspoon peppermint extract,2 cups (270 grams) all purpose flour,¾ cup (60 grams) unsweetened cocoa powder (I like to sub 1/4 cup special dark powder),1 ½ teaspoons baking soda,1 ½ teaspoons baking powder,I Heart Naptime,https://www.iheartnaptime.net/chocolate-peppermint-cookies/,1 teaspoon fine sea salt or kosher salt,"1 cup semi sweet chocolate chips , or milk chocolate chips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
