title,author,genre,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42,ingredient43,ingredient44,ingredient45,ingredient46,ingredient47,ingredient48,ingredient49,ingredient50,ingredient51,ingredient52,ingredient53,ingredient54,ingredient55,ingredient56,ingredient57,ingredient58
White Chocolate Macadamia Nuts Cookies Recipe,Becky Hardin,Baking,4.72,21,10 minutes,10 minutes,20 minutes,18 cookies,8," ½ cup unsalted butter 113 grams, room temperature (1 stick)", 1 cup granulated sugar 200 grams," 1 large egg 50 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, 1½ cups all-purpose flour 180 grams, ¾ teaspoon baking soda 5 grams, ½ cup white chocolate chips 85 grams, ½ cup chopped macadamia nuts 80 grams,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/white-chocolate-macadamia-nut-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutella Stuffed Cookies Recipe,Becky Hardin,Baking,4.62,31,30 minutes,10 minutes,1 hour,24 cookies,10, 1 cup Nutella 270 grams," ½ cup unsalted butter 113 grams, melted (1 stick)", ½ cup brown sugar 107 grams, ¼ cup granulated sugar 50 grams," 1 large egg 50 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, 2 cups all-purpose flour 240 grams, ½ teaspoon baking soda 3 grams, ½ teaspoon kosher salt, 3 ounces finely chopped dark chocolate 85 grams (or chocolate chips),The Cookie Rookie,https://www.thecookierookie.com/nutella-stuffed-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecan Sandies Cookies Recipe,Becky Hardin,Baking,4.5,8,10 minutes,15 minutes,25 minutes,24 cookies,7," 1 cup unsalted butter 227 grams (2 sticks), cold", ½ cup granulated sugar 100 grams, 2 teaspoons pure vanilla extract 8 grams," 1 tablespoon milk 14 grams, plus more if needed", 2 cups all-purpose flour 240 grams, ¾ cup chopped pecans 86 grams, ¾ cup powdered sugar 85 grams,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/pecan-sandies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Chocolate Chip Cookies Recipe,Becky Hardin,Baking,4.48,19,1 hour,10 minutes,2 hours,30 cookies,24, 1 cup unsalted butter 226 grams (2 sticks), ¾ cup brown sugar 160 grams, ½ cup granulated sugar 100 grams, 2 large eggs 100 grams, 2 teaspoons pure vanilla extract 8 grams, 2⅔ cups all-purpose flour 320 grams, 2 teaspoons cornstarch 5 grams, 1 teaspoon baking soda 6 grams, ½ teaspoon baking powder 2 grams, ½ teaspoon kosher salt,The Cookie Rookie,https://www.thecookierookie.com/brown-butter-chocolate-chip-cookies/," 1 cup milk chocolate chips 170 grams, plus more to press into the tops of the cookies", 1 cup semisweet chocolate chips 170 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Chocolate Chip Cookies Recipe,Becky Hardin,Baking,4.48,19,1 hour,10 minutes,40 minutes,30 cookies,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/brown-butter-chocolate-chip-cookies/,NA,NA, 1 cup unsalted butter 226 grams (2 sticks), ¾ cup brown sugar 160 grams, ½ cup granulated sugar 100 grams, 2 large eggs 100 grams, 2 teaspoons pure vanilla extract 8 grams, 2⅔ cups all-purpose flour 320 grams, 2 teaspoons cornstarch 5 grams, 1 teaspoon baking soda 6 grams, ½ teaspoon baking powder 2 grams, ½ teaspoon kosher salt," 1 cup milk chocolate chips 170 grams, plus more to press into the tops of the cookies", 1 cup semisweet chocolate chips 170 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Sugar Chocolate Chip Cookies (Thin and Crispy),Becky Hardin,Baking,4.82,16,15 minutes,10 minutes,25 minutes,30 cookies,10," 1 pound  unsalted butter 454 grams, room temperature (4 sticks)", 1½ cups  light brown sugar 320 grams, 1½ cups  dark brown sugar 320 grams, 1 cup granulated sugar 200 grams," 4 large eggs 200 grams, room temperature", 2 teaspoons pure vanilla extract 4 grams, 3½ cups all-purpose flour 420 grams, 1½ teaspoons kosher salt 5 grams, 2 teaspoons baking soda 12 grams," 1½ cups semisweet and milk chocolate chips 255 grams, Ghirardelli recommended",The Cookie Rookie,https://www.thecookierookie.com/brown-sugar-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Cookies 2 Ways,Becky Hardin,Baking,4.6,255,20 minutes,10 minutes,1 hour,24 cookies,18, 4 tablespoons salted butter 57 grams (½ stick), 1 pound chopped semisweet chocolate 454 grams," 4 large eggs 200 grams, room temperature", 1½ cups granulated sugar 300 grams, 1 teaspoon pure vanilla extract 4 grams," ½ cup all-purpose flour 60 grams, sifted", ½ teaspoon baking powder 2 grams, 12 ounces milk chocolate chips 340 grams," Crushed peppermint optional, for topping",NA,The Cookie Rookie,https://www.thecookierookie.com/fudgy-brownie-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Cookies 2 Ways,Becky Hardin,Baking,4.6,255,20 minutes,10 minutes,30 minutes,24 cookies,18,NA,NA,NA,NA,NA,NA,NA,NA,NA, 4 tablespoons salted butter 57 grams (½ stick),The Cookie Rookie,https://www.thecookierookie.com/fudgy-brownie-cookies-recipe/, 1 pound chopped semisweet chocolate 454 grams," 4 large eggs 200 grams, room temperature", 1½ cups granulated sugar 300 grams, 1 teaspoon pure vanilla extract 4 grams," ½ cup all-purpose flour 60 grams, sifted", ½ teaspoon baking powder 2 grams, 12 ounces milk chocolate chips 340 grams," Crushed peppermint optional, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skillet Chocolate Chip Cookies,Becky Hardin,Baking,4.75,12,20 minutes,30 minutes,50 minutes,8 slices,11," 13 tablespoons unsalted butter 184 grams, divided (1⅝ stick)", 1¾ cups all-purpose flour 210 grams, ½ teaspoon baking soda 3 grams, 1 cup dark brown sugar 213 grams, ¼ cup granulated sugar 50 grams, 2 teaspoons pure vanilla extract 8 grams, 1½ teaspoons kosher salt 5 grams, 1 large egg 50 grams, 1 egg yolk 14 grams, ½ cup semisweet chocolate chips 85 grams,The Cookie Rookie,https://www.thecookierookie.com/skillet-chocolate-chip-cookie/, ½ cup milk chocolate chips 85 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Chocolate Chip Cookies Recipe,Becky Hardin,Baking,4.15,7,15 minutes,15 minutes,30 minutes,24 cookies,10," 1 cup unsalted butter 226 grams, room temperature (2 sticks)", 1 cup dark brown sugar 213 grams, ½ cup granulated sugar 100 grams," 2 large eggs 100 grams, room temperature", 2 teaspoons pure vanilla extract 8 grams, 1¼ cups All Purpose Flour 204 grams, ½ teaspoon Baking Soda 3 grams, 1 teaspoon kosher salt 3 grams, 3 cups Old Fashioned Rolled Oats 300 grams, 2 cups semisweet chocolate chips 340 grams,The Cookie Rookie,https://www.thecookierookie.com/oatmeal-chocolate-chip-cookies-with-honey/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zucchini Chocolate Chip Cookies,Becky Hardin,Baking,4.75,16,15 minutes,10 minutes,25 minutes,36 cookies,13," ½ cup salted butter 113 grams, room temperature (1 stick)", 1 cup brown sugar 213 grams, ¼ cup granulated sugar 50 grams," 2 large eggs 100 grams, room temperature"," 1½ cup freshly shredded zucchini 213 grams, unpeeled (about half a zucchini, patted dry)", 1 teaspoon pure vanilla extract 4 grams, 1¾ cups all-purpose flour 210 grams, 2 teaspoons baking soda 12 grams, 1 teaspoon kosher salt 3 grams, 1 teaspoon ground cinnamon 3 grams,The Cookie Rookie,https://www.thecookierookie.com/zucchini-chocolate-chip-cookies/, 1 cup chocolate chips 170 grams, 1 cup old-fashioned oats 100 grams," ½ cup chopped walnuts 57 grams, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riscotti Cookies (Italian Anise Cookies),Becky Hardin,Baking,4.91,10,20 minutes,15 minutes,2 hours,24 cookies,30, 1 cup granulated sugar 200g," ¼ cup unsalted butter 57g, room temperature (½ stick)"," ½ cup  vegetable shortening 92g, (½ stick), such as Crisco", 3 large eggs room temperature, ¼ tsp anise extract  1g (or almond extract), 3 cups all-purpose flour 360g, ¾ tsp kosher salt, ½ tsp baking soda 3g, ¾ tsp baking powder 3g," 1 tbsp milk 14g, if needed",The Cookie Rookie,https://www.thecookierookie.com/riscotti-cookies/, , 1 cup unsalted butter 226g (2 sticks)," ½ cup milk 114g, at least 2%", 1 tsp pure vanilla extract 4g," 2½ cups powdered sugar 283g, sifted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riscotti Cookies (Italian Anise Cookies),Becky Hardin,Baking,4.91,10,20 minutes,15 minutes,35 minutes,24 cookies,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/riscotti-cookies/,NA,NA,NA,NA,NA, 1 cup granulated sugar 200g," ¼ cup unsalted butter 57g, room temperature (½ stick)"," ½ cup  vegetable shortening 92g, (½ stick), such as Crisco", 3 large eggs room temperature, ¼ tsp anise extract  1g (or almond extract), 3 cups all-purpose flour 360g, ¾ tsp kosher salt, ½ tsp baking soda 3g, ¾ tsp baking powder 3g," 1 tbsp milk 14g, if needed", , 1 cup unsalted butter 226g (2 sticks)," ½ cup milk 114g, at least 2%", 1 tsp pure vanilla extract 4g," 2½ cups powdered sugar 283g, sifted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Classic Shortbread Cookies,Becky Hardin,Baking,4.47,15,10 minutes,20 minutes,3 hours,15 cookies,8," ½ cup salted butter 113 grams, room temperature (1 stick)", ½ cup powdered sugar 57 grams, 1 teaspoon pure vanilla extract 4 grams, 1⅛ cup all-purpose flour 135 grams (18 tablespoons),NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Classic Shortbread Cookies,Becky Hardin,Baking,4.47,15,10 minutes,20 minutes,30 minutes,15 cookies,8,NA,NA,NA,NA," ½ cup salted butter 113 grams, room temperature (1 stick)", ½ cup powdered sugar 57 grams, 1 teaspoon pure vanilla extract 4 grams, 1⅛ cup all-purpose flour 135 grams (18 tablespoons),NA,NA,The Cookie Rookie,https://www.thecookierookie.com/shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Crack (Cracker Toffee Recipe),Becky Hardin,Baking,4.52,84,10 minutes,5 minutes,15 minutes,16 pieces,6, 32 saltine crackers 102 g, 1 cup unsalted butter 226 g (2 sticks), 1 cup brown sugar 213 g," 2 cups chocolate chips   340 g, white or semi-sweet also work"," 1 cup pecans 125 g, try pretzels or your favorite nut", sprinkles optional,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/christmas-crack-cracker-toffee/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peanut Butter Blossoms,Becky Hardin,Baking,4.72,7,20 minutes,10 minutes,30 minutes,50 cookies,13, ½ cup granulated sugar 100 grams, ⅓ cup light brown sugar 71 grams," 10  tablespoons unsalted butter 141 grams, cool(ish) but softened (1¼ sticks)", 10 tablespoons creamy peanut butter 169 grams, 2 teaspoons pure vanilla extract 8 grams (or vanilla bean paste)," 1 large egg 50 grams, room temperature", 1¼ cups all-purpose flour 150 grams, ¼ cup unsweetened cocoa powder 21 grams, ¾ teaspoon baking soda, ½ teaspoon baking powder 2 grams,The Cookie Rookie,https://www.thecookierookie.com/chocolate-peanut-butter-blossoms/, ¾ teaspoon kosher salt," Raw or Turbinado sugar for coating the cookies, optional"," 55 Chocolate Kisses 312 grams (11 ounces), unwrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cup Fudge Recipe,Becky Hardin,Baking,4.67,15,5 minutes,5 minutes,3 hours,20 pieces,8, 3 cups white chocolate chips 510 grams, 14 ounces sweetened condensed milk 396 grams (1 can), 1 teaspoon pure vanilla extract 4 grams," 1 cup mini Reese’s Cups 20 grams, chopped into chunks and divided",NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/peanut-butter-cup-fudge/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cup Fudge Recipe,Becky Hardin,Baking,4.67,15,5 minutes,5 minutes,10 minutes,20 pieces,8,NA,NA,NA,NA, 3 cups white chocolate chips 510 grams, 14 ounces sweetened condensed milk 396 grams (1 can), 1 teaspoon pure vanilla extract 4 grams," 1 cup mini Reese’s Cups 20 grams, chopped into chunks and divided",NA,NA,The Cookie Rookie,https://www.thecookierookie.com/peanut-butter-cup-fudge/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crockpot White Chocolate Haystacks,Becky Hardin,Baking,4.75,12,5 minutes,1 hour,1 hour,16 treats,8, 12 ounces white melting chocolate  340 grams (or almond bark), 2 cups chow mein noodles 90 grams, 1 cup peanuts 142 grams," 2 tablespoons sprinkles 24 grams, for topping",NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/crockpot-white-chocolate-haystacks/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crockpot White Chocolate Haystacks,Becky Hardin,Baking,4.75,12,5 minutes,1 hour,5 minutes,16 treats,8,NA,NA,NA,NA, 12 ounces white melting chocolate  340 grams (or almond bark), 2 cups chow mein noodles 90 grams, 1 cup peanuts 142 grams," 2 tablespoons sprinkles 24 grams, for topping",NA,NA,The Cookie Rookie,https://www.thecookierookie.com/crockpot-white-chocolate-haystacks/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Cupcakes Recipe,Becky Hardin,Baking,4.76,37,15 minutes,30 minutes,45 minutes,9 cupcakes,9, ½ cup unsalted butter 113 grams (1 stick), ½ cup semisweet chocolate chips 85 grams, 2 large eggs 100 grams, ¾ cup granulated sugar 150 grams, ½ cup all-purpose flour 60 grams, 1 teaspoon pure vanilla extract 4 grams, ½ batch Chocolate Buttercream (click for recipe), , 1.55 ounces Hershey's milk chocolate 43 grams (1 bar),NA,The Cookie Rookie,https://www.thecookierookie.com/brownie-cupcakes/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to Grill the Perfect Steak,Becky Hardin,Baking,4.61,23,20 minutes,15 minutes,35 minutes,4,1, 4 steaks,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/meat-temperature-chart/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crockpot Turtle Candy Recipe,Becky Hardin,Cookies,4.72,14,30 minutes,1 hour,2 hours,60 candies,6, 16 ounces chopped pecans 454 grams, 24 ounces melting chocolate 680 grams, 4 ounces German chocolate 113 grams (1 bar), 11 ounces caramel bits 312 grams, ¾ cup semisweet chocolate chips 128 grams," Holiday sprinkles optional, for garnish",NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/crockpot-turtle-candy/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Caramel Chocolate Fudge,Becky Hardin,Cookies,4.5,60,5 minutes,5 minutes,3 hours,50 pieces,18, 2 cups milk chocolate chips 340 grams, ¾ cup sweetened condensed milk 234 grams, ¼ cup salted butter 57 grams (½ stick), ½ teaspoon ground cinnamon, ½ teaspoon kosher salt, ¼ teaspoon ground nutmeg, 1 teaspoon pure vanilla extract 4 grams, ½ cup caramel topping 160 grams," Coarse ground salt  optional, for topping",NA,The Cookie Rookie,https://www.thecookierookie.com/salted-caramel-chocolate-fudge/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Caramel Chocolate Fudge,Becky Hardin,Cookies,4.5,60,5 minutes,5 minutes,10 minutes,50 pieces,18,NA,NA,NA,NA,NA,NA,NA,NA,NA, 2 cups milk chocolate chips 340 grams,The Cookie Rookie,https://www.thecookierookie.com/salted-caramel-chocolate-fudge/, ¾ cup sweetened condensed milk 234 grams, ¼ cup salted butter 57 grams (½ stick), ½ teaspoon ground cinnamon, ½ teaspoon kosher salt, ¼ teaspoon ground nutmeg, 1 teaspoon pure vanilla extract 4 grams, ½ cup caramel topping 160 grams," Coarse ground salt  optional, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinwheel Cookies,Becky Hardin,Cookies,4.62,71,10 minutes,20 minutes,1 hour,36 cookies,16, 3 cups all-purpose flour 360 grams, 1 teaspoon baking powder 4 grams, ¼ teaspoon kosher salt, 1½ cups granulated sugar 300 grams," 1 cup unsalted butter 226 grams, room temperature (2 sticks)"," 2 large eggs 100 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, ¼ cup unsweetened cocoa powder 21 grams,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/chocolate-vanilla-pinwheel-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinwheel Cookies,Becky Hardin,Cookies,4.62,71,10 minutes,20 minutes,30 minutes,36 cookies,16,NA,NA,NA,NA,NA,NA,NA,NA, 3 cups all-purpose flour 360 grams, 1 teaspoon baking powder 4 grams,The Cookie Rookie,https://www.thecookierookie.com/chocolate-vanilla-pinwheel-cookies/, ¼ teaspoon kosher salt, 1½ cups granulated sugar 300 grams," 1 cup unsalted butter 226 grams, room temperature (2 sticks)"," 2 large eggs 100 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, ¼ cup unsweetened cocoa powder 21 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Jam Thumbprint Cookies,Becky Hardin,Cookies,4.74,15,10 minutes,10 minutes,20 minutes,24 cookies,10," ½ cup salted butter 113 grams, room temperature (1 stick)", ½ cup brown sugar 107 grams, ½ cup powdered sugar 57 grams, 1 egg yolk 14 grams, 2 teaspoons pure vanilla extract 8 grams, 1 teaspoon ground cinnamon 3 grams, ½ teaspoon ground nutmeg, 1½ cups all-purpose flour 180 grams, ½ cup chopped pecans 57 grams, ½ cup raspberry jam 170 grams,The Cookie Rookie,https://www.thecookierookie.com/raspberry-jam-thumbprint-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Movie Night Cookies,Becky Hardin,Cookies,4.63,8,12 minutes,11 minutes,23 minutes,30 cookies,13, Reynolds Kitchens® Parchment Paper with SmartGrid®," ½ cup salted butter 113 grams, room temperature (1 stick)", ½ cup granulated sugar 100 grams, ½ cup light brown sugar 107 grams, ½ cup creamy peanut butter 135 grams," 1 large egg 50 grams, room temperature", ½ teaspoon pure vanilla extract 2 grams, 1 cup all-purpose flour 120 grams, ½ teaspoon baking soda 3 grams, ¼ teaspoon kosher salt,The Cookie Rookie,https://www.thecookierookie.com/movie-night-cookies/, ½ cup Reese’s Pieces Candies 85 grams, ½ cup Raisinets 85 grams, 60-90 pieces popcorn 8-11 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Chocolate Chip Cookies,Becky Hardin,Cookies,4.58,35,10 minutes,10 minutes,20 minutes,36 cookies,12, 2 cups all-purpose flour 240 grams, 1½ teaspoon baking soda 9 grams, 1 teaspoon baking powder 4 grams, 2 teaspoons pumpkin pie spice 6 grams, 1 teaspoon kosher salt 3 grams," ½ cup salted butter 113 grams, room temperature (1 stick)", 1 cup brown sugar 213 grams, ¼ cup granulated sugar 50 grams," 2 large eggs 100 grams, room temperature", ¾ cup pumpkin puree 170 grams (⅖ can) – NOT pumpkin pie filling!,The Cookie Rookie,https://www.thecookierookie.com/pumpkin-chocolate-chip-cookies/, 1 teaspoon pure vanilla extract 4 grams, 2 cups chocolate chips 340 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Cookie Dough Dip,Becky Hardin,Cookies,4.57,201,5 minutes,8,5 minutes,8 people,7," ½ cup unsalted butter 113 grams, room temperature (1 stick)"," 8 ounces cream cheese 227 grams, room temperature (1 brick)", ¼ cup powdered sugar 28 grams, ¼ cup brown sugar 53 grams, 1 teaspoon pure vanilla extract 4 grams, ¼ teaspoon kosher salt, 1 cup semisweet mini chocolate chips 177 grams,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/cookie-dough-dip-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
