title,author,dateentry,dateupdate,rating,ratingnum,category,cuisine,keyword,preptime,cooktime,customtime,totaltime,yield,maybehasyield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Strawberry Cake Mix Cookies,Shelly,"Posted: Jan 24, 2013","Updated: Jan 15, 2024",5,2,Dessert,NA,NA,10 minutes,10 minutes,NA,1 hour 20 minutes,About 24 cookies 1x,NA,9,"In your mixer cream together the cream cheese and butter until smooth. Add egg and beat until combined.
Turn mixer to low and slowly add in your cake mix. The dough will be thick.
Refrigerate dough for about a hour or so, just enough so it’s not quite as sticky. Also, the colder the dough is the puffier your cookies will be.
When dough is chilled preheat oven to 350°.
Line your baking sheet with parchment paper.
Place. powdered sugar in a small bowl
Roll dough into balls about 1 inch in diameter, then roll in powdered sugar.
Place about 2 inches apart on prepared baking sheet and bake for approx 10 minutes until centers are just set.
Cool on wire rack",5,"1 (8 oz) block cream cheese, room temperature","1/2 cup butter, room temperature",1 egg,1 box (18.25 oz) Strawberry Cake Mix,1/4 cup powdered sugar,Cookies & Cups,https://cookiesandcups.com/strawberry-gooey-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscoff Crescent Roll Cookies,Cookies & Cups,"Posted: Jan 10, 2013","Updated: Jun 9, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,makes 12 cookies,11,"Unroll Crescent rolls on you work surface.
Evenly spread the Biscoff on top of the flat dough.
Tightly roll up the dough and wrap in cling wrap. Refrigerate for about an hour.
Preheat oven to 350°
Remove roll from refrigerator
Cut into approx 1/4″ slices and lay flat on a baking sheet lined with parchment paper.
Bake for 12-15 minutes until Crescent gets golden.
Let cool.
Prepare glaze by mixing powdered sugar and milk in a bowl. You can make the glaze thicker to drizzle, or thinner to coat the entire cookie.
Spread over cookies allowing the glaze to drip down the sides.
Let glaze set and enjoy!",4,1 (8 oz) can Crescent Rolls,3/4 cup Biscoff spread,1 cup powdered sugar,2–3 Tbsp milk,NA,Cookies & Cups,https://cookiesandcups.com/biscoff-crescent-roll-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dreamy Peppermint Sugar Cookie Bars,Shelly,"Posted: Dec 14, 2012","Updated: Jun 9, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,makes 24 bars,9,"Preheat oven to 350°
Spray 9×13 pan with non-stick spray
Press pre-made dough into pan and bake approx 25 minutes until just set.
Let cool completely.
Whip heavy cream 1 1/2 – 2 minutes until stiff peaks form, set aside.
Beat cream cheese and powdered sugar together until smooth and creamy, about 2 minutes.
Add chopped Candy Cane Kisses into the cream cheese mixture and stir until combined.
Fold in whipped cream until evenly combined.
Spread on top of cookie and chill for at least an hour before cutting into squares.",5,1 “Value Size” Roll of Peppermint Sugar Cookie Dough (*See NOTES for alterations if you can’t find the Peppermint Sugar Cookie Dough),"1 (8 oz) block cream cheese, room temperature",2 cups powdered sugar,1 cup finely chopped Candy Cane Kisses (about half a bag),"8 oz heavy cream, whipped into whipped cream",Cookies & Cups,https://cookiesandcups.com/dreamy-peppermint-sugar-cookie-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy Brown Sugar Cookies,Shelly,"Posted: Dec 10, 2012","Updated: Nov 2, 2023",NA,NA,Cookies,NA,NA,25 minutes,10 minutes,NA,35 minutes,24 1x,NA,15,"Preheat oven to 350° and line baking sheet with parchment paper.
Heat butter in medium skillet over medium heat until melted. When butter melts slowly swirl the pan and continue to cook the butter until it becomes a nice, brown-caramel color. The swirling helps it from burning. Let cool for 15 minutes.
Whisk flour, baking soda, baking powder and salt in a separate bowl and set aside.
When butter is cooled mix 1 3/4 cup light brown sugar and browned butter with electric mixer until no lumps remain, about 30 seconds.
Add egg, yolk and vanilla and mix for another 30 seconds, until smooth.
Slowly add in your flour mixture and mix on medium-low until incorporated.
Combine remaining 1/4 cup brown sugar and 1/4 cup granulated sugar in a small bowl.
Roll cookie dough into balls and then roll in sugar mixture.
Place on lined baking sheet about 2 inches apart.
Bake approx 10-12 minutes or until edges begin to brown. Do not over-bake.
Transfer to wire rack to cool.
Combine brown sugar and butter in small saucepan over medium heat.
Bring to a boil and continue cooking 1 minute. Remove from heat and cool for 10 minutes. Mixture will slightly thicken.
With hand mixer beat in milk until smooth. Slowly add in powdered sugar until spreadable consistency. ( I used all 2 cups).
Spread approx 1 teaspoon on each cookie.",14,14 tablespoons salted butter (1 3/4 sticks),1 3/4 cups packed light brown sugar,2 1/4 cups flour,1/2 teaspoon baking soda,1/4 teaspoon baking powder,Cookies & Cups,https://cookiesandcups.com/chewy-brown-sugar-cookies-with-brown-sugar-frosting/,1/2 teaspoon kosher salt,1 egg plus 1 egg yolk,1 1/2 tablespoons vanilla,1/4 cup granulated sugar,1/4 cup light brown sugar,1/2 cup light brown sugar (packed),3 tablespoons butter,1/4 cup milk,2 cups sifted powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campfire Bars,Shelly,"Posted: Dec 7, 2012","Updated: Jun 9, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"makes 1 jar mix, enough to make 16 bars prepared",4,"Layer all ingredients in a 1 quart jar in order they are listed. Seal with a lid.
To make bars, mix all ingredients with a bowl with 8 tbsp of melted butter.
Spread in an 8×8 baking pan and bake at 350° for 12-15 minutes.
Cool completely before cutting.",5,"1 1/2 cups graham crackers, chopped into 1 inch squares",1 1/2 cups mini marshmallows,3/4 cup milk chocolate chips (I used Hershey’s Baking Kisses,1/2 cup granola,1/2 cup packed light brown sugar,Cookies & Cups,https://cookiesandcups.com/campfire-bars-and-a-desserts-in-jars-giveaway/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Patty Chocolate Cookie Sandwiches,Cookies & Cups,"Posted: Dec 4, 2012","Updated: Jun 9, 2022",5,1,Dessert,NA,NA,20 min,8 min,NA,28 min,24 sandwiches 1x,NA,8,"Preheat oven to 350°
In a large mixing bowl cream together your butter and both sugars until light and fluffy, about 2 minutes. Add in vanilla and both eggs and stir until combined and smooth, about 1 more minute.
IN a separate bowl sift together flour, cocoa powder, baking soda and salt.
Slowly add into butter mixture, Beating until combined.
Add in mini chips and stir until incorporated.
Line a baking sheet with parchment paper. Measure out approx 2 tsp of dough and place on baking sheet about 2 inches apart.
Bake 7-8 minutes until puffed and just set.
Let cookies cool approx 3 minutes on baking sheet, then place a peppermint patty in between 2 warm cookies and place on a wire rack to continue cooling. Gently press cookies together so as the chocolate melts, the cookies stick to the patty.",11,"1 cup butter, room temperature",3/4 cup light brown sugar,3/4 cup granulated sugar,2 tsp vanilla,2 eggs,Cookies & Cups,https://cookiesandcups.com/peppermint-patty-chocolate-cookie-sandwiches/,2 1/3 cup flour,1/3 cup Hershey’s Special Dark Cocoa Powder,1 tsp baking soda,1 tsp salt,2 cups mini chocolate chips,approx 24 York Peppermint Patties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutella Pastry Cookies,Shelly,"Posted: Nov 18, 2012","Updated: Jun 18, 2020",NA,NA,Cookies,NA,NA,1 hour 30 minutes,15 minutes,NA,1 hour 45 minutes,36 pastries 1x,NA,7,"In a large bowl cream together butter and cream cheese until light and fluffy. Gradually add flour to mixture until combined.
Divide dough into 4 equal parts. Refrigerate in a zip-top bag for at least an hour, until dough is no longer sticky.
When dough is chilled, preheat oven to 350°.
Lightly sprinkle counter with flour. Roll out one portion of dough into 10″x7″ rectangle. Trim edges if necessary. Cut dough into 2 1/2″ squares. Place a heaping teaspoon amount of Nutella in the center of each square. Moisten edges of dough with water, fold over diagonally and then pinch closed.
Line baking sheet with parchment paper or a SilPat. Place pastries on baking sheet and bake for 12-15 minutes until lightly golden.
Transfer to wire rack when done and continue cooling.
**If desired drizzle you can drizzle the pastry cookies with some extra Nutella…heat 1/4 cup Nutella in the microwave for 15-20 seconds, add in about 1/4 -1/2 tsp vegetable oil and stir to thin. Lightly drizzle the Nutella on top of the pastries.",5,"1 (8 oz) block cream cheese, softened","1 cup butter, softened",2 1/2 cups flour,1 – 1 1/2 cups Nutella,1/4 cup water,Cookies & Cups,https://cookiesandcups.com/nutella-pastry-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Caramel Coconut Macaroons,Shelly @ Cookies and Cups,"Posted: Nov 11, 2012","Updated: Jun 9, 2022",NA,NA,Cookies,NA,NA,15 minutes,15 minutes,NA,30 minutes,34 1x,NA,11,"Preheat oven to 325°
Line baking sheet with parchment paper and spray it lightly with cooking spray. Set aside
In a large bowl combine flour, sweetened condensed milk and caramel sauce. Add in coconut and 1 tsp of sea salt. Stir until combined.
Drop dough by rounded tablespoon on lined baking sheet about an inch apart.
Bake for 12-15 minutes until golden.
Let cool on baking sheet for 3 minutes and then transfer to a wire rack to continue cooling.
Melt milk chocolate in a microwave safe bowl in 30 second increments until melted, stirring after each interval.
When cookies are cooled dip the bottoms of the cookies into the melted chocolate.
Melt caramel bits and water in microwave for 45 seconds, or until melted.
Drizzle caramel over top of the cookies and finish by sprinkling remaining 3/4 tsp sea salt on top of caramel, if desired.
Let set completely before serving.",8,1 (14 oz) can Sweetened Condensed Milk,3/4 cup caramel sauce,1 cup flour,2 (14 oz) bag shredded sweetened coconut flakes,"1 1/2- 2 tsp tsp sea salt, divided (I used flaked sea salt)",Cookies & Cups,https://cookiesandcups.com/salted-caramel-coconut-macaroons/,1 cup milk chocolate,1 cup caramel bits,1 Tbsp water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Shortbread,Shelly,"Posted: Oct 30, 2012","Updated: Jun 9, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Preheat oven to 300°
Spray a 9″ tart pan with nonstick spray.
In a bowl whisk together flour, pumpkin pie spice, cornstarch and salt. Set aside.
In stand mixer beat butter and powdered sugar until smooth. Add in pumpkin and beat until combined.
Turn mixer to low and ad in dry ingredients until just incorporated.
Spread dough into prepared pan. I used an off-set spatula to smooth the top.
Bake for 60-70 minutes until form and golden brown.
Let cool in pan for 5-10 minutes and then remove from pan and transfer to a wire rack. (I lined the counter under the wire rack with wax paper to prevent from dripping on the counter and an easier clean up)
Mix up you glaze in a bowl and stir until there are no lumps. Pour desired amount of glaze on top of shortbread. Let glaze set and eat immediately.",9,1 1/4 cups flour,1/2 cup cornstarch,1 1/2 tsp pumpkin pie spice,1/2 tsp salt,"3/4 cup butter, room temperature",Cookies & Cups,https://cookiesandcups.com/pumpkin-shortbread/,3/4 cup powdered sugar,1/2 cup pumpkin,2 cups powdered sugar,2 – 3 Tbsp milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scarecrow Bars,Cookies & Cups,"Posted: Oct 28, 2012","Updated: Jun 9, 2022",NA,NA,Dessert,NA,NA,10 minutes,15 minutes,NA,25 minutes,35 Bars 1x,NA,8,"Preheat oven to 350°
Spray a 9×13 pan with nonstick spray
In your stand mixer, combine cake mix, egg and butter. Stir on medium-low speed until a thick batter comes together. Press into the bottom of the prepared pan. Bake for 15 minutes, until the edges of the crust are lightly browned.
While crust is baking make your topping. In a medium saucepan combine corn syrup and both sugars, heating over medium until is starts to boil. Remove from heat and stir in vanilla and peanut butter. Return back to stove top on the lowest setting until the crust is done baking. You don’t want to continue cooking the peanut butter mixture, you just want to keep it warm.
As soon as crust is done, sprinkle with marshmallows and put back in the oven for 1-2 minutes until the marshmallows puff. Remove immediately.
While the marshmallows are puffing mix your peanuts, Rice Chex and Candy Corn into the peanut butter mixture. Stir until coated evenly.
Immediately spread this over the marshmallows as soon as they come out of the oven.
Let cool completely before cutting into squares.",12,1 (18.25 oz) yellow cake mix,1 egg,"1/2 cup butter, room temperature",3 cups mini marshmallows,1/2 cup light corn syrup,Cookies & Cups,https://cookiesandcups.com/scarecrow-bars/,1/4 cup granulated sugar,"1/4 cup light brown sugar, packed",1/2 cup creamy peanut butter,1 Tbsp vanilla,2 cup crushed Rice Chex,2 cups Honey Roasted Peanuts,1 cup candy corn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Pretzel Bars,Shelly,"Posted: Oct 14, 2012","Updated: Jun 9, 2022",4.5,2,NA,NA,NA,NA,NA,NA,NA,NA,makes 30 bars,7,"Preheat oven to 350°
Spray a 9×13 pan with non-stick spray
Press your chocolate chip cookie dough into the prepared pan.
Bake for 10-12 minutes until edges are golden.
Sprinkle marshmallows evenly on top of crust and bake for 1-2 more minutes until marshmallows puff up but don’t brown.
Remove from oven and immediately press your pretzel nuggets into the warm marshmallow.
Let cool and cut into squares.",5,1 (16.5 oz) roll chocolate chip cookie dough,3 cups mini marshmallows,2 cups Peanut Butter filled Pretzel Nuggets,1/2 cup peanut butter chips,1 tsp vegetable shortening,Cookies & Cups,https://cookiesandcups.com/peanut-butter-pretzel-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Sugar Toffee Bars,Shelly,"Posted: Oct 7, 2012","Updated: Jun 18, 2020",3,2,Dessert,NA,NA,10 minutes,20 minutes,NA,30 minutes,30 bars 1x,NA,7,"Preheat oven to 350°
Spray a 9×13 pan with cooking spray.
With your stand mixer, cream butter and brown sugar together, about 2 minutes on medium speed until combined and fluffy. Add in eggs and vanilla and continue mixing until incorporated.
Turn mixer to low and add in baking soda, salt and flour, Mixing until just incorporated.
Pour in your toffee bits and stir until evenly combined.
Spread batter in prepared pan and bake for 20-25 minutes until golden and center is just set.
Cool pan on wire rack and cut into squares when ready to serve.",8,"1 cup butter, room temperature","1 1/2 cups dark brown sugar, packed",2 eggs,1 Tbsp vanilla,2 1/2 cups flour,Cookies & Cups,https://cookiesandcups.com/brown-sugar-toffee-bars/,1 tsp baking soda,1 tsp kosher salt,1 (8 oz) bag of Toffee Bits (I used the Milk Chocolate coated “Heath” Toffee bits),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candy Corn Sugar Cookie Bars,Cookies & Cups,"Posted: Oct 2, 2012","Updated: Jun 9, 2022",NA,NA,Dessert,NA,NA,15 minutes,12 minutes,NA,27 minutes,30 Bars 1x,NA,11,"Preheat oven to 375°
Line a 9×13 baking dish with foil and spray lightly with baking spray. Set aside.
In your stand mixer cream butter and sugar until fluffy and light, about 2 minutes.
Add eggs and vanilla and beat until combined, scraping sides when necessary.
Turn mixer to low and add in salt, baking soda and flour. Beat until combined.
Divide the batter in half and color half orange and half yellow.
Layer the orange dough in first, spreading to edges of pan and top with yellow dough, carefully pressing evenly on top of orange.
Bake for 10-12 minutes.
Remove from oven and cool completely.
Beat the butter and shortening together until smooth. Turn mixer to low and add in powdered sugar and milk. Turn mixer up to medium and beat for about 1 minute until fluffy and smooth.
Spread the frosting on the cooled bars and cut into triangle shaped bars.",12,"1 cup butter, room temperature",2 cups granulated sugar,4 eggs,2 tsp vanilla extract (I actually used Buttery Sweet Dough Bakery Emulsion,5 cups flour,Cookies & Cups,https://cookiesandcups.com/candy-corn-sugar-cookie-bars/,1 1/2 tsp salt,1/2 tsp baking soda,orange and yellow food coloring,"1/2 cup butter, room temperature",1/3 cup vegetable shortening,3 cups powdered sugar,2 tbsp milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Bread Cookies with Maple Cream Cheese Frosting,Shelly,"Posted: Sep 18, 2012","Updated: Jun 9, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Makes about 26 cookies,10,"Preheat oven to 350°
Combine bananas, sugar, oil, vanilla and egg in mixing bowl. Beat until combined.
Add in flour, salt, baking soda, cinnamon and nutmeg. Mix on low until smooth.
Finally pour in oats and chips, nuts or raisins. Stir until evenly incorporated.
On a nonstick cookie sheet, or a cookie sheet lined with parchment paper, drop batter my large tablespoon, about 2 inches apart.
Bake for 10-12 minutes until edges are golden and centers are set.
Transfer cookies to a wire rack to cool.
In a stand mixer combine cream cheese, butter and maple syrup or extract beating until smooth.
Turn mixer down to low and add in powdered sugar until just combined. Turn mixer up to medium and beat until smooth, about 1 minute.
Spread a tablespoon of frosting onto each cookie.",16,"3 very ripe bananas, mashed (about 1 1/2 cups)",1 cup brown sugar (either dark or light),1/4 cup canola oil,1 1/2 tsp vanilla,1 egg,Cookies & Cups,https://cookiesandcups.com/banana-bread-cookies/,1 1/2 cups flour,1 tsp baking soda,1 tsp kosher salt,1 tsp cinnamon,1/4 tsp nutmeg,2 cups quick oats,"1/2 cup chocolate chips, chopped walnuts or raisins (I used chocolate chips)","3 oz cream cheese, room temperature","1/2 cup butter, room temperature",1 1/2 Tbsp maple syrup ~ or if you don’t prefer maple you can use 1 tsp vanilla extract,1 1/2 cups powdered sugar,NA,NA,NA,NA,NA,NA,NA
Strawberries and Cream Bars,Shelly,"Posted: Aug 5, 2012","Updated: Jun 23, 2020",NA,NA,Dessert,NA,NA,10 minutes,25 minutes,NA,35 minutes,24 bars 1x,NA,11,"Preheat oven to 350°
Spray 9×13 with cooking spray
In large bowl combine butter, one egg and cake mix. Mixture will be stiff. I used my hands to combine the dough.
Reserve 1 cup of mixture for topping and set aside.
Press the remaining mixture in the bottom of the pan and bake for 10 minutes.
While crust is baking, slice the strawberries into approx 1/4″ slices.
In a mixing bowl beat cream cheese, sugar, vanilla and remaining egg until smooth.
Spread cream cheese mixture over top the partially baked crust.
Evenly arrange the sliced strawberries over the cream cheese mixture and the sprinkle with remaining crust.
Bake for 25-30 minutes until center is set and crumbs on top turn golden brown.
Cool completely on wire rack and chill at least 30 minutes before serving.",7,"1 box vanilla cake mix (18.25 oz, 1 lb)","1/3 cup butter, room temperature","2 eggs, divided",3 cups sliced strawberries,8 oz cream cheese,Cookies & Cups,https://cookiesandcups.com/strawberries-and-cream-bars/,1/3 cup sugar,1 tsp vanilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bake Cookie Bars,Shelly,"Posted: Jul 29, 2012","Updated: Jun 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,makes 20 cookie bars,7,"Line 9×9 baking dish with foil and spray with cooking spray
Crush sandwich cookies in ziplock bag or a food processor
In a medium saucepan combine chopped white chocolate and sweetened condensed milk. Over low heat melt together stirring frequently.
In a large bowl stir together the cookie crumbs and melted white chocolate mixture until evenly incorporated. Let sit for 2-3 minutes to cool slightly before stirring in 1/2 cup semi-sweet chocolate chips.
Press evenly into prepared pan.
If desired, sprinkle mini chips on top and gently press into cookie mixture.
Chill for approximately 30 minutes until firm and cut into squares.",5,2 1/2 cups crushed vanilla sandwich cookies (30 cookies),1 (14 oz) can sweetened condensed milk,10 oz chopped white chocolate,1/2 cup semi-sweet chocolate chips,1/2 cup mini chocolate chips for garnish – optional,Cookies & Cups,https://cookiesandcups.com/no-bake-cookie-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Caramel Rolo Brownie Cookies,Cookies & Cups,"Posted: Jul 12, 2012","Updated: May 6, 2022",4,1,Cookies,NA,NA,15 minutes,12 minutes,NA,27 minutes,28 cookies 1x,NA,12,"Preheat oven to 350°
Line baking sheets with parchment paper, set aside
Over a double boiler, melt the chopped chocolate and butter together.
Meanwhile in large bowl combine eggs, sugar and vanilla, whisking until combined.
In a smaller bowl, combine flour and baking powder, set this aside also.
When chocolate is melted, slowly add it to the egg and sugar mixture in small amounts, stirring vigorously until incorporated.
When chocolate and egg mixture is combined, stir in the flour mixture.
Fold in the chopped Rolo candies.
Drop by heaping tablespoon on prepared baking sheet.
Bake 10-12 minutes until centers are just set.
When cookies are done, remove from oven and immediately sprinkle with flaked sea salt.
Let cool on baking sheet for 3-4 minutes before transferring to wire rack to finish cooling.",9,"16 oz semi sweet chocolate, chopped",4 Tbsp butter,4 eggs,1 1/3 cups granulated sugar,2 tsp vanilla extract,Cookies & Cups,https://cookiesandcups.com/salted-rolo-brownie-cookies/,1/2 cup flour,1/2 tsp baking powder,"1 1/2 cups chopped Rolo candies, approx 30-35 pieces",flaked sea salt for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cake Mix Toffee Bars,Shelly,"Posted: Jul 8, 2012","Updated: Jun 7, 2022",5,1,NA,NA,NA,NA,NA,NA,NA,NA,makes 30 bars,7,"Preheat oven to 350°
Spray a 9×13 pan lightly with cooking spray.
In a bowl combine dry cake mix, 1 egg and melted butter until evenly incorporated. Press this in the prepared pan.
In another bowl combine sweetened condensed milk, egg, vanilla and toffee bits. Whisk together until combined.
Pour this over the first layer.
Bake for 20-25 minutes until edge are golden brown and center is set.
Let cool completely before cutting into squares.",6,1 (18.25 oz) vanilla cake mix,2 eggs,1/3 cup butter. melted,1 (14 oz) can sweetened condensed milk,1 tsp vanilla,Cookies & Cups,https://cookiesandcups.com/cake-mix-toffee-bars/,1 cup toffee bits or Heath Bar bits (chocolate coated toffee bits),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Coconut Bars,Shelly,"Posted: Jun 10, 2012","Updated: Jun 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,makes 30 bars,10,"Preheat oven to 350°
Spray a 9×13 pan with cooking spray
In mixer mix butter, sugar, egg and vanilla on medium speed until smooth.
Turn mixer to low and add in flour, salt, baking powder and coconut stirring until combined.
Spread evenly into prepared pan and bake for 15 minutes.
When the cookie base is baking, melt the caramel and milk (or cream) in a medium saucepan over low heat, stirring until melted.
Spread caramel evenly over cookie base and return to oven baking for 12 more minutes.
Remove from oven and immediately sprinkle chocolate chips on top of caramel. Let the chips sit for 3-4 minutes and then using an off-set spatula spread the chocolate over the caramel.
Sprinkle with toasted coconut, if desired.
Let cool completely before cutting into squares.",12,"6 Tbsp butter, room temperature",1 1/2 cups dark brown sugar,2 tsp vanilla,1 egg,1 1/4 cups all purpose flour,Cookies & Cups,https://cookiesandcups.com/caramel-coconut-bars/,1 tsp kosher salt,1/2 tsp baking powder,"1 1/2 cups shredded, sweetened coconut","1 1/4 cups Caramel bits, or chopped caramel pieces",1 Tbsp milk or cream,3/4 cup semei0sweet chocolate chips,* optional 1/4 cup toasted coconut flakes for garnish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Caramel Kiss Cookie,Cookies & Cups,"Posted: May 17, 2012","Updated: Jun 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,makes 24 cookies,12,"Preheat oven to 350° and line baking sheet with parchment paper.
Heat butter in medium skillet over medium heat until melted. When butter melts slowly swirl the pan and continue to cook the butter until it becomes a nice, brown-caramel color. The swirling helps it from burning. Let cool for 15 minutes.
Whisk flour, baking soda, baking powder and salt in a separate bowl and set aside.
When butter is cooled mix 1 3/4 cup light brown sugar and browned butter with electric mixer until no lumps remain, about 30 seconds.
Add egg, yolk and vanilla and mix for another 30 seconds, until smooth.
Slowly add in your flour mixture and mix on medium-low until incorporated.
Combine remaining 1/4 cup brown sugar and 1/4 cup granulated sugar in a small bowl.
Roll cookie dough into 2 inch balls (a heaping tablespoon) and then roll in sugar mixture.
Place on lined baking sheet about 2 inches apart.
Bake approx 12 minutes or until edges begin to brown. Do not over-bake.
As soon as the cookies come out of the oven press a caramel chocolate candy into the center of each.
Sprinkle each with a pinch of flaked sea salt and transfer to wire rack to continue cooling.",12,14 Tbsp salted butter,1 3/4 cups light brown sugar,"2 cups, plus 2 Tbsp flour",1/2 tsp baking soda,1/4 tsp baking powder,Cookies & Cups,https://cookiesandcups.com/salted-caramel-kiss-cookie/,1 tsp kosher salt,1 egg + 1 egg yolk,1 1/2 Tbsp vanilla,1/4 cup granulated sugar,1/4 light brown sugar,"approx 24 chocolate caramel candies, such as Caramel Kisses or Rolos, unwrapped",flaked sea salt for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie Dough Filled Cookie Cups,Shelly,"Posted: May 15, 2012","Updated: Jun 7, 2022",NA,NA,Dessert,NA,NA,20 minutes,12 minutes,NA,32 minutes,24 cookie cups 1x,NA,13,"Preheat oven to 350°
Line 2 muffin tins with cupcake liners
In mixer cream together butter and both sugars. Add eggs and vanilla and mix until smooth.
Turn mixer to low and slowly add flour, baking soda and salt. Mix until just combined.
Fold in chocolate chips.
Fill liners with 2 rounded tablespoons each of dough.
Bake approx 12 minutes until cookies start to brown.
When cookies are done, remove from oven and gently press center down with a spoon while still in muffin tin, creating an indentation.
Let cool about 10 minutes in muffin tin and then transfer to wire rack to continue cooling.
In you mixer cream together butter and brown sugar. Add milk and vanilla and mix well. Slowly add in salt and flour and turn mixer up to medium and beat approximately 25 seconds.
Add chocolate chips, if desired and stir to combine.
Pipe filling in the indentation of cooled cookie cups.
Garnish with more mini chocolate chips.",16,"1 cup butter, room temperature",1 cup brown sugar,1/2 cup white sugar,2 eggs,3 tsp vanilla,Cookies & Cups,https://cookiesandcups.com/cookie-dough-filled-cookie-cups-2/,1 tsp baking soda,1 tsp kosher salt,2 1/2 cups flour,2 cups semi-sweet chocolate chips,"1 cup butter, room temperature",1 cup brown sugar,1/4 cup milk,2 tsp vanilla,2 cups flour,1 tsp salt,*optional 2/3 cup mini chocolate chips,NA,NA,NA,NA,NA,NA,NA
Key Lime Meltaway Shortbread,Shelly,"Posted: May 10, 2012","Updated: Jun 7, 2022",5,1,NA,NA,NA,NA,NA,NA,NA,NA,makes approx 24 cookies,11,"Combine flour, powdered sugar, salt and cornstarch in a bowl, set aside.
Beat butter until smooth. Slowly add in dry ingredients and key lime juice. Mix until dough just comes together.
Divide dough in half and shape each half into 10 inch logs.
Wrap them in cling wrap and chill for at least 2 hours.
When ready to bake, preheat oven to 350° and line baking sheet with parchment paper.
Remove dough from fridge and cut into 1/4″ slices with a sharp knife.
Bake for 9-10 minutes until cookies are set and edges just start to brown.
Cool on a wire rack completely before glazing.
Combine powdered sugar, lime zest and lime juice in a medium bowl and stir until smooth.
Spoon a teaspoon of glaze on each cookie and gently spread around until cookie is coated.
Let glaze set, approx 30 minutes.",9,1 1/2 cups flour,1/2 cup powdered sugar,1/2 cup cornstarch,1/2 tsp salt,"1 cup butter, room temperature",Cookies & Cups,https://cookiesandcups.com/key-lime-meltaway-shortbread/,1 1/2 Tbsp Key Lime Juice,1 1/4 cups powdered sugar,1 tsp lime zest,3 Tbsp Key Lime juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
